Functions,cyclomatic_complexity
"public class INTPOW {

  public static double intPow(double b, int e) {
    double result = 1.0;
    double currPow = b;
     while (e > 0) {
      if ((e & 1) != 0) { result *= currPow; }
      currPow = currPow * currPow;
      e >>= 1;
    }
    return result;
  }
}",3
"public class HYPERGEOMETRIC {

  public static double hypergeometric(int k, int n, int r, int m) {
    if (k < 0 || r > n || m > n || n <= 0 || m < 0 || r < 0) {
      throw new IllegalArgumentException(""Invalid hypergeometric"");
    }

    // exploit symmetry of problem
    if (m > n / 2) {
      m = n - m;
      k = r - k;
    }
    if (r > n / 2) {
      r = n - r;
      k = m - k;
    }
    if (m > r) {
      int temp = m;
      m = r;
      r = temp;
    }
    // now we have that k <= m <= r <= n/2

    if (k < (m + r) - n || k > m) {
      return 0.0;
    }

    // Do limit cases explicitly
    // It's unclear whether this is a good idea.  I put it in fearing
    // numerical errors when the numbers seemed off, but actually there
    // was a bug in the Fisher's exact routine.
    if (r == n) {
      if (k == m) {
        return 1.0;
      } else {
        return 0.0;
      }
    } else if (r == n - 1) {
      if (k == m) {
        return (n - m) / (double) n;
      } else if (k == m - 1) {
        return m / (double) n;
      } else {
        return 0.0;
      }
    } else if (m == 1) {
      if (k == 0) {
        return (n - r) / (double) n;
      } else if (k == 1) {
        return r / (double) n;
      } else {
        return 0.0;
      }
    } else if (m == 0) {
      if (k == 0) {
        return 1.0;
      } else {
        return 0.0;
      }
    } else if (k == 0) {
      double ans = 1.0;
      for (int m0 = 0; m0 < m; m0++) {
        ans *= ((n - r) - m0);
        ans /= (n - m0);
      }
      return ans;
    }

    double ans = 1.0;
    // do (n-r)x...x((n-r)-((m-k)-1))/n x...x (n-((m-k-1)))
    // leaving rest of denominator to get to multimply by (n-(m-1))
    // that's k things which goes into next loop
    for (int nr = n - r, n0 = n; nr > (n - r) - (m - k); nr--, n0--) {
      // System.out.println(""Multiplying by "" + nr);
      ans *= nr;
      // System.out.println(""Dividing by "" + n0);
      ans /= n0;
    }
    // System.out.println(""Done phase 1"");
    for (int k0 = 0; k0 < k; k0++) {
      ans *= (m - k0);
      // System.out.println(""Multiplying by "" + (m-k0));
      ans /= ((n - (m - k0)) + 1);
      // System.out.println(""Dividing by "" + ((n-(m+k0)+1)));
      ans *= (r - k0);
      // System.out.println(""Multiplying by "" + (r-k0));
      ans /= (k0 + 1);
      // System.out.println(""Dividing by "" + (k0+1));
    }
    return ans;
  }
}",26
"public class EXACTBINOMIAL {

  public static double exactBinomial(int k, int n, double p) {
    double total = 0.0;
    for (int m = k; m <= n; m++) {
      double nChooseM = 1.0;
      for (int r = 1; r <= m; r++) {
        nChooseM *= (n - r) + 1;
        nChooseM /= r;
      }
      // System.out.println(n + "" choose "" + m + "" is "" + nChooseM);
      // System.out.println(""prob contribution is "" +
      //	       (nChooseM * Math.pow(p, m) * Math.pow(1.0-p, n - m)));
      total += nChooseM * Math.pow(p, m) * Math.pow(1.0 - p, n - m);
    }
    return total;
  }
}",3
"public class CHISQUARE2BY2 {

  public static double chiSquare2by2(int k, int n, int r, int m) {
    int[][] cg = {{k, r - k}, {m - k, n - (k + (r - k) + (m - k))}};
    int[] cgr = {r, n - r};
    int[] cgc = {m, n - m};
    double total = 0.0;
    for (int i = 0; i < 2; i++) {
      for (int j = 0; j < 2; j++) {
        double exp = (double) cgr[i] * cgc[j] / n;
        total += (cg[i][j] - exp) * (cg[i][j] - exp) / exp;
      }
    }
    return total;
  }
}",3
"public class SIGMOID {

  public static double sigmoid(double x) {
    if (x<0) {
      double num = Math.exp(x);
      return num / (1.0 + num);
    }
    else {
      double den = 1.0 + Math.exp(-x);
      return 1.0 / den;
    }
  }
}",2
"public class FACTORIAL {

  public static double factorial(int x) {
    double result = 1.0;
    for (int i=x; i>1; i--) {
      result *= i;
    }
    return result;
  }
}",2
"public class BEFORESAVE {

	protected boolean beforeSave (boolean newRecord)
	{
		/*if (getAD_Org_ID() != 0)
			setAD_Org_ID(0);*/
		return true;
	}
}",1
"public class BEFORESAVE {

	protected boolean beforeSave (boolean newRecord)
	{
		return true;
	}
}",1
"public class FLOATALPHATOINTALPHA {

	public static int floatAlphaToIntAlpha(float alpha) {
		if(alpha < 0f || alpha > 1f) {
			throw new IllegalArgumentException(""alpha must be between 0f and 1f. value: "" + alpha);
		}
		return (int) (255 * alpha);
	}
}",3
"public class Compile {

    public boolean compile(char c) {
        if ((c == '\b') || (c == '\f') | (c == '\t') || (c == '\n') || (c == '\r') || (c == '""') || (c == '\\') || (c == '/')
            || (c == ']') || // ] - to avoid conflicts in CDATA
            (c == '<') || // - escape HTML markup characters
            (c == '>') || // - HTML
            (c == '&') || // - HTML
            (c == '-') || // - HTML comments
            (c < 0x20) || // See <http://www.w3.org/TR/REC-xml#charsets>
            ((c > 0xd7ff) && (c < 0xe000)) || (c > 0xfffd) || (c > 0xff)) {
            return false;
        }

        return true;
    }
}",18
"public class Getitemid {

        public long getitemid(int position) {
            return position;
        }
}",1
"public class Shouldadjustaxis {

        public int shouldadjustaxis(long value) {
            // time axis never adjusts
            return 0;
        }
}",1
"public class Roundfloor {

    public long roundfloor(long instant) {
        return Long.MIN_VALUE;
    }
}",1
"public class Roundceiling {

    public long roundceiling(long instant) {
        return Long.MAX_VALUE;
    }
}",1
"public class Roundhalffloor {

    public long roundhalffloor(long instant) {
        return Long.MIN_VALUE;
    }
}",1
"public class Roundhalfceiling {

    public long roundhalfceiling(long instant) {
        return Long.MIN_VALUE;
    }
}",1
"public class Roundhalfeven {

    public long roundhalfeven(long instant) {
        return Long.MIN_VALUE;
    }
}",1
"public class Isleap {

    public boolean isleap(long instant) {
        return false;
    }
}",1
"public class Getleapamount {

    public int getleapamount(long instant) {
        return 0;
    }
}",1
"public class SAFENEGATE {

    public static int safeNegate(int value) {
        if (value == Integer.MIN_VALUE) {
            throw new ArithmeticException(""Integer.MIN_VALUE cannot be negated"");
        }
        return -value;
    }
}",2
"public class SAFEADD {

    public static int safeAdd(int val1, int val2) {
        int sum = val1 + val2;
        // If there is a sign change, but the two values have the same sign...
        if ((val1 ^ sum) < 0 && (val1 ^ val2) >= 0) {
            throw new ArithmeticException
                (""The calculation caused an overflow: "" + val1 + "" + "" + val2);
        }
        return sum;
    }
}",3
"public class SAFEADD {

    public static long safeAdd(long val1, long val2) {
        long sum = val1 + val2;
        // If there is a sign change, but the two values have the same sign...
        if ((val1 ^ sum) < 0 && (val1 ^ val2) >= 0) {
            throw new ArithmeticException
                (""The calculation caused an overflow: "" + val1 + "" + "" + val2);
        }
        return sum;
    }
}",3
"public class SAFESUBTRACT {

    public static long safeSubtract(long val1, long val2) {
        long diff = val1 - val2;
        // If there is a sign change, but the two values have different signs...
        if ((val1 ^ diff) < 0 && (val1 ^ val2) < 0) {
            throw new ArithmeticException
                (""The calculation caused an overflow: "" + val1 + "" - "" + val2);
        }
        return diff;
    }
}",3
"public class SAFEMULTIPLY {

    public static int safeMultiply(int val1, int val2) {
        long total = (long) val1 * (long) val2;
        if (total < Integer.MIN_VALUE || total > Integer.MAX_VALUE) {
            throw new ArithmeticException
                (""The calculation caused an overflow: "" + val1 + "" * "" + val2);
        }
        return (int) total;
    }
}",3
"public class SAFEMULTIPLY {

    public static long safeMultiply(long val1, int scalar) {
        switch (scalar) {
        case -1:
            return -val1;
        case 0:
            return 0L;
        case 1:
            return val1;
        }
        long total = val1 * scalar;
        if (total / scalar != val1) {
            throw new ArithmeticException
                (""The calculation caused an overflow: "" + val1 + "" * "" + scalar);
        }
        return total;
    }
}",3
"public class SAFEMULTIPLY {

    public static long safeMultiply(long val1, long val2) {
        if (val2 == 1) {
            return val1;
        }
        if (val2 == 0) {
            return 0;
        }
        long total = val1 * val2;
        if (total / val2 != val1) {
            throw new ArithmeticException
                (""The calculation caused an overflow: "" + val1 + "" * "" + val2);
        }
        return total;
    }
}",4
"public class SAFETOINT {

    public static int safeToInt(long value) {
        if (Integer.MIN_VALUE <= value && value <= Integer.MAX_VALUE) {
            return (int) value;
        }
        throw new ArithmeticException(""Value cannot fit in an int: "" + value);
    }
}",3
"public class GETWRAPPEDVALUE {

    public static int getWrappedValue(int value, int minValue, int maxValue) {
        if (minValue >= maxValue) {
            throw new IllegalArgumentException(""MIN > MAX"");
        }

        int wrapRange = maxValue - minValue + 1;
        value -= minValue;

        if (value >= 0) {
            return (value % wrapRange) + minValue;
        }

        int remByRange = (-value) % wrapRange;

        if (remByRange == 0) {
            return 0 + minValue;
        }
        return (wrapRange - remByRange) + minValue;
    }
}",4
"public class Getminimumvalue {

    public int getminimumvalue(long instant) {
        return 1;
    }
}",1
"public class DIV {

    static long div(long dividend, long divisor) {
        if (divisor < 0) {
            throw new IllegalArgumentException(""divisor must be positive: "" + divisor);
        }
        if (dividend >= 0) {
            return dividend / divisor;
        } else {
            return (dividend + 1) / divisor - 1;
        }
    }
}",3
"public class MOD {

    static long mod(long dividend, long divisor) {
        if (divisor < 0) {
            throw new IllegalArgumentException(""divisor must be positive: "" + divisor);
        }
        if (dividend >= 0) {
            return dividend % divisor;
        } else {
            return (dividend + 1) % divisor - 1 + divisor;
        }
    }
}",3
"public class CONSTRAIN {

    public static int constrain(int amount, int low, int high) {
        return amount < low ? low : (amount > high ? high : amount);
    }
}",1
"public class CONSTRAIN {

    public static float constrain(float amount, float low, float high) {
        return amount < low ? low : (amount > high ? high : amount);
    }
}",1
"public class BYTETOLONG {

        private long byteToLong(byte b) {
            long val = b & 0x7F;
            if ((b & 0x80) != 0) {
                val += 128;
            }
            return val;
        }
}",2
"public class ISSUPPLEMENTAL {

     public static boolean isSupplemental(int c) {
         return (c >= 0x10000 && c <= 0x10FFFF);
     }
}",2
"public class SUPPLEMENTAL {

     public static int supplemental(char h, char l) {
         return (h - 0xD800) * 0x400 + (l - 0xDC00) + 0x10000;
     }
}",1
"public class HIGHSURROGATE {

     public static char highSurrogate(int c) {
         return (char) (((c - 0x00010000) >> 10) + 0xD800);
     }
}",1
"public class LOWSURROGATE {

     public static char lowSurrogate(int c) {
         return (char) (((c - 0x00010000) & 0x3FF) + 0xDC00);
     }
}",1
"public class ISHIGHSURROGATE {

     public static boolean isHighSurrogate(int c) {
         return (0xD800 <= c && c <= 0xDBFF);
     }
}",2
"public class ISLOWSURROGATE {

     public static boolean isLowSurrogate(int c) {
         return (0xDC00 <= c && c <= 0xDFFF);
     }
}",2
"public class ISMARKUP {

     public static boolean isMarkup(int c) {
         return c == '<' || c == '&' || c == '%';
     }
}",3
"public class Canbannerdisplay {

    public boolean canbannerdisplay(int bannerId)
	{
    	return true;
	}
}",1
"public class Candelete {

	public boolean candelete(int categoryId) {
		return false;
	}
}",1
"public class Getlastrowidx {

	public int getlastrowidx(int startIdx, int length) {
		return startIdx + length;
	}
}",1
"public class Getlastrowidx {

	public int getlastrowidx(int startIdx, int length) {
		return length;
	}
}",1
"public class Getlastrowidx {

	public int getlastrowidx(int startIdx, int length) {
		return length;
	}
}",1
"public class ISMIN {

  private int isMin(int last_index, int x)
  {
    if (x == -1)
      return last_index;
    if (last_index <= x)
      return last_index;
    else
      return x;
  }
}",3
"public class ZETASTATIC {

	static double zetastatic(long st, long n, double theta, double initialsum) {
		double sum = initialsum;
		for (long i = st; i < n; i++) {

			sum += 1 / (Math.pow(i + 1, theta));
		}

		// System.out.println(""countforzeta=""+countforzeta);

		return sum;
	}
}",2
"public class REHASH {

    private static int rehash(int h) {
        // Spread bits to regularize both segment and index locations,
        // using variant of single-word Wang/Jenkins hash.
        h += (h << 15) ^ 0xffffcd7d;
        h ^= (h >>> 10);
        h += (h << 3);
        h ^= (h >>> 6);
        h += (h << 2) + (h << 14);
        return h ^ (h >>> 16);
    }
}",1
"public class Getitemid {

    public long getitemid(int pos) {
        return pos;
    }
}",1
"public class SPRAWDZ {

        public static boolean sprawdz(double v0, double h0, double kat, double waga, 
                double opor, double krok, int ileKrokow)
        {
            if (waga <= 0) return false;
            if (krok <= Math.pow(10, -8) && ileKrokow <= 0) return false;
            if (opor < 0) return false;
            if (v0 < 0) return false;
            if (h0 < 0) return false;
            if (kat < 0 || kat > 90) return false;
                return true;
        }
}",9
"public class CHAR {

    public static char CHAR(int i) {
        return Character.forDigit(i, 10);
    }
}",1
"public class FIX {

    public static long FIX(double d) {
        return Math.round(d);
    }
}",1
"public class ABS {

    public static double ABS(double a) {
        return Math.abs(a);
    }
}",1
"public class ACOS {

    public static double ACOS(double a) {
        return Math.acos(a);
    }
}",1
"public class ASIN {

    public static double ASIN(double a) {
        return Math.asin(a);
    }
}",1
"public class ATAN {

    public static double ATAN(double a) {
        return Math.atan(a);
    }
}",1
"public class BITAND {

    public static int BITAND(int a, int b) {
        return a & b;
    }
}",1
"public class BITNOT {

    public static int BITNOT(int a) {
        return ~a;
    }
}",1
"public class BITOR {

    public static int BITOR(int a, int b) {
        return a | b;
    }
}",1
"public class BITXOR {

    public static int BITXOR(int a, int b) {
        return a ^ b;
    }
}",1
"public class COS {

    public static double COS(double a) {
        return Math.cos(a);
    }
}",1
"public class COSH {

    public static double COSH(double a) {
        return Math.cosh(a);
    }
}",1
"public class DIV {

    public static int DIV(double a, double b) {
        return (int) (a / b);
    }
}",1
"public class EXP {

    public static double EXP(double a) {
        return Math.exp(a);
    }
}",1
"public class LN {

    public static double LN(double a) {
        return Math.log(a) / Math.E;
    }
}",1
"public class MOD {

    public static double MOD(double a, double b) {
        return a % b;
    }
}",1
"public class NEG {

    public static double NEG(double a) {
        return -1 * a;
    }
}",1
"public class RND {

    public static double RND(double a) {
        return Math.random() * a;
    }
}",1
"public class SDIV {

    public static int SDIV(int a, int b) {
        return (int) (a / b);
    }
}",1
"public class SIN {

    public static double SIN(double a) {
        return Math.sin(a);
    }
}",1
"public class SINH {

    public static double SINH(double a) {
        return Math.sinh(a);
    }
}",1
"public class SQRT {

    public static double SQRT(double a) {
        return Math.sqrt(a);
    }
}",1
"public class TAN {

    public static double TAN(double a) {
        return Math.tan(a);
    }
}",1
"public class TANH {

    public static double TANH(double a) {
        return Math.tanh(a);
    }
}",1
"public class NOT {

    public static boolean NOT(boolean expression) {
        return !expression;
    }
}",1
"public class MIN {

    private int min(int a, int b) {
        if (a < b)
            return a;
        return b;
    }
}",2
"public class DEHEXCHAR {

    public static int dehexchar(char c) {
        if (c >= '0' && c <= '9') {
            return c - '0';
        }
        if (c >= 'A' && c <= 'F') {
            return c - ('A' - 10);
        }
        if (c >= 'a' && c <= 'f') {
            return c - ('a' - 10);
        }
        return -1;
    }
}",7
"public class BOOLEAN2BOOLEAN {

    public static boolean boolean2boolean(boolean o) {
        return o;
    }
}",1
"public class BYTE2BYTE {

    public static byte byte2byte(byte o) {
        return o;
    }
}",1
"public class BYTE2CHAR {

    public static char byte2char(byte o) {
        return (char) o;
    }
}",1
"public class BYTE2DOUBLE {

    public static double byte2double(byte o) {
        return (double) o;
    }
}",1
"public class BYTE2FLOAT {

    public static float byte2float(byte o) {
        return (float) o;
    }
}",1
"public class BYTE2INT {

    public static int byte2int(byte o) {
        return (int) o;
    }
}",1
"public class BYTE2LONG {

    public static long byte2long(byte o) {
        return (long) o;
    }
}",1
"public class BYTE2SHORT {

    public static short byte2short(byte o) {
        return (short) o;
    }
}",1
"public class CHAR2BYTE {

    public static byte char2byte(char o) {
        return (byte) o;
    }
}",1
"public class CHAR2CHAR {

    public static char char2char(char o) {
        return o;
    }
}",1
"public class CHAR2DOUBLE {

    public static double char2double(char o) {
        return (double) o;
    }
}",1
"public class CHAR2FLOAT {

    public static float char2float(char o) {
        return (float) o;
    }
}",1
"public class CHAR2INT {

    public static int char2int(char o) {
        return (int) o;
    }
}",1
"public class CHAR2LONG {

    public static long char2long(char o) {
        return (long) o;
    }
}",1
"public class CHAR2SHORT {

    public static short char2short(char o) {
        return (short) o;
    }
}",1
"public class DOUBLE2BYTE {

    public static byte double2byte(double o) {
        return (byte) o;
    }
}",1
"public class DOUBLE2CHAR {

    public static char double2char(double o) {
        return (char) o;
    }
}",1
"public class DOUBLE2DOUBLE {

    public static double double2double(double o) {
        return o;
    }
}",1
"public class DOUBLE2FLOAT {

    public static float double2float(double o) {
        return (float) o;
    }
}",1
"public class DOUBLE2INT {

    public static int double2int(double o) {
        return (int) o;
    }
}",1
"public class DOUBLE2LONG {

    public static long double2long(double o) {
        return (long) o;
    }
}",1
"public class DOUBLE2SHORT {

    public static short double2short(double o) {
        return (short) o;
    }
}",1
"public class FLOAT2BYTE {

    public static byte float2byte(float o) {
        return (byte) o;
    }
}",1
"public class FLOAT2CHAR {

    public static char float2char(float o) {
        return (char) o;
    }
}",1
"public class FLOAT2DOUBLE {

    public static double float2double(float o) {
        return (double) o;
    }
}",1
"public class FLOAT2FLOAT {

    public static float float2float(float o) {
        return o;
    }
}",1
"public class FLOAT2INT {

    public static int float2int(float o) {
        return (int) o;
    }
}",1
"public class FLOAT2LONG {

    public static long float2long(float o) {
        return (long) o;
    }
}",1
"public class FLOAT2SHORT {

    public static short float2short(float o) {
        return (short) o;
    }
}",1
"public class INT2BYTE {

    public static byte int2byte(int o) {
        return (byte) o;
    }
}",1
"public class INT2CHAR {

    public static char int2char(int o) {
        return (char) o;
    }
}",1
"public class INT2DOUBLE {

    public static double int2double(int o) {
        return (double) o;
    }
}",1
"public class INT2FLOAT {

    public static float int2float(int o) {
        return (float) o;
    }
}",1
"public class INT2INT {

    public static int int2int(int o) {
        return o;
    }
}",1
"public class INT2LONG {

    public static long int2long(int o) {
        return (long) o;
    }
}",1
"public class INT2SHORT {

    public static short int2short(int o) {
        return (short) o;
    }
}",1
"public class LONG2BYTE {

    public static byte long2byte(long o) {
        return (byte) o;
    }
}",1
"public class LONG2CHAR {

    public static char long2char(long o) {
        return (char) o;
    }
}",1
"public class LONG2DOUBLE {

    public static double long2double(long o) {
        return (double) o;
    }
}",1
"public class LONG2FLOAT {

    public static float long2float(long o) {
        return (float) o;
    }
}",1
"public class LONG2INT {

    public static int long2int(long o) {
        return (int) o;
    }
}",1
"public class LONG2LONG {

    public static long long2long(long o) {
        return o;
    }
}",1
"public class LONG2SHORT {

    public static short long2short(long o) {
        return (short) o;
    }
}",1
"public class SHORT2BYTE {

    public static byte short2byte(short o) {
        return (byte) o;
    }
}",1
"public class SHORT2CHAR {

    public static char short2char(short o) {
        return (char) o;
    }
}",1
"public class SHORT2DOUBLE {

    public static double short2double(short o) {
        return (double) o;
    }
}",1
"public class SHORT2FLOAT {

    public static float short2float(short o) {
        return (float) o;
    }
}",1
"public class SHORT2INT {

    public static int short2int(short o) {
        return (int) o;
    }
}",1
"public class SHORT2LONG {

    public static long short2long(short o) {
        return (long) o;
    }
}",1
"public class SHORT2SHORT {

    public static short short2short(short o) {
        return o;
    }
}",1
"public class HASH {

	public static int hash( int aSeed , float aFloat ) {
		return hash( aSeed, Float.floatToIntBits(aFloat) );
	}
}",1
"public class HASH {

	public static int hash( int aSeed , double aDouble ) {
		return hash( aSeed, Double.doubleToLongBits(aDouble) );
	}
}",1
"public class ISVALIDBYTE {

	private boolean isValidByte(long num)
	{
		if (num>255||num<-127)
			return false;

		return true;

	}
}",3
"public class HASEXPIREDMILLIS {

    public static boolean hasExpiredMillis(long now, long eventTime, long timeBuffer) {
        return (eventTime + timeBuffer) < now;
    }
}",1
"public class Getmove {
    	public int getmove(int Place1,int Place2) { 
		if ((Place1 - Place2) == 0) {
            return 0;
		} else if ((Place1 - Place2) < 0) {
			return 1;
		} else if ((Place1 - Place2) > 0) {
			return -1;
		}
        	return 0;
   	 }
}",4
"public class Tosrgb {

	public double tosrgb(double v)
		{
		double a=0.055;
		if(v<0.0031308)
			return 12.92*v;
		else
			return (1+a)*Math.pow(v,1/2.4)-a;
		}
}",2
"public class Toxyz {

	public double toxyz(double v)
		{
		double a=0.055;
		if(v<0.04045)
			return v/12.92;
		else
			return Math.pow((v+a)/a,2.4);
		}
}",2
"public class CALCMIDCOORDINATE {

	public static double calcMidCoordinate(int w)
		{
		return (w-1)/2.0;
		}
}",1
"public class W2sz {

	public double w2sz(double z)
		{
		return z;
		}
}",1
"public class S2wz {

	public double s2wz(double sz) 
		{
		return sz;
		}
}",1
"public class Povxaxis {

	public double povxaxis(double in)
		{
		if(in==0.125 || in==0.875 || in==1) return -1;
		else if(in==0.375 || in==0.25 || in==0.625) return 1;
		return 0;
		}
}",7
"public class Povyaxis {

	public double povyaxis(double in)
		{
		if(in==0.125 || in==0.25 || in==0.375) return -1;
		else if(in==0.625 || in==0.75 || in==0.825) return 1;
		return 0;
		}
}",7
"public class Scalescreendistx {

		public double scalescreendistx(double x)
			{
			return x;
			}
}",1
"public class SUITABLEPOWER2 {

	public static int suitablePower2(int s)
		{
//		return 128;
		if(s>380) return 512;
		else if(s>192) return 256;
		else if(s>96) return 128;
		else if(s>48) return 64;
		else if(s>24) return 32;
		else if(s>12) return 16;
		else if(s>6) return 8;
		else return 4;
		}
}",8
"public class SUITABLEPOWER2 {

	private static int suitablePower2(int s)
		{
		//An option to restrict max texture size would be good
//		if(true)return 256;
		
		if(s>380) return 512;
		else if(s>192) return 256;
		else if(s>96) return 128;
		else if(s>48) return 64;
		else if(s>24) return 32;
		else if(s>12) return 16;
		else if(s>6) return 8;
		else return 4;
		}
}",8
"public class CEILPOWER2 {

	public static int ceilPower2(int s)
		{
		if(s>1024)
			{
			double log2=Math.log(2);
			double x=Math.ceil(Math.log(s)/log2);
			int v=(int)Math.exp(Math.log(2)*x);
			System.out.println(""ceilpow2 ""+s+"" => ""+v);
			return v;
			}
		else if(s>512) return 1024;
		else if(s>256) return 512;
		else if(s>128) return 256;
		else if(s>64) return 128;
		else if(s>32) return 64;
		else if(s>16) return 32;
		else if(s>8) return 16;
		else if(s>4) return 8;
		else return 4;
		}
}",10
"public class ISINSIDETRIANGLE {

	private static boolean isInsideTriangle(double Ax, double Ay,
      double Bx, double By,
      double Cx, double Cy,
      double Px, double Py)

		{
		double ax, ay, bx, by, cx, cy, apx, apy, bpx, bpy, cpx, cpy;
		double cCROSSap, bCROSScp, aCROSSbp;
		
		ax = Cx - Bx;  ay = Cy - By;
		bx = Ax - Cx;  by = Ay - Cy;
		cx = Bx - Ax;  cy = By - Ay;
		apx= Px - Ax;  apy= Py - Ay;
		bpx= Px - Bx;  bpy= Py - By;
		cpx= Px - Cx;  cpy= Py - Cy;
		
		aCROSSbp = ax*bpy - ay*bpx;
		cCROSSap = cx*apy - cy*apx;
		bCROSScp = bx*cpy - by*cpx;
		
		return ((aCROSSbp >= 0.0f) && (bCROSScp >= 0.0f) && (cCROSSap >= 0.0f));
		}
}",3
"public class TRIANGLEAREAUSINGSIDES {

	public static double triangleAreaUsingSides(double a, double b, double c)
		{
		double s=(a+b+c)/2;
		return Math.sqrt(s*(s-a)*(s-b)*(s-c));
		}
}",1
"public class INTERPOLATELINEAR {

	public static double interpolateLinear(double x1, double y1, double x2, double y2, double x)
		{
		double s=(x-x1)/(x2-x1);
		return s*y2+(1.0-s)*y1;
		}
}",1
"public class UNBIASEDVARIANCE {

	public static double unbiasedVariance(double sum, double sum2, int n)
		{
		int n1=n-1;
		return sum2/n1 - sum*sum/(n1*n);
		}
}",1
"public class BIASEDVARIANCE {

	public static double biasedVariance(double sumx, double sumxx, double n)
		{
		return (sumxx - sumx*sumx/n)/n;
//		return sum2/n - sum*sum/(n*n);
		}
}",1
"public class BIASEDCOVARIANCE {

	public static double biasedCovariance(double sumx, double sumy, double sumxy, double n)
		{
//		return (sumxy - 2*sumx*sumy/n + sumx*sumy/n)/n;
		return (sumxy - sumx*sumy/n)/n;
		}
}",1
"public class TOINT {

	public static int toInt(boolean b)
		{
		if(b)
			return 1;
		else
			return 0;
		}
}",2
"public class RATIOABOVE1 {

	public static double ratioAbove1(double a, double b)
		{
		if(a<b)
			return b/a;
		else
			return a/b;
		}
}",2
"public class CLAMP {

	public static double clamp(double value, double min, double max)
		{
		if(value<min)
			return min;
		else if(value>max)
			return max;
		else
			return value;
		}
}",3
"public class MAXALLINT {

	public static int maxAllint(int... v)
		{
		int r=v[0];
		for(int i=1;i<v.length;i++)
			if(v[i]>r)
				r=v[i];
		return r;
		}
}",3
"public class MINALLINT {

	public static int minAllInt(int... v)
		{
		int r=v[0];
		for(int i=1;i<v.length;i++)
			if(v[i]<r)
				r=v[i];
		return r;
		}
}",3
"public class MAXALL {

	public static double maxAll(double... v)
		{
		double r=v[0];
		for(int i=1;i<v.length;i++)
			if(v[i]>r)
				r=v[i];
		return r;
		}
}",3
"public class MINALL {

	public static double minAll(double... v)
		{
		double r=v[0];
		for(int i=1;i<v.length;i++)
			if(v[i]<r)
				r=v[i];
		return r;
		}
}",3
"public class GETNEIGHBOR {

	public static int getNeighbor(int pixel, int neigh, int w)
		{
		switch (neigh)
			{
			case 0:
				return pixel-w;
			case 1:
				return pixel-w+1;
			case 2:
				return pixel+1;
			case 3:
				return pixel+w+1;
			case 4:
				return pixel+w;
			case 5:
				return pixel+w-1;
			case 6:
				return pixel-1;
			case 7:
				return pixel-w-1;
			default:
				return -1;
			}

		}
}",2
"public class ISCIRCULARNEIGHBOR {

	public static boolean isCircularNeighbor(int neighbor, int position, int w)
		{
		int diff = neighbor-position;
		int[] neigh =
			{ w, -w, 1, -1, w-1, w+1, -w-1, -w+1 };

		for (int i = 0; i<8; i++)
			{
			if (diff==neigh[i])
				return true;
			}
		return false;
		}
}",3
"public class CALCNEWNRREADSIZE {

	protected static int calcNewNrReadSize(int nrRead, int totalNrNread) {
		if (totalNrNread < 0) {
			return totalNrNread;
		}
		if (totalNrNread > (Integer.MAX_VALUE - nrRead)) {
			return -1;
		} else {
			return (totalNrNread + nrRead);
		}
	}
}",3
"public class LOOKFORSELECTABLEPOSITION {

    int lookForSelectablePosition(int position, boolean lookDown) {
        return position;
    }
}",1
"public class DEHEXCHAR {

    public static int dehexchar(char c) {
        if (c >= '0' && c <= '9') {
            return c - '0';
        }
        if (c >= 'A' && c <= 'F') {
            return c - ('A' - 10);
        }
        if (c >= 'a' && c <= 'f') {
            return c - ('a' - 10);
        }
        return -1;
    }
}",7
"public class REHASH {

    private static int rehash(int h) {
        // Spread bits to regularize both segment and index locations,
        // using variant of single-word Wang/Jenkins hash.
        h += (h << 15) ^ 0xffffcd7d;
        h ^= (h >>> 10);
        h += (h << 3);
        h ^= (h >>> 6);
        h += (h << 2) + (h << 14);
        return h ^ (h >>> 16);
    }
}",1
"public class REHASH {

    private static int rehash(int h) {
        // Spread bits to regularize both segment and index locations,
        // using variant of single-word Wang/Jenkins hash.
        h += (h << 15) ^ 0xffffcd7d;
        h ^= (h >>> 10);
        h += (h << 3);
        h ^= (h >>> 6);
        h += (h << 2) + (h << 14);
        return h ^ (h >>> 16);
    }
}",1
"public class TOASCII {

  static byte toAscii(byte b) {
    b &= 0x7f;
    if (b >= 0 && b < 32)
      return ' ';
    if (b == 127)
      return ' ';
    if (b == '\n')
      return ' ';
    return b;
  }
}",5
"public class Iscelleditable {

        public boolean iscelleditable(int row, int col) {
            return false;
        }
}",1
"public class GET2FOLD {

    private int get2Fold(int fold) {
        int ret = 2;
        while (ret < fold) {
            ret *= 2;
        }
        return ret;
    }
}",2
"public class Linterpolelin {

	public double linterpolelin(double a,double b,double x)
	{
		return  a*(1-x) + b*x;		
	}
}",1
"public class Linterpolecos {

	public double linterpolecos(double a,double b,double x)
	{
		
		double ft = x * 3.1415927;
		double f = (1 - Math.cos(ft)) * .5;
		return  a*(1-f) + b*f;
	}
}",1
"public class POWOF2 {

    private float powOf2(float number) {
        return number * number;
    }
}",1
