Parameter,Function,Test Case,cyclomatic_complexity
"(int startYear, int endYear)","public class ToYearFormat {
public static String toYearFormat(int startYear, int endYear) {
        return String.format(""%d/%d"", startYear, endYear);
    }
}","@Test
    public void testToYearFormat() {
        int firstYear = 0;
        int secondYear = 0;

        assertEquals(FeedRow.toYearFormat(firstYear, secondYear), ""0/0"");

        firstYear = -5;
        secondYear = -30;

        assertEquals(FeedRow.toYearFormat(firstYear, secondYear), ""-5/-30"");

        firstYear = 2000;
        secondYear = -30;

        assertEquals(FeedRow.toYearFormat(firstYear, secondYear), ""2000/-30"");
    }",1
"(double num, int precision)","public class RoundToDecimals {
public static double roundToDecimals(double num, int precision) {
        if (precision < 0 || precision > 8) {
            throw new IllegalArgumentException(""Precision must be an int from 0 to 8."");
        }
        long multiplier = (long)Math.pow(10, (double)precision);
        return ((int)(num*multiplier))/(double)multiplier;
    }
}","@Test
    public void testRoundToDecimals() {
        double a = 3;

        assertTrue(Utils.isClose(a, Utils.roundToDecimals(a, 0)));
        assertTrue(Utils.isClose(a, Utils.roundToDecimals(a, 1)));

        a = 3.00001;
        assertTrue(Utils.isClose(3, Utils.roundToDecimals(a, 4)));
        assertFalse(Utils.isClose(3, Utils.roundToDecimals(a, 5)));

        a = 3.14723;
        assertTrue(Utils.isClose(3.14, Utils.roundToDecimals(a, 2)));
        assertFalse(Utils.isClose(3.14, Utils.roundToDecimals(a, 3)));

        assertTrue(Utils.isClose(a, Utils.roundToDecimals(a, 8)));

        thrown.expect(IllegalArgumentException.class);
        Utils.roundToDecimals(a, -1);
        Utils.roundToDecimals(a, 9);
    }",3
(boolean excludeOutOfRangeValues),"public class SetExcludeOutOfRangeValues {
public void setExcludeOutOfRangeValues(boolean excludeOutOfRangeValues) {
    }
}","@Test
    public void testSetExcludeOutOfRangeValues() {
        System.out.println(""setExcludeOutOfRangeValues"");
        boolean excludeOutOfRangeValues = false;
        AbstractGraphRow instance = new AbstractGraphRowImpl();
        instance.setExcludeOutOfRangeValues(excludeOutOfRangeValues);
    }",1
(long value),"public class GetHigherKey {
public Long getHigherKey(long value) {
        throw new UnsupportedOperationException();
    }
}","@Test
    public void testGetHigherKey() {
        System.out.println(""getHigherKey"");
        long value = 0L;
        AbstractGraphRow instance = new AbstractGraphRowImpl();
        Long expResult = null;
        try {
            Long result = instance.getHigherKey(value);
            Assert.fail(""Exception expected"");
        } catch (UnsupportedOperationException e) {
        }
    }",1
(int limit),"public class IsPointRepresentative {
public boolean isPointRepresentative(int limit) {
        return true;
    }
}","@Test
    public void testIsPointRepresentative() {
        System.out.println(""isPointRepresentative"");
        int limit = 10;
        AbstractGraphPanelChartElement instance = new AbstractGraphPanelChartElementImpl();
        boolean expResult = true;
        boolean result = instance.isPointRepresentative(limit);
        Assert.assertEquals(expResult, result);
    }",1
(int bits),"public class DLat {
protected static final double dLat(int bits) {
        return 180d / Math.pow(2, bits / 2);
    }
}","@Test
    public void testDLat() {
        assertDLatIs(180d, 0);
        assertDLatIs(180d, 1);
        assertDLatIs(90d, 2);
        assertDLatIs(0.3515625, 18);
        assertDLatIs(0.3515625, 19);
    }",1
(int bits),"public class DLon {
protected static final double dLon(int bits) {
        return 360d / Math.pow(2, (bits + 1) / 2);
    }
}","@Test
    public void testDLon() {
        assertDLonIs(360, 0);
        assertDLonIs(180, 1);
        assertDLonIs(0.0439453125, 25);
        assertDLonIs(0.0439453125, 26);
    }",1
(int value),"public class PreviousPowerOfTwo {
public static int previousPowerOfTwo(int value) {
		final int power = (int)(Math.log(value) / Math.log(2));
		return (int) Math.pow(2, power);
	}
}","@Test
	public void testPreviousPowerOfTwo() {
		for(int power = 16; power > 0; power--) {
			for(int i = (int) Math.pow(2, power) - 1; i >= (int) Math.pow(2, power - 1); i--) {
				Assert.assertEquals((int) Math.pow(2, power - 1), PowerOfTwo.previousPowerOfTwo(i));
			}
		}
		Assert.assertEquals(1, PowerOfTwo.previousPowerOfTwo(1));
	}",1
"(long startTime, double timeout)","public class IsTimeExceeded {
public static boolean isTimeExceeded(long startTime, double timeout) {
        return (startTime + timeout) < System.currentTimeMillis();
    }
}","@Test
    public void isTimeExceeded1() throws Exception {
        long testDelta = 1000;
        LocalDateTime oldTime = LocalDateTime.now().minusSeconds(testDelta);

        //Use long as timeout
        Assert.assertTrue(TimeoutTimer.isTimeExceeded(oldTime, (long) (testDelta * 0.5)));
        Assert.assertFalse(TimeoutTimer.isTimeExceeded(oldTime, testDelta * 2));

        //Use double as timeout
        Assert.assertTrue(TimeoutTimer.isTimeExceeded(oldTime, (testDelta * 0.5)));
        Assert.assertFalse(TimeoutTimer.isTimeExceeded(oldTime, testDelta * 2.0));

        //A very small number
        double testDeltaDouble = 0.005;
        oldTime = LocalDateTime.now().minusNanos((long) (testDeltaDouble * 1e9));
        Assert.assertTrue(TimeoutTimer.isTimeExceeded(oldTime, (testDeltaDouble * 0.5)));
        Assert.assertFalse(TimeoutTimer.isTimeExceeded(oldTime, testDeltaDouble * 2.0));
    }",1
"(long startTime, double timeout)","public class IsTimeExceeded {
public static boolean isTimeExceeded(long startTime, double timeout) {
        return (startTime + timeout) < System.currentTimeMillis();
    }
}","@Test
    public void isTimeExceeded() throws Exception {
        long testDelta = 1000;
        long oldTime = System.currentTimeMillis() - testDelta;

        Assert.assertTrue(TimeoutTimer.isTimeExceeded(oldTime, testDelta * 0.5));
        Assert.assertFalse(TimeoutTimer.isTimeExceeded(oldTime, testDelta * 2));
    }",1
(int x),"public class Fls {
static int fls(int x) {
        if (x == 0) return 0;

        int r = 32;
        if ((x & 0xffff0000L) == 0) {
            x <<= 16;
            r -= 16;
        }
        if ((x & 0xff000000L) == 0) {
            x <<= 8;
            r -= 8;
        }
        if ((x & 0xf0000000L) == 0) {
            x <<= 4;
            r -= 4;
        }
        if ((x & 0xc0000000L) == 0) {
            x <<= 2;
            r -= 2;
        }
        if ((x & 0x80000000L) == 0) {
            r -= 1;
        }
        return r;
    }
}","@Test
    public void fls() throws Exception {
        assertThat(DvbMath.fls(1), is(1));
        assertThat(DvbMath.fls(0), is(0));
        assertThat(DvbMath.fls(0x80000000), is(32));
    }",7
"(int hash, int size)","public class Mod {
public static int mod(int hash, int size) {
        if (hash < 0) {
            return -hash % size;
        } else {
            return hash % size;
        }
    }
}","@Test
    public void testMod() {
        assertEquals(1, Utils.mod(6, 5));
        assertEquals(1, Utils.mod(-6, 5));
    }",2
(double n),"public class Aint {
public static double aint(double n) {
        return (n >= 0 ? Math.floor(n) : Math.ceil(n));
    }
}","@Test
    public void testAint() {
        assertEquals(3d, Fortran.aint(3.6d), DELTA);
        assertEquals(3d, Fortran.aint(3.4d), DELTA);

        assertEquals(-3d, Fortran.aint(-3.6d), DELTA);
        assertEquals(-3d, Fortran.aint(-3.4d), DELTA);

        assertEquals(3f, Fortran.aint(3.6f), DELTA);
        assertEquals(3f, Fortran.aint(3.4f), DELTA);

        assertEquals(-3f, Fortran.aint(-3.6f), DELTA);
        assertEquals(-3f, Fortran.aint(-3.4f), DELTA);
    }",1
(double n),"public class Anint {
public static double anint(double n) {
        if (n > 0)
            return Math.floor(n + 0.5);
        else if (n < 0)
            return Math.ceil(n - 0.5);
        else
            return 0;
    }
}","@Test
    public void testAnint() {
        assertEquals(4d, Fortran.anint(3.6d), DELTA);
        assertEquals(4d, Fortran.anint(3.5d), DELTA);
        assertEquals(3d, Fortran.anint(3.4d), DELTA);

        assertEquals(-4d, Fortran.anint(-3.6d), DELTA);
        assertEquals(-4d, Fortran.anint(-3.5d), DELTA);
        assertEquals(-3d, Fortran.anint(-3.4d), DELTA);

        assertEquals(4f, Fortran.anint(3.6f), DELTA);
        assertEquals(4f, Fortran.anint(3.5f), DELTA);
        assertEquals(3f, Fortran.anint(3.4f), DELTA);

        assertEquals(-4f, Fortran.anint(-3.6f), DELTA);
        assertEquals(-4f, Fortran.anint(-3.5f), DELTA);
        assertEquals(-3f, Fortran.anint(-3.4f), DELTA);
    }",3
"(double start, double end)","public class DistanceDegrees {
public static double distanceDegrees(double start, double end) {
        double dist = end - start;

        if (dist > 180)
            dist -= 360;
        else if (dist <= -180)
            dist += 360;

        return dist;
    }
}","@Test
    public void testDistanceDegrees() {
        for (double a = 0; a < 360; a++)
            for (double b = 0; b < 360; b++) {
                double dist = Angle.distanceDegrees(a, b);
                assertTrue(-180 < dist && dist <= 180);
                assertEquals(b, Angle.normalizeDegrees(a + dist), DELTA);
            }
    }",3
(double degrees),"public class NormalizeDegrees {
public static double normalizeDegrees(double degrees) {
        degrees %= 360;
        if (degrees < 0) degrees += 360;
        return degrees;
    }
}","@Test
    public void testNormalizeDegrees() {
        assertEquals(0, Angle.normalizeDegrees(0), DELTA);
        assertEquals(0.4, Angle.normalizeDegrees(0.4), DELTA);
        assertEquals(359.6, Angle.normalizeDegrees(-0.4), DELTA);

        assertEquals(0, Angle.normalizeDegrees(360), DELTA);
        assertEquals(0.4, Angle.normalizeDegrees(360.4), DELTA);
        assertEquals(359.4, Angle.normalizeDegrees(-0.6), DELTA);

        assertEquals(180, Angle.normalizeDegrees(180), DELTA);
        assertEquals(180, Angle.normalizeDegrees(540), DELTA);
        assertEquals(180, Angle.normalizeDegrees(-180), DELTA);
        assertEquals(180, Angle.normalizeDegrees(-540), DELTA);
    }",2
(double radians),"public class NormalizeRadians {
public static double normalizeRadians(double radians) {
        radians %= 2 * Math.PI;
        if (radians < 0) radians += 2 * Math.PI;
        return radians;
    }
}","@Test
    public void testNormalizeRadians() {
        assertEquals(0, Angle.normalizeRadians(0), DELTA);
        assertEquals(0.4, Angle.normalizeRadians(0.4), DELTA);
        assertEquals(2 * Math.PI - 0.4, Angle.normalizeRadians(-0.4), DELTA);

        assertEquals(0, Angle.normalizeRadians(2 * Math.PI), DELTA);
        assertEquals(0.4, Angle.normalizeRadians(2 * Math.PI + 0.4), DELTA);
        assertEquals(2 * Math.PI - 0.6, Angle.normalizeRadians(-0.6), DELTA);

        assertEquals(Math.PI, Angle.normalizeRadians(Math.PI), DELTA);
        assertEquals(Math.PI, Angle.normalizeRadians(3 * Math.PI), DELTA);
        assertEquals(Math.PI, Angle.normalizeRadians(-Math.PI), DELTA);
        assertEquals(Math.PI, Angle.normalizeRadians(-3 * Math.PI), DELTA);
    }",2
"(double start, double end)","public class DistanceRadians {
public static double distanceRadians(double start, double end) {
        double dist = end - start;

        if (dist > Math.PI)
            dist -= 2 * Math.PI;
        else if (dist <= -Math.PI)
            dist += 2 * Math.PI;

        return dist;
    }
}","@Test
    public void testDistanceRadians() {
        for (double a = 0; a < 2 * Math.PI; a += Angle.DEGREES_TO_RADIANS)
            for (double b = 0; b < 2 * Math.PI; b += Angle.DEGREES_TO_RADIANS) {
                double dist = Angle.distanceRadians(a, b);
                assertTrue(-Math.PI < dist && dist <= Math.PI);
                assertEquals(b, Angle.normalizeRadians(a + dist), Angle.DEGREES_TO_RADIANS / 2);
            }
    }",3
"(double a, double b, double epsilon)","public class Compare {
public static int compare(double a, double b, double epsilon) {
        if (epsilon < 0)
            throw new IllegalArgumentException(""epsilon < 0"");

        final double delta = a - b;
        if (Math.abs(delta) <= epsilon)
            return 0;

        return (delta < 0 ? -1 : 1);
    }
}","@Test
    public void testCompareMin() {
        assertEquals( 0, MathUtils.compare(0.0, 0.0, Double.MIN_NORMAL));
        assertEquals( 0, MathUtils.compare(0.0, Double.MIN_NORMAL, Double.MIN_NORMAL));
        assertEquals( 0, MathUtils.compare(0.0, -Double.MIN_NORMAL, Double.MIN_NORMAL));

        assertEquals(-1, MathUtils.compare(0.0, 1.0, Double.MIN_NORMAL));
        assertEquals(-1, MathUtils.compare(-Double.MIN_NORMAL, Double.MIN_NORMAL, Double.MIN_NORMAL));
        assertEquals(+1, MathUtils.compare(0.0, -1.0, Double.MIN_NORMAL));
        assertEquals(+1, MathUtils.compare(Double.MIN_NORMAL, -Double.MIN_NORMAL, Double.MIN_NORMAL));

        assertEquals( 0, MathUtils.compare(0f, 0f, Float.MIN_NORMAL));
        assertEquals( 0, MathUtils.compare(0f, Float.MIN_NORMAL, Float.MIN_NORMAL));
        assertEquals( 0, MathUtils.compare(0f, -Float.MIN_NORMAL, Float.MIN_NORMAL));

        assertEquals(-1, MathUtils.compare(0f, 1f, Float.MIN_NORMAL));
        assertEquals(-1, MathUtils.compare(-Float.MIN_NORMAL, Float.MIN_NORMAL, Float.MIN_NORMAL));
        assertEquals(+1, MathUtils.compare(0f, -1f, Float.MIN_NORMAL));
        assertEquals(+1, MathUtils.compare(Float.MIN_NORMAL, -Float.MIN_NORMAL, Float.MIN_NORMAL));
    }",3
"(double a, double b, double epsilon)","public class Equals {
public static boolean equals(double a, double b, double epsilon) {
        if (epsilon < 0)
            throw new IllegalArgumentException(""epsilon < 0"");

        return (Math.abs(a - b) <= epsilon);
    }
}","@Test
    public void testEquals() {
        assertTrue(MathUtils.equals(0.0, 0.0, EPSILON));
        assertTrue(MathUtils.equals(0f, 0f, EPSILON));

        assertFalse(MathUtils.equals(0.0, 1.0, EPSILON));
        assertTrue(MathUtils.equals(-Double.MIN_NORMAL, Double.MIN_NORMAL, EPSILON));
        assertFalse(MathUtils.equals(0.0, -1.0, EPSILON));
        assertTrue(MathUtils.equals(Double.MIN_NORMAL, -Double.MIN_NORMAL, EPSILON));

        assertFalse(MathUtils.equals(0f, 1f, EPSILON));
        assertTrue(MathUtils.equals(-Float.MIN_NORMAL, Float.MIN_NORMAL, EPSILON));
        assertFalse(MathUtils.equals(0f, -1f, EPSILON));
        assertTrue(MathUtils.equals(Float.MIN_NORMAL, -Float.MIN_NORMAL, EPSILON));
    }",2
"(double a, double b, double epsilon)","public class Equals {
public static boolean equals(double a, double b, double epsilon) {
        if (epsilon < 0)
            throw new IllegalArgumentException(""epsilon < 0"");

        return (Math.abs(a - b) <= epsilon);
    }
}","@Test
    public void testEqualsMin() {
        assertTrue(MathUtils.equals(0.0, 0.0, Double.MIN_NORMAL));
        assertTrue(MathUtils.equals(0.0, Double.MIN_NORMAL, Double.MIN_NORMAL));
        assertTrue(MathUtils.equals(0.0, -Double.MIN_NORMAL, Double.MIN_NORMAL));

        assertFalse(MathUtils.equals(0.0, 1.0, Double.MIN_NORMAL));
        assertFalse(MathUtils.equals(-Double.MIN_NORMAL, Double.MIN_NORMAL, Double.MIN_NORMAL));
        assertFalse(MathUtils.equals(0.0, -1.0, Double.MIN_NORMAL));
        assertFalse(MathUtils.equals(Double.MIN_NORMAL, -Double.MIN_NORMAL, Double.MIN_NORMAL));

        assertTrue(MathUtils.equals(0f, 0f, Float.MIN_NORMAL));
        assertTrue(MathUtils.equals(0f, Float.MIN_NORMAL, Float.MIN_NORMAL));
        assertTrue(MathUtils.equals(0f, -Float.MIN_NORMAL, Float.MIN_NORMAL));

        assertFalse(MathUtils.equals(0f, 1f, Float.MIN_NORMAL));
        assertFalse(MathUtils.equals(-Float.MIN_NORMAL, Float.MIN_NORMAL, Float.MIN_NORMAL));
        assertFalse(MathUtils.equals(0f, -1f, Float.MIN_NORMAL));
        assertFalse(MathUtils.equals(Float.MIN_NORMAL, -Float.MIN_NORMAL, Float.MIN_NORMAL));
    }",2
(int candidate),"public class IsPrime {
public static boolean isPrime(int candidate) {
        if (candidate <= 0)
            throw new IllegalArgumentException(""candidate <= 0"");

        if ((candidate & 1) == 0)
            return (candidate == 2);

        final int root = (int) Math.sqrt(candidate);
        for (int i = 3; i <= root; i += 2)
            if ((candidate % i) == 0)
                return false;

        return true;
    }
}","@Test
    public void testIsPrime() {
        assertTrue(MathUtils.isPrime(1));
        assertTrue(MathUtils.isPrime(2));
        assertTrue(MathUtils.isPrime(3));
        assertTrue(MathUtils.isPrime(3559));

        assertFalse(MathUtils.isPrime(4));
        assertFalse(MathUtils.isPrime(3561));

        try {
            MathUtils.isPrime(0);
            fail(""expected IllegalArgumentException"");
        } catch (IllegalArgumentException e) { }

        try {
            MathUtils.isPrime(-1);
            fail(""expected IllegalArgumentException"");
        } catch (IllegalArgumentException e) { }
    }",5
(double value),"public class ToLongExact {
public static long toLongExact(double value) {
        if (value < Long.MIN_VALUE || value > Long.MAX_VALUE)
            throw new ArithmeticException(""value <> Long: "" + value);

        return (long) value;
    }
}","@Test
    public void testToLongExact() {
        try {
            MathUtils.toLongExact(2.0 * Long.MAX_VALUE);
            fail(""expected ArithmeticException"");
        } catch (ArithmeticException e) { }
        try {
            MathUtils.toLongExact(2.0 * Long.MIN_VALUE);
            fail(""expected ArithmeticException"");
        } catch (ArithmeticException e) { }

        try {
            MathUtils.toLongExact(2f * Long.MAX_VALUE);
            fail(""expected ArithmeticException"");
        } catch (ArithmeticException e) { }
        try {
            MathUtils.toLongExact(2f * Long.MIN_VALUE);
            fail(""expected ArithmeticException"");
        } catch (ArithmeticException e) { }
    }",3
(double value),"public class ToIntExact {
public static int toIntExact(double value) {
        if (value < Integer.MIN_VALUE || value > Integer.MAX_VALUE)
            throw new ArithmeticException(""value <> Integer: "" + value);

        return (int) value;
    }
}","@Test
    public void testToIntExact() {
        try {
            MathUtils.toIntExact(2.0 * Integer.MAX_VALUE);
            fail(""expected ArithmeticException"");
        } catch (ArithmeticException e) { }
        try {
            MathUtils.toIntExact(2.0 * Integer.MIN_VALUE);
            fail(""expected ArithmeticException"");
        } catch (ArithmeticException e) { }

        try {
            MathUtils.toIntExact(2f * Integer.MAX_VALUE);
            fail(""expected ArithmeticException"");
        } catch (ArithmeticException e) { }
        try {
            MathUtils.toIntExact(2f * Integer.MIN_VALUE);
            fail(""expected ArithmeticException"");
        } catch (ArithmeticException e) { }
    }",3
"(double a, double min, double max)","public class Restrict {
public static double restrict(double a, double min, double max) {
        return (a < min ? min : (a > max ? max : a));
    }
}","@Test
    public void testRestrict() {
        assertEquals(0.0, MathUtils.restrict(0.0, -10.0, +10.0), Double.MIN_NORMAL);
        assertEquals(-10.0, MathUtils.restrict(-20.0, -10.0, +10.0), Double.MIN_NORMAL);
        assertEquals(+10.0, MathUtils.restrict(+20.0, -10.0, +10.0), Double.MIN_NORMAL);

        assertEquals(0f, MathUtils.restrict(0f, -10f, +10f), Float.MIN_NORMAL);
        assertEquals(-10f, MathUtils.restrict(-20f, -10f, +10f), Float.MIN_NORMAL);
        assertEquals(+10f, MathUtils.restrict(+20f, -10f, +10f), Float.MIN_NORMAL);

        assertEquals((short) 0, MathUtils.restrict((short) 0, (short) -10, (short) +10));
        assertEquals((short) -10, MathUtils.restrict((short) -20, (short) -10, (short) +10));
        assertEquals((short) +10, MathUtils.restrict((short) +20, (short) -10, (short) +10));

        assertEquals(0, MathUtils.restrict(0, -10, +10));
        assertEquals(-10, MathUtils.restrict(-20, -10, +10));
        assertEquals(+10, MathUtils.restrict(+20, -10, +10));

        assertEquals(0L, MathUtils.restrict(0L, -10L, +10L));
        assertEquals(-10L, MathUtils.restrict(-20L, -10L, +10L));
        assertEquals(+10L, MathUtils.restrict(+20L, -10L, +10L));
    }",1
"(double a, double b, double epsilon)","public class Compare {
public static int compare(double a, double b, double epsilon) {
        if (epsilon < 0)
            throw new IllegalArgumentException(""epsilon < 0"");

        final double delta = a - b;
        if (Math.abs(delta) <= epsilon)
            return 0;

        return (delta < 0 ? -1 : 1);
    }
}","@Test
    public void testCompare() {
        assertEquals( 0, MathUtils.compare(0.0, 0.0, EPSILON));
        assertEquals( 0, MathUtils.compare(0f, 0f, EPSILON));

        assertEquals(-1, MathUtils.compare(0.0, 1.0, EPSILON));
        assertEquals( 0, MathUtils.compare(-Double.MIN_NORMAL, Double.MIN_NORMAL, EPSILON));
        assertEquals(+1, MathUtils.compare(0.0, -1.0, EPSILON));
        assertEquals( 0, MathUtils.compare(Double.MIN_NORMAL, -Double.MIN_NORMAL, EPSILON));

        assertEquals(-1, MathUtils.compare(0f, 1f, EPSILON));
        assertEquals( 0, MathUtils.compare(-Float.MIN_NORMAL, Float.MIN_NORMAL, EPSILON));
        assertEquals(+1, MathUtils.compare(0f, -1f, EPSILON));
        assertEquals( 0, MathUtils.compare(Float.MIN_NORMAL, -Float.MIN_NORMAL, EPSILON));
    }",3
"(int a, int b)","public class Add {
public int add(int a, int b) {
        return a + b;
    }
}","@Test
    public void add() throws Exception {
        assertThat(underTest.add(3, 3), is(6));
    }",1
"(int a, int b)","public class Plus {
public int plus(int a, int b) {
        int c = a + b;
        return 10000 + c;
    }
}","@Test
    public void testPlus01() {
        Assert.assertEquals(10003, bbb.plus(1, 2));
    }",1
"(int year, int month, int day)","public class YmdToJulian {
public static int ymdToJulian(int year, int month, int day) {
    int a = (14 - month) / 12;
    int y = year + 4800 - a;
    int m = month + 12 * a - 3;
    return day + (153 * m + 2) / 5
        + 365 * y
        + y / 4
        - y / 100
        + y / 400
        - 32045;
  }
}","@Test public void testYmdToJulian() {
    // All checked using http://aa.usno.navy.mil/data/docs/JulianDate.php.
    // We round up - if JulianDate.php gives 2451544.5, we use 2451545.
    assertThat(ymdToJulian(2014, 4, 3), is(2456751));

    // 2000 is a leap year
    assertThat(ymdToJulian(2000, 1, 1), is(2451545));
    assertThat(ymdToJulian(2000, 2, 28), is(2451603));
    assertThat(ymdToJulian(2000, 2, 29), is(2451604));
    assertThat(ymdToJulian(2000, 3, 1), is(2451605));

    assertThat(ymdToJulian(1970, 1, 1), is(2440588));
    assertThat(ymdToJulian(1970, 1, 1), is(EPOCH_JULIAN));
    assertThat(ymdToJulian(1901, 1, 1), is(2415386));

    // 1900 is not a leap year
    assertThat(ymdToJulian(1900, 10, 17), is(2415310));
    assertThat(ymdToJulian(1900, 3, 1), is(2415080));
    assertThat(ymdToJulian(1900, 2, 28), is(2415079));
    assertThat(ymdToJulian(1900, 2, 1), is(2415052));
    assertThat(ymdToJulian(1900, 1, 1), is(2415021));

    assertThat(ymdToJulian(1777, 7, 4), is(2370281));

    // 2016 is a leap year
    assertThat(ymdToJulian(2016, 2, 28), is(2457447));
    assertThat(ymdToJulian(2016, 2, 29), is(2457448));
    assertThat(ymdToJulian(2016, 3, 1), is(2457449));
  }",1
(int i),"public class NextArraySize {
public static int nextArraySize(int i) {
    if (i < 0) {
      throw new IllegalArgumentException();
    }

    if (i > (1 << 30)) {
      return Integer.MAX_VALUE; // this is the next power of 2 minus one... a special case
    }

    if (i == 0) {
      return 1;
    }

    // round up to next power of two
    int ret = i;
    ret--;
    ret |= ret >> 1;
    ret |= ret >> 2;
    ret |= ret >> 4;
    ret |= ret >> 8;
    ret |= ret >> 16;
    ret++;

    return ret;
  }
}","@Test public void testArrayResizing() {
    int size = 64;
    int expected = 128;
    for (int i = 0; i < 10; i++) {
      // We keep being one byte short to contain this message
      int next = UnsynchronizedBuffer.nextArraySize(size + 1);
      assertEquals(expected, next);
      size = next;
      expected *= 2;
    }
  }",4
(int v),"public class DigitCount {
public static int digitCount(int v) {
    for (int n = 1;; n++) {
      v /= 10;
      if (v == 0) {
        return n;
      }
    }
  }
}","@Test public void testEasyLog10() {
    assertEquals(1, digitCount(0));
    assertEquals(1, digitCount(1));
    assertEquals(1, digitCount(9));
    assertEquals(2, digitCount(10));
    assertEquals(2, digitCount(11));
    assertEquals(2, digitCount(99));
    assertEquals(3, digitCount(100));
  }",3
"(long x, long y)","public class FloorDiv {
public static long floorDiv(long x, long y) {
    long r = x / y;
    // if the signs are different and modulo not zero, round down
    if ((x ^ y) < 0 && (r * y != x)) {
      r--;
    }
    return r;
  }
}","@Test public void testFloorDiv() {
    assertThat(floorDiv(13, 3), equalTo(4L));
    assertThat(floorDiv(12, 3), equalTo(4L));
    assertThat(floorDiv(11, 3), equalTo(3L));
    assertThat(floorDiv(-13, 3), equalTo(-5L));
    assertThat(floorDiv(-12, 3), equalTo(-4L));
    assertThat(floorDiv(-11, 3), equalTo(-4L));
    assertThat(floorDiv(0, 3), equalTo(0L));
    assertThat(floorDiv(1, 3), equalTo(0L));
    assertThat(floorDiv(-1, 3), is(-1L));
  }",3
"(boolean a, boolean b, double epsilon)","public class EpsilonEqualsBoolean {
public static boolean epsilonEqualsBoolean(boolean a, boolean b, double epsilon)
   {
      return a == b;
   }
}","@Test// timeout = 30000
   public void testEpsilonEqualsBoolean()
   {
      assertTrue(""Booleans not equal"", IDLTools.epsilonEqualsBoolean(true, true, 0.0));
      assertTrue(""Booleans not equal"", IDLTools.epsilonEqualsBoolean(false, false, 0.0));
      assertFalse(""Booleans equal"", IDLTools.epsilonEqualsBoolean(true, false, 0.0));
   }",1
(int num),"public class LoopOne {
static int loopOne(int num) {
    if (num <= 0) {
      return 0;
    }
    if (num == 1) {
      return 1;
    }

    int pre = 1;
    int cur = 1;

    for (int i = 0; i < num - 2; i++) {
      int temp = pre;
      pre = cur;
      cur = temp + cur;
    }

    return cur;
  }
}","@Test
  public void testLoopOne() {
    general(Fibonacci::loopOne, 10);
  }",4
(int num),"public class RecursiveOne {
static int recursiveOne(int num) {
//    System.out.println(""run"");
    if (num < 0) {
      return 0;
    }

    if (num == 1) {
      return 1;
    }

    return recursiveOne(num - 1) + recursiveOne(num - 2);
  }
}","@Test
  public void testRecursiveOne() throws Exception {
    general(Fibonacci::recursiveOne, 100);
  }",3
(int num),"public class GeneralTermFormula {
static int generalTermFormula(int num) {
    double temp = Math.sqrt(5);
    return (int) (1 / temp * (Math.pow((1 + temp) / 2, num) - Math.pow((1 - temp) / 2, num)));
  }
}","@Test
  public void testGeneralTermFormula() {
    general(Fibonacci::generalTermFormula, 10);
  }",1
"(int firstOperand, double secondOperand)","public class Add {
public static double add(int firstOperand, double secondOperand) {
        return firstOperand + secondOperand;
    }
}","@Test
    public void add() throws Exception {
        assertThat(Calculator.add(1, 2)).isEqualTo(3);
    }",1
(byte n),"public class CountTrailingZeros {
static int countTrailingZeros(byte n) {
		for (int i = 0; i != 8; ++i) {
			if (((n >> i) & 0x01) > 0) {
				return i;
			}
		}
		return 8;
	}
}","@Test
	public void testCountTrailingZeros() {
		assertEquals(8, NumberTheory.countTrailingZeros((byte) 0b0));
		assertEquals(0, NumberTheory.countTrailingZeros((byte) 0b1));
		assertEquals(1, NumberTheory.countTrailingZeros((byte) 0b11111110));
		assertEquals(6, NumberTheory.countTrailingZeros((byte) 0b11000000));
		assertEquals(4, NumberTheory.countTrailingZeros((byte) 0b00010000));
		assertEquals(1, NumberTheory.countTrailingZeros((byte) 0b10101010));
	}",3
(char c),"public class Is_space {
public static boolean is_space(char c) {
		if (c == ' ' || c == '\t' || c == '\n' || c == '\r') {
			return true;
		}

		return false;
	}
}","@Test
    public void testIs_space() {
        System.out.println(""is_space"");

        assertTrue(StringUtils.is_space(' '));
        assertTrue(StringUtils.is_space('\t'));
        assertTrue(StringUtils.is_space('\r'));
        assertTrue(StringUtils.is_space('\n'));
        assertFalse(StringUtils.is_space('\0'));
        assertFalse(StringUtils.is_space('x'));
    }",5
(long timeMs),"public class GetHH_MM_Remain {
public static String getHH_MM_Remain(long timeMs) {
        int totalMinutes = (int) (timeMs / 1000 / 60);
        int minutes = totalMinutes % 60;
        int hours = totalMinutes / 60;
        String str_hour = hours > 9 ? """" + hours : ""0"" + hours;
        String str_minute = minutes > 9 ? """" + minutes : ""0"" + minutes;
        return str_hour + "":"" + str_minute;
    }
}","@Test
    public void getHH_MM_Remain() throws Exception {

    }",1
