,Function,cyclomatic_complexity,javadoc_length,tokens,LOC
91,"public class LENGTH {
/**
	 * Compute the length of the line from (x0,y0) to (x1,y1)
	 * 
	 * @param x0, y0  First line end point.
	 * @param x1, y1  Second line end point.
	 * @return        Length of line from (x0,y0) to (x1,y1).
	 */
	public static double length (double x0, double y0, double x1, double y1)
	{
		double dx = x1 - x0;
		double dy = y1 - y0;

		return Math.sqrt (dx*dx + dy*dy);
	}
}",1.0,1,10,3
92,"public class COMPUTEANGLEOFLINEBETWEENTWOPOINTS {
/**
     * Determines the angle of a straight line drawn between point one and two. The number returned, which is a double in degrees, tells us how much we have to rotate a horizontal line clockwise for it to match the line between the two points.
     * If you prefer to deal with angles using radians instead of degrees, just change the last line to: ""return Math.atan2(yDiff, xDiff);""
     */
    public static double computeAngleOfLineBetweenTwoPoints(double x0, double y0, double x1, double y1)
    {
        double xDiff = x1 - x0;
        double yDiff = y1 - y0;
        //return Math.toDegrees(Math.atan2(yDiff, xDiff));
        return Math.atan2(yDiff, xDiff);
    }
}",1.0,2,65,4
93,"public class UTILIZATION {
/**
     * Calculate the utilization percentage.
     */
    public static int utilization(long obsoleteSize, long totalSize) {
        if (totalSize != 0) {
            return (int) (((totalSize - obsoleteSize) * 100) / totalSize);
        } else {
            return 0;
        }
    }
}",2.0,1,4,4
94,"public class COMPAREBOOL {
/**
	 * Compare two boolean parameters. Consider comparison b1 - b2 with True = 1
	 * and False = 0;
	 * 
	 * @param b1
	 *            first boolean
	 * @param b2
	 *            second boolean
	 * @return b1 - b2, where True = 1, False = 0;
	 */
	private int compareBool(boolean b1, boolean b2) {
		if (b1 == b2)
			return 0; // Both equal
		if (b1)
			return 1; // b1 = true, b2 = false
		return -1; // b1 = false, b2 = true;
	}
}",3.0,4,21,3
95,"public class ISPUNCTUATION {
/**
	 * Check if a character is a punctuation symbol: full stops (.), periods
	 * (,), exclamation marks, question marks, [semi]colons, and the different
	 * forms of brackets are all counted as punctuation.
	 * @param c char to check
	 * @return true or false
	 */
	public static boolean isPunctuation(char c) {
		return (c == '.' || c == ',' || c == '!' || c == '?' || c == ':'
				|| c == ';' || c == '[' || c == ']' || c == '(' || c == ')'
				|| c == '{' || c == '}');
	}
}",12.0,3,29,2
96,"public class MAX {
/**
   * Returns the minimum of three int values.
   *
   * @return The minimum of three int values.
   */
  public static int max(int a, int b, int c) {
    int ma;
    ma = a;
    if (b > ma) {
      ma = b;
    }
    if (c > ma) {
      ma = c;
    }
    return ma;
  }
}",3.0,1,7,7
97,"public class LGAMMA {
/**
   * @return an approximation of the log of the Gamma function * of x.  Laczos Approximation
   * Reference: Numerical Recipes in C
   * http://www.library.cornell.edu/nr/cbookcpdf.html
   * from www.cs.berkeley.edu/~milch/blog/versions/blog-0.1.3/blog/distrib
   */
  public static double lgamma(double x) {
    double[] cof = {76.18009172947146, -86.50532032941677,
      24.01409824083091,-1.231739572450155,
      0.1208650973866179e-2,-0.5395239384953e-5};
    double y, ser, tmp;
    y = x;
    tmp = x + 5.5;
    tmp -= ((x + 0.5) * Math.log(tmp));
    ser = 1.000000000190015;
    for (int j = 0; j < 6; j += 1) {
      y += 1;
      ser += (cof[j] / y);
    }
    return (-tmp + Math.log(2.5066282746310005*ser / x));
  }
}",2.0,3,8,17
98,"public class MIN {
/**
   * Returns the minimum of three int values.
   */
  public static int min(int a, int b, int c) {
    int mi;

    mi = a;
    if (b < mi) {
      mi = b;
    }
    if (c < mi) {
      mi = c;
    }
    return mi;

  }
}",3.0,1,7,7
99,"public class NCHOOSEK {
/**
   * Computes n choose k in an efficient way.  Works with
   * k == 0 or k == n but undefined if k < 0 or k > n
   *
   * @return fact(n) / fact(k) * fact(n-k)
   */
  public static int nChooseK(int n, int k) {
    k = Math.min(k, n - k);
    if (k == 0) {
      return 1;
    }
    int accum = n;
    for (int i = 1; i < k; i++) {
      accum *= (n - i);
      accum /= i;
    }
    return accum / k;
  }
}",3.0,2,27,8
100,"public class POW {
/**
   * Returns an approximation to Math.pow(a,b) that is ~27x faster
   * with a margin of error possibly around ~10%.  From
   * http://martin.ankerl.com/2007/10/04/optimized-pow-approximation-for-java-and-c-c/
   */
  public static double pow(final double a, final double b) {
    final int x = (int) (Double.doubleToLongBits(a) >> 32);
    final int y = (int) (b * (x - 1072632447) + 1072632447);
    return Double.longBitsToDouble(((long) y) << 32);
  }
}",1.0,3,19,3
101,"public class INTPOW {
/**
   * Exponentiation like we learned in grade school:
   * multiply b by itself e times.  Uses power of two trick.
   * e must be nonnegative!!!  no checking!!!  For e &lt;= 0,
   * the exponent is treated as 0, and 1 is returned.  0^0 also
   * returns 1.
   *
   * @param b base
   * @param e exponent
   * @return b^e
   */
  public static int intPow(int b, int e) {
    int result = 1;
    int currPow = b;
    while (e > 0) {
      if ((e & 1) != 0) { result *= currPow; }
      currPow = currPow * currPow;
      e >>= 1;
    }
    return result;
  }
}",3.0,5,42,8
102,"public class INTPOW {
/**
   * Exponentiation like we learned in grade school:
   * multiply b by itself e times.  Uses power of two trick.
   * e must be nonnegative!!!  no checking!!!
   *
   * @param b base
   * @param e exponent
   * @return b^e
   */
  public static float intPow(float b, int e) {
    float result = 1.0f;
    float currPow = b;
    while (e > 0) {
      if ((e & 1) != 0) { result *= currPow; }
      currPow = currPow * currPow;
      e >>= 1;
    }
    return result;
  }
}",3.0,3,24,8
103,"public class INTPOW {
/**
   * Exponentiation like we learned in grade school:
   * multiply b by itself e times.  Uses power of two trick.
   * e must be nonnegative!!!  no checking!!!
   * @param b base
   * @param e exponent
   * @return b^e
   */
  public static double intPow(double b, int e) {
    double result = 1.0;
    double currPow = b;
     while (e > 0) {
      if ((e & 1) != 0) { result *= currPow; }
      currPow = currPow * currPow;
      e >>= 1;
    }
    return result;
  }
}",3.0,3,24,8
104,"public class HYPERGEOMETRIC {
/**
   * Find a hypergeometric distribution.  This uses exact math, trying
   * fairly hard to avoid numeric overflow by interleaving
   * multiplications and divisions.
   * (To do: make it even better at avoiding overflow, by using loops
   * that will do either a multiple or divide based on the size of the
   * intermediate result.)
   *
   * @param k The number of black balls drawn
   * @param n The total number of balls
   * @param r The number of black balls
   * @param m The number of balls drawn
   * @return The hypergeometric value
   */
  public static double hypergeometric(int k, int n, int r, int m) {
    if (k < 0 || r > n || m > n || n <= 0 || m < 0 || r < 0) {
      throw new IllegalArgumentException(""Invalid hypergeometric"");
    }

    // exploit symmetry of problem
    if (m > n / 2) {
      m = n - m;
      k = r - k;
    }
    if (r > n / 2) {
      r = n - r;
      k = m - k;
    }
    if (m > r) {
      int temp = m;
      m = r;
      r = temp;
    }
    // now we have that k <= m <= r <= n/2

    if (k < (m + r) - n || k > m) {
      return 0.0;
    }

    // Do limit cases explicitly
    // It's unclear whether this is a good idea.  I put it in fearing
    // numerical errors when the numbers seemed off, but actually there
    // was a bug in the Fisher's exact routine.
    if (r == n) {
      if (k == m) {
        return 1.0;
      } else {
        return 0.0;
      }
    } else if (r == n - 1) {
      if (k == m) {
        return (n - m) / (double) n;
      } else if (k == m - 1) {
        return m / (double) n;
      } else {
        return 0.0;
      }
    } else if (m == 1) {
      if (k == 0) {
        return (n - r) / (double) n;
      } else if (k == 1) {
        return r / (double) n;
      } else {
        return 0.0;
      }
    } else if (m == 0) {
      if (k == 0) {
        return 1.0;
      } else {
        return 0.0;
      }
    } else if (k == 0) {
      double ans = 1.0;
      for (int m0 = 0; m0 < m; m0++) {
        ans *= ((n - r) - m0);
        ans /= (n - m0);
      }
      return ans;
    }

    double ans = 1.0;
    // do (n-r)x...x((n-r)-((m-k)-1))/n x...x (n-((m-k-1)))
    // leaving rest of denominator to get to multimply by (n-(m-1))
    // that's k things which goes into next loop
    for (int nr = n - r, n0 = n; nr > (n - r) - (m - k); nr--, n0--) {
      // System.out.println(""Multiplying by "" + nr);
      ans *= nr;
      // System.out.println(""Dividing by "" + n0);
      ans /= n0;
    }
    // System.out.println(""Done phase 1"");
    for (int k0 = 0; k0 < k; k0++) {
      ans *= (m - k0);
      // System.out.println(""Multiplying by "" + (m-k0));
      ans /= ((n - (m - k0)) + 1);
      // System.out.println(""Dividing by "" + ((n-(m+k0)+1)));
      ans *= (r - k0);
      // System.out.println(""Multiplying by "" + (r-k0));
      ans /= (k0 + 1);
      // System.out.println(""Dividing by "" + (k0+1));
    }
    return ans;
  }
}",26.0,6,48,54
105,"public class EXACTBINOMIAL {
/**
   * Find a one tailed exact binomial test probability.  Finds the chance
   * of this or a higher result
   *
   * @param k number of successes
   * @param n Number of trials
   * @param p Probability of a success
   */
  public static double exactBinomial(int k, int n, double p) {
    double total = 0.0;
    for (int m = k; m <= n; m++) {
      double nChooseM = 1.0;
      for (int r = 1; r <= m; r++) {
        nChooseM *= (n - r) + 1;
        nChooseM /= r;
      }
      // System.out.println(n + "" choose "" + m + "" is "" + nChooseM);
      // System.out.println(""prob contribution is "" +
      //	       (nChooseM * Math.pow(p, m) * Math.pow(1.0-p, n - m)));
      total += nChooseM * Math.pow(p, m) * Math.pow(1.0 - p, n - m);
    }
    return total;
  }
}",3.0,2,17,8
106,"public class CHISQUARE2BY2 {
/**
   * Find a 2x2 chi-square value.
   * Note: could do this more neatly using simplified formula for 2x2 case.
   *
   * @param k The number of black balls drawn
   * @param n The total number of balls
   * @param r The number of black balls
   * @param m The number of balls drawn
   * @return The Fisher's exact p-value
   */
  public static double chiSquare2by2(int k, int n, int r, int m) {
    int[][] cg = {{k, r - k}, {m - k, n - (k + (r - k) + (m - k))}};
    int[] cgr = {r, n - r};
    int[] cgc = {m, n - m};
    double total = 0.0;
    for (int i = 0; i < 2; i++) {
      for (int j = 0; j < 2; j++) {
        double exp = (double) cgr[i] * cgc[j] / n;
        total += (cg[i][j] - exp) * (cg[i][j] - exp) / exp;
      }
    }
    return total;
  }
}",3.0,2,17,9
107,"public class SIGMOID {
/**
   * Compute the sigmoid function with mean zero.
   * Care is taken to compute an accurate answer without
   * numerical overflow. (Added by rajatr)
   *
   * @param x Point to compute sigmoid at.
   * @return Value of the sigmoid, given by 1/(1+exp(-x))
   */
  public static double sigmoid(double x) {
    if (x<0) {
      double num = Math.exp(x);
      return num / (1.0 + num);
    }
    else {
      double den = 1.0 + Math.exp(-x);
      return 1.0 / den;
    }
  }
}",2.0,3,21,6
108,"public class FACTORIAL {
/**
   * Uses floating point so that it can represent the really big numbers that come up.
   * @param x Argumet to take factorial of
   * @return Factorial of argument
   */
  public static double factorial(int x) {
    double result = 1.0;
    for (int i=x; i>1; i--) {
      result *= i;
    }
    return result;
  }
}",2.0,1,15,4
109,"public class BEFORESAVE {
/**
	 * 	Before Save
	 *	@param newRecord new
	 *	@return true
	 */
	protected boolean beforeSave (boolean newRecord)
	{
		/*if (getAD_Org_ID() != 0)
			setAD_Org_ID(0);*/
		return true;
	}
}",1.0,3,7,3
110,"public class FLOATALPHATOINTALPHA {
/**
	 * Converts a float value between 0f and 1f to an int value
	 * between 0 and 255
	 * @param alpha value between 0f and 1f
	 * @return int value between 0 and 255
	 */
	public static int floatAlphaToIntAlpha(float alpha) {
		if(alpha < 0f || alpha > 1f) {
			throw new IllegalArgumentException(""alpha must be between 0f and 1f. value: "" + alpha);
		}
		return (int) (255 * alpha);
	}
}",3.0,2,16,3
111,"public class COMPILE {
/**
     * Return true or false whether this encoding/format can encode the specified character or not.
     * <p>
     * This method will return true for the following character range: <br />
     * <code>
     *   <nobr>\b | \f | \t | \r | \n | "" | \ | / | [#x20-#xD7FF] | [#xE000-#xFFFD]</nobr>
     * </code>
     * </p>
     *
     * @see <a href=""http://www.w3.org/TR/REC-xml#charsets"">W3C XML 1.0 </a>
     * @see <a href=""http://json.org/"">JSON.org</a>
     */
    public boolean compile(char c) {
        if ((c == '\b') || (c == '\f') | (c == '\t') || (c == '\n') || (c == '\r') || (c == '""') || (c == '\\') || (c == '/')
            || (c == ']') || // ] - to avoid conflicts in CDATA
            (c == '<') || // - escape HTML markup characters
            (c == '>') || // - HTML
            (c == '&') || // - HTML
            (c == '-') || // - HTML comments
            (c < 0x20) || // See <http://www.w3.org/TR/REC-xml#charsets>
            ((c > 0xd7ff) && (c < 0xe000)) || (c > 0xfffd) || (c > 0xff)) {
            return false;
        }

        return true;
    }
}",18.0,7,49,24
112,"public class SAFENEGATE {
/**
     * Negates the input throwing an exception if it can't negate it.
     * 
     * @param value  the value to negate
     * @return the negated value
     * @throws ArithmeticException if the value is Integer.MIN_VALUE
     * @since 1.1
     */
    public static int safeNegate(int value) {
        if (value == Integer.MIN_VALUE) {
            throw new ArithmeticException(""Integer.MIN_VALUE cannot be negated"");
        }
        return -value;
    }
}",2.0,1,11,3
113,"public class SAFEADD {
/**
     * Add two values throwing an exception if overflow occurs.
     * 
     * @param val1  the first value
     * @param val2  the second value
     * @return the new total
     * @throws ArithmeticException if the value is too big or too small
     */
    public static int safeAdd(int val1, int val2) {
        int sum = val1 + val2;
        // If there is a sign change, but the two values have the same sign...
        if ((val1 ^ sum) < 0 && (val1 ^ val2) >= 0) {
            throw new ArithmeticException
                (""The calculation caused an overflow: "" + val1 + "" + "" + val2);
        }
        return sum;
    }
}",3.0,1,9,4
114,"public class SAFEADD {
/**
     * Add two values throwing an exception if overflow occurs.
     * 
     * @param val1  the first value
     * @param val2  the second value
     * @return the new total
     * @throws ArithmeticException if the value is too big or too small
     */
    public static long safeAdd(long val1, long val2) {
        long sum = val1 + val2;
        // If there is a sign change, but the two values have the same sign...
        if ((val1 ^ sum) < 0 && (val1 ^ val2) >= 0) {
            throw new ArithmeticException
                (""The calculation caused an overflow: "" + val1 + "" + "" + val2);
        }
        return sum;
    }
}",3.0,1,9,4
115,"public class SAFESUBTRACT {
/**
     * Subtracts two values throwing an exception if overflow occurs.
     * 
     * @param val1  the first value, to be taken away from
     * @param val2  the second value, the amount to take away
     * @return the new total
     * @throws ArithmeticException if the value is too big or too small
     */
    public static long safeSubtract(long val1, long val2) {
        long diff = val1 - val2;
        // If there is a sign change, but the two values have different signs...
        if ((val1 ^ diff) < 0 && (val1 ^ val2) < 0) {
            throw new ArithmeticException
                (""The calculation caused an overflow: "" + val1 + "" - "" + val2);
        }
        return diff;
    }
}",3.0,1,9,4
116,"public class SAFEMULTIPLY {
/**
     * Multiply two values throwing an exception if overflow occurs.
     * 
     * @param val1  the first value
     * @param val2  the second value
     * @return the new total
     * @throws ArithmeticException if the value is too big or too small
     * @since 1.2
     */
    public static int safeMultiply(int val1, int val2) {
        long total = (long) val1 * (long) val2;
        if (total < Integer.MIN_VALUE || total > Integer.MAX_VALUE) {
            throw new ArithmeticException
                (""The calculation caused an overflow: "" + val1 + "" * "" + val2);
        }
        return (int) total;
    }
}",3.0,1,9,4
117,"public class SAFEMULTIPLY {
/**
     * Multiply two values throwing an exception if overflow occurs.
     * 
     * @param val1  the first value
     * @param scalar  the second value
     * @return the new total
     * @throws ArithmeticException if the value is too big or too small
     * @since 1.2
     */
    public static long safeMultiply(long val1, int scalar) {
        switch (scalar) {
        case -1:
            return -val1;
        case 0:
            return 0L;
        case 1:
            return val1;
        }
        long total = val1 * scalar;
        if (total / scalar != val1) {
            throw new ArithmeticException
                (""The calculation caused an overflow: "" + val1 + "" * "" + scalar);
        }
        return total;
    }
}",3.0,1,9,11
118,"public class SAFEMULTIPLY {
/**
     * Multiply two values throwing an exception if overflow occurs.
     * 
     * @param val1  the first value
     * @param val2  the second value
     * @return the new total
     * @throws ArithmeticException if the value is too big or too small
     */
    public static long safeMultiply(long val1, long val2) {
        if (val2 == 1) {
            return val1;
        }
        if (val2 == 0) {
            return 0;
        }
        long total = val1 * val2;
        if (total / val2 != val1) {
            throw new ArithmeticException
                (""The calculation caused an overflow: "" + val1 + "" * "" + val2);
        }
        return total;
    }
}",4.0,1,9,8
119,"public class SAFETOINT {
/**
     * Casts to an int throwing an exception if overflow occurs.
     * 
     * @param value  the value
     * @return the value as an int
     * @throws ArithmeticException if the value is too big or too small
     */
    public static int safeToInt(long value) {
        if (Integer.MIN_VALUE <= value && value <= Integer.MAX_VALUE) {
            return (int) value;
        }
        throw new ArithmeticException(""Value cannot fit in an int: "" + value);
    }
}",3.0,1,10,3
120,"public class GETWRAPPEDVALUE {
/**
     * Utility method that ensures the given value lies within the field's
     * legal value range.
     * 
     * @param value  the value to fit into the wrapped value range
     * @param minValue the wrap range minimum value.
     * @param maxValue the wrap range maximum value.  This must be
     *  greater than minValue (checked by the method).
     * @return the wrapped value
     * @throws IllegalArgumentException if minValue is greater
     *  than or equal to maxValue
     */
    public static int getWrappedValue(int value, int minValue, int maxValue) {
        if (minValue >= maxValue) {
            throw new IllegalArgumentException(""MIN > MAX"");
        }

        int wrapRange = maxValue - minValue + 1;
        value -= minValue;

        if (value >= 0) {
            return (value % wrapRange) + minValue;
        }

        int remByRange = (-value) % wrapRange;

        if (remByRange == 0) {
            return 0 + minValue;
        }
        return (wrapRange - remByRange) + minValue;
    }
}",4.0,4,26,10
121,"public class DIV {
/**
     * Divide with round-negative behavior.
     *
     * @param divisor must be positive
     */
    static long div(long dividend, long divisor) {
        if (divisor < 0) {
            throw new IllegalArgumentException(""divisor must be positive: "" + divisor);
        }
        if (dividend >= 0) {
            return dividend / divisor;
        } else {
            return (dividend + 1) / divisor - 1;
        }
    }
}",3.0,1,4,6
122,"public class MOD {
/**
     * Modulus with round-negative behavior, result is always positive.
     *
     * @param divisor must be positive
     */
    static long mod(long dividend, long divisor) {
        if (divisor < 0) {
            throw new IllegalArgumentException(""divisor must be positive: "" + divisor);
        }
        if (dividend >= 0) {
            return dividend % divisor;
        } else {
            return (dividend + 1) % divisor - 1 + divisor;
        }
    }
}",3.0,1,8,6
123,"public class ISMIN {
/**
   * Internal method that returns the min between last_index and x if x is not
   * equal to -1.
   * 
   * @param last_index last_index value
   * @param x value to compare with last_index
   * @return x if (x <last_index and x!=-1) else last_index
   */
  private int isMin(int last_index, int x)
  {
    if (x == -1)
      return last_index;
    if (last_index <= x)
      return last_index;
    else
      return x;
  }
}",3.0,2,17,3
124,"public class ZETASTATIC {
/**
	 * Compute the zeta constant needed for the distribution. Do this
	 * incrementally for a distribution that has n items now but used to have st
	 * items. Use the zipfian constant theta. Remember the new value of n so
	 * that if we change the itemcount, we'll know to recompute zeta.
	 * 
	 * @param st
	 *            The number of items used to compute the last initialsum
	 * @param n
	 *            The number of items to compute zeta over.
	 * @param theta
	 *            The zipfian constant.
	 * @param initialsum
	 *            The value of zeta we are computing incrementally from.
	 */
	static double zetastatic(long st, long n, double theta, double initialsum) {
		double sum = initialsum;
		for (long i = st; i < n; i++) {

			sum += 1 / (Math.pow(i + 1, theta));
		}

		// System.out.println(""countforzeta=""+countforzeta);

		return sum;
	}
}",2.0,8,78,4
125,"public class REHASH {
/**
     * Applies a supplemental hash function to a given hash code, which defends
     * against poor quality hash functions. This is critical when the concurrent
     * hash map uses power-of-two length hash tables, that otherwise encounter
     * collisions for hash codes that do not differ in lower or upper bits.
     * 
     * @param h
     *        hash code
     */
    private static int rehash(int h) {
        // Spread bits to regularize both segment and index locations,
        // using variant of single-word Wang/Jenkins hash.
        h += (h << 15) ^ 0xffffcd7d;
        h ^= (h >>> 10);
        h += (h << 3);
        h ^= (h >>> 6);
        h += (h << 2) + (h << 14);
        return h ^ (h >>> 16);
    }
}",1.0,5,48,6
126,"public class SPRAWDZ {
/**
        * Sprawdzenie poprawnosci danych poczatkowych.
        * Waga musi byc dodatnia. Opor, predkosc poczatkowa, wysokosc poczatkowa
        * nie moga byc ujemne. Kat poczatkowy (w stopniach) musi byc 
        * w przedziale (0, 90)
        * 
        * @return True jak poprawne, inaczej false
        */
        public static boolean sprawdz(double v0, double h0, double kat, double waga, 
                double opor, double krok, int ileKrokow)
        {
            if (waga <= 0) return false;
            if (krok <= Math.pow(10, -8) && ileKrokow <= 0) return false;
            if (opor < 0) return false;
            if (v0 < 0) return false;
            if (h0 < 0) return false;
            if (kat < 0 || kat > 90) return false;
            
            
            return true;
        }
}",9.0,4,27,8
127,"public class MIN {
/**
     * Our own little min method, to avoid loading java.lang.Math if we've run out of file descriptors and we're trying
     * to print a stack trace.
     */
    private int min(int a, int b) {
        if (a < b)
            return a;
        return b;
    }
}",2.0,2,24,2
128,"public class DEHEXCHAR {
/**
     * Get the hex value of a character (base16).
     * 
     * @param c A character between '0' and '9' or between 'A' and 'F' or between 'a' and 'f'.
     * @return An int between 0 and 15, or -1 if c was not a hex digit.
     */
    public static int dehexchar(char c) {
        if (c >= '0' && c <= '9') {
            return c - '0';
        }
        if (c >= 'A' && c <= 'F') {
            return c - ('A' - 10);
        }
        if (c >= 'a' && c <= 'f') {
            return c - ('a' - 10);
        }
        return -1;
    }
}",7.0,1,8,7
129,"public class ISVALIDBYTE {
/** Check if a number is a valid .byte
	 *  @param num the value to validate
	 *  @return true if num is a valid .byte, else false
	 */
	private boolean isValidByte(long num)
	{
		if (num>255||num<-127)
			return false;

		return true;

	}
}",3.0,2,16,2
130,"public class TOSRGB {
/**
	 * Input is assumed to be scaled 0-1
	 */
	public double toSRGB(double v)
		{
		double a=0.055;
		if(v<0.0031308)
			return 12.92*v;
		else
			return (1+a)*Math.pow(v,1/2.4)-a;
		}
}",2.0,1,7,3
131,"public class TOXYZ {
/**
	 * Input is assumed to be scaled 0-1
	 */
	public double toXYZ(double v)
		{
		double a=0.055;
		if(v<0.04045)
			return v/12.92;
		else
			return Math.pow((v+a)/a,2.4);
		}
}",2.0,1,7,3
132,"public class POVXAXIS {
/** Convert from JInput strange pov to a real axis: X */
	public double povXaxis(double in)
		{
		if(in==0.125 || in==0.875 || in==1) return -1;
		else if(in==0.375 || in==0.25 || in==0.625) return 1;
		return 0;
		}
}",7.0,1,12,3
133,"public class POVYAXIS {
/** Convert from JInput strange pov to a real axis: Y */
	public double povYaxis(double in)
		{
		if(in==0.125 || in==0.25 || in==0.375) return -1;
		else if(in==0.625 || in==0.75 || in==0.825) return 1;
		return 0;
		}
}",7.0,1,12,3
134,"public class SUITABLEPOWER2 {
/**
	 * Round to best 2^
	 */
	public static int suitablePower2(int s)
		{
//		return 128;
		if(s>380) return 512;
		else if(s>192) return 256;
		else if(s>96) return 128;
		else if(s>48) return 64;
		else if(s>24) return 32;
		else if(s>12) return 16;
		else if(s>6) return 8;
		else return 4;
		}
}",8.0,1,4,8
135,"public class SUITABLEPOWER2 {
/**
	 * Round to best 2^
	 */
	private static int suitablePower2(int s)
		{
		//An option to restrict max texture size would be good
//		if(true)return 256;
		
		if(s>380) return 512;
		else if(s>192) return 256;
		else if(s>96) return 128;
		else if(s>48) return 64;
		else if(s>24) return 32;
		else if(s>12) return 16;
		else if(s>6) return 8;
		else return 4;
		}
}",8.0,1,4,8
136,"public class CEILPOWER2 {
/**
	 * Ceil to nearest 2^
	 */
	public static int ceilPower2(int s)
		{
		if(s>1024)
			{
			double log2=Math.log(2);
			double x=Math.ceil(Math.log(s)/log2);
			int v=(int)Math.exp(Math.log(2)*x);
			System.out.println(""ceilpow2 ""+s+"" => ""+v);
			return v;
			}
		else if(s>512) return 1024;
		else if(s>256) return 512;
		else if(s>128) return 256;
		else if(s>64) return 128;
		else if(s>32) return 64;
		else if(s>16) return 32;
		else if(s>8) return 16;
		else if(s>4) return 8;
		else return 4;
		}
}",10.0,1,4,15
137,"public class ISINSIDETRIANGLE {
/**
	 * Check if the point p is inside the triangle
	 */
	private static boolean isInsideTriangle(double Ax, double Ay,
      double Bx, double By,
      double Cx, double Cy,
      double Px, double Py)

		{
		double ax, ay, bx, by, cx, cy, apx, apy, bpx, bpy, cpx, cpy;
		double cCROSSap, bCROSScp, aCROSSbp;
		
		ax = Cx - Bx;  ay = Cy - By;
		bx = Ax - Cx;  by = Ay - Cy;
		cx = Bx - Ax;  cy = By - Ay;
		apx= Px - Ax;  apy= Py - Ay;
		bpx= Px - Bx;  bpy= Py - By;
		cpx= Px - Cx;  cpy= Py - Cy;
		
		aCROSSbp = ax*bpy - ay*bpx;
		cCROSSap = cx*apy - cy*apx;
		bCROSScp = bx*cpy - by*cpx;
		
		return ((aCROSSbp >= 0.0f) && (bCROSScp >= 0.0f) && (cCROSSap >= 0.0f));
		}
}",3.0,1,9,19
138,"public class TRIANGLEAREAUSINGSIDES {
/**
	 * Calculate area of triangle given lengths of sides.
	 * Uses Heron's formula.
	 */
	public static double triangleAreaUsingSides(double a, double b, double c)
		{
		double s=(a+b+c)/2;
		return Math.sqrt(s*(s-a)*(s-b)*(s-c));
		}
}",1.0,2,11,2
139,"public class INTERPOLATELINEAR {
/**
	 * Linear interpolation: Given (x1,y1) and (x2,y2), find y in (x,y)
	 */
	public static double interpolateLinear(double x1, double y1, double x2, double y2, double x)
		{
		double s=(x-x1)/(x2-x1);
		return s*y2+(1.0-s)*y1;
		}
}",1.0,1,10,2
140,"public class UNBIASEDVARIANCE {
/**
	 * Calculate unbiased sample variance
	 * @param sum		Sum X
	 * @param sum2	Sum X^2
	 * @param n			Number of samples
	 */
	public static double unbiasedVariance(double sum, double sum2, int n)
		{
		int n1=n-1;
		return sum2/n1 - sum*sum/(n1*n);
		}
}",1.0,1,4,2
141,"public class TOINT {
/**
	 * Turn boolean into 1 or 0
	 */
	public static int toInt(boolean b)
		{
		if(b)
			return 1;
		else
			return 0;
		}
}",2.0,1,6,2
142,"public class RATIOABOVE1 {
/**
	 * Return largest value of a/b and b/a, which has to be >=1 
	 */
	public static double ratioAbove1(double a, double b)
		{
		if(a<b)
			return b/a;
		else
			return a/b;
		}
}",2.0,1,12,2
143,"public class CLAMP {
/**
	 * Clamp value within limits i.e. return value, changed to closest limit if outside
	 */
	public static double clamp(double value, double min, double max)
		{
		if(value<min)
			return min;
		else if(value>max)
			return max;
		else
			return value;
		}
}",3.0,1,13,3
144,"public class MAXALLINT {
/**
	 * Get the maximum of a list
	 */
	public static int maxAllint(int... v)
		{
		int r=v[0];
		for(int i=1;i<v.length;i++)
			if(v[i]>r)
				r=v[i];
		return r;
		}
}",3.0,1,6,3
145,"public class MINALLINT {
/**
	 * Get the minimum of a list
	 */
	public static int minAllInt(int... v)
		{
		int r=v[0];
		for(int i=1;i<v.length;i++)
			if(v[i]<r)
				r=v[i];
		return r;
		}
}",3.0,1,6,3
146,"public class MAXALL {
/**
	 * Get the maximum of a list
	 */
	public static double maxAll(double... v)
		{
		double r=v[0];
		for(int i=1;i<v.length;i++)
			if(v[i]>r)
				r=v[i];
		return r;
		}
}",3.0,1,6,3
147,"public class MINALL {
/**
	 * Get the minimum of a list
	 */
	public static double minAll(double... v)
		{
		double r=v[0];
		for(int i=1;i<v.length;i++)
			if(v[i]<r)
				r=v[i];
		return r;
		}
}",3.0,1,6,3
148,"public class GETNEIGHBOR {
/**
	 * Return the value of the circular neighbor in the corresponding position
	 * neigh to pixel
	 */
	public static int getNeighbor(int pixel, int neigh, int w)
		{
		switch (neigh)
			{
			case 0:
				return pixel-w;
			case 1:
				return pixel-w+1;
			case 2:
				return pixel+1;
			case 3:
				return pixel+w+1;
			case 4:
				return pixel+w;
			case 5:
				return pixel+w-1;
			case 6:
				return pixel-1;
			case 7:
				return pixel-w-1;
			default:
				return -1;
			}

		}
}",2.0,2,14,19
149,"public class ISCIRCULARNEIGHBOR {
/**
	 * True if neighbor is a circular neighbor of position in a image of width w
	 */
	public static boolean isCircularNeighbor(int neighbor, int position, int w)
		{
		int diff = neighbor-position;
		int[] neigh =
			{ w, -w, 1, -1, w-1, w+1, -w-1, -w+1 };

		for (int i = 0; i<8; i++)
			{
			if (diff==neigh[i])
				return true;
			}
		return false;
		}
}",3.0,1,15,5
