"Function","cyclomatic_complexity"
"public class Isbetween {

	public static boolean isbetween (double a, double b, double c)
	{
		return b > a ? c >= a && c <= b : c >= b && c <= a;
	}
}","3"
"public class Equals {

	public static boolean equals (double a, double b, double limit)
	{
		return Math.abs (a - b) < limit;
	}
}","1"
"public class Min {

	public static double min (double a, double b, double c, double d)
	{
		return Math.min (Math.min (a, b), Math.min (c, d));
	}
}","1"
"public class Max {

	public static double max (double a, double b, double c, double d)
	{
		return Math.max (Math.max (a, b), Math.max (c, d));
	}
}","1"
"public class Ispointinsiderectangle {

	public static boolean ispointinsiderectangle (int x0, int y0, int x1, int y1,
			int x, int y)
	{
		return x >= x0 && x < x1 && y >= y0 && y < y1;
	}
}","4"
"public class Length {

	public static double length (double x0, double y0, double x1, double y1)
	{
		double dx = x1 - x0;
		double dy = y1 - y0;

		return Math.sqrt (dx*dx + dy*dy);
	}
}","1"
"public class Computeangleoflinebetweentwopoints {

    public static double computeangleoflinebetweentwopoints(double x0, double y0, double x1, double y1)
    {
        double xDiff = x1 - x0;
        double yDiff = y1 - y0;
        //return Math.toDegrees(Math.atan2(yDiff, xDiff));
        return Math.atan2(yDiff, xDiff);
    }
}","1"
"public class Readnthbyte {

	public static byte readnthbyte(long l, int n)
	{
		return (byte) (0xFF & (l >> (n * Byte.SIZE)));
	}
}","1"
"public class Isrequest {

	public static boolean isrequest(int code) {
		return (code >= 1) && (code <= 31);
	}
}","2"
"public class Isresponse {

	public static boolean isresponse(int code) {

		return (code >= 64) && (code <= 191);
	}
}","2"
"public class Isvalid {

	public static boolean isvalid(int code) {
		//return ((code >= 0) && (code <= 31)) || ((code >= 64) && (code <= 191));
		return (code >= 0) && (code <= 255); // allow unknown custom codes
	}
}","2"
"public class Responseclass {

	public static int responseclass(int code) {
		return (code >> 5) & 0x7;
	}
}","1"
"public class Random {

  public static int random(int network, int mask) {
    // the bits that get randomized are the inverse of the mask
    int rbits = ~mask;

    int random = network + (int)(rbits * Math.random()) + 1;

    return random;
  }
}","1"
"public class Test {

  public static boolean test(float probability) {
    double r = Math.random();
    return r < probability;
  }
}","1"
"public class Nibbletodigit {

  public static char nibbletodigit(byte x) {
    char c = (char)(x & 0xf); // mask low nibble
    return(c > 9 ? (char)(c - 10 + 'a') : (char)(c + '0')); // int to hex char
  }
}","1"
"public class Utilization {

    public static int utilization(long obsoleteSize, long totalSize) {
        if (totalSize != 0) {
            return (int) (((totalSize - obsoleteSize) * 100) / totalSize);
        } else {
            return 0;
        }
    }
}","2"
"public class Getlsnofin {

    public long getlsnofin(long lastReadLsn) {
        return lastReadLsn;
    }
}","1"
"public class Issoughtnode {

    protected boolean issoughtnode(long nid, boolean updateGeneration) {
        return false;
    }
}","1"
"public class Canbeancestor {

    protected boolean canbeancestor(boolean targetContainsDuplicates) {
        return false;
    }
}","1"
"public class Microstomillis {

    public static long microstomillis(long micros) {
        return (micros + 999) / 1000;
    }
}","1"
"public class Keypressed {

	public boolean keypressed(int key) {
		return false;
	}
}","1"
"public class Integerpartlen {

    public int integerpartlen(double x) {
        return 1 + (int) Math.log10( Math.abs(x) );
    }
}","1"
"public class Getrandomnumber {

	public long getrandomnumber(int theLength) {
		return (long) (Math.random() * Math.pow(10, theLength));
	}
}","1"
"public class Comparebool {

	public int comparebool(boolean b1, boolean b2) {
		if (b1 == b2)
			return 0; // Both equal
		if (b1)
			return 1; // b1 = true, b2 = false
		return -1; // b1 = false, b2 = true;
	}
}","3"
"public class Isalphanumeric {

	public static boolean isalphanumeric(char c) {
		return ((c >= 'a' && c <= 'z')
			|| (c >= 'A' && c <= 'Z')
			|| (c >= '0' && c <= '9'));
	}
}","6"
"public class Ispunctuation {

	public static boolean ispunctuation(char c) {
		return (c == '.' || c == ',' || c == '!' || c == '?' || c == ':'
				|| c == ';' || c == '[' || c == ']' || c == '(' || c == ')'
				|| c == '{' || c == '}');
	}
}","12"
"public class Round {

  public static double round(double x) {
    return Math.floor(x + 0.5d);
  }
}","1"
"public class Max {

  public static int max(int a, int b, int c) {
    int ma;
    ma = a;
    if (b > ma) {
      ma = b;
    }
    if (c > ma) {
      ma = c;
    }
    return ma;
  }
}","3"
"public class Lgamma {

  public static double lgamma(double x) {
    double[] cof = {76.18009172947146, -86.50532032941677,
      24.01409824083091,-1.231739572450155,
      0.1208650973866179e-2,-0.5395239384953e-5};
    double y, ser, tmp;
    y = x;
    tmp = x + 5.5;
    tmp -= ((x + 0.5) * Math.log(tmp));
    ser = 1.000000000190015;
    for (int j = 0; j < 6; j += 1) {
      y += 1;
      ser += (cof[j] / y);
    }
    return (-tmp + Math.log(2.5066282746310005*ser / x));
  }
}","2"
"public class Min {

  public static int min(int a, int b, int c) {
    int mi;

    mi = a;
    if (b < mi) {
      mi = b;
    }
    if (c < mi) {
      mi = c;
    }
    return mi;

  }
}","3"
"public class Max {

  public static float max(float a, float b) {
    return (a >= b) ? a : b;
  }
}","1"
"public class Max {

  public static double max(double a, double b) {
    return (a >= b) ? a : b;
  }
}","1"
"public class Min {

  public static float min(float a, float b) {
    return (a <= b) ? a : b;
  }
}","1"
"public class Min {

  public static double min(double a, double b) {
    return (a <= b) ? a : b;
  }
}","1"
"public class Isdangerous {

  public static boolean isdangerous(double d) {
    return Double.isInfinite(d) || Double.isNaN(d) || d == 0.0;
  }
}","3"
"public class Isverydangerous {

  public static boolean isverydangerous(double d) {
    return Double.isInfinite(d) || Double.isNaN(d);
  }
}","2"
"public class Log {

  public static double log(double num, double base) {
    return Math.log(num)/Math.log(base);
  }
}","1"
"public class Nchoosek {

  public static int nchoosek(int n, int k) {
    k = Math.min(k, n - k);
    if (k == 0) {
      return 1;
    }
    int accum = n;
    for (int i = 1; i < k; i++) {
      accum *= (n - i);
      accum /= i;
    }
    return accum / k;
  }
}","3"
"public class Pow {

  public static double pow(final double a, final double b) {
    final int x = (int) (Double.doubleToLongBits(a) >> 32);
    final int y = (int) (b * (x - 1072632447) + 1072632447);
    return Double.longBitsToDouble(((long) y) << 32);
  }
}","1"
"public class Intpow {

  public static int intpow(int b, int e) {
    int result = 1;
    int currPow = b;
    while (e > 0) {
      if ((e & 1) != 0) { result *= currPow; }
      currPow = currPow * currPow;
      e >>= 1;
    }
    return result;
  }
}","3"
"public class Intpow {

  public static float intpow(float b, int e) {
    float result = 1.0f;
    float currPow = b;
    while (e > 0) {
      if ((e & 1) != 0) { result *= currPow; }
      currPow = currPow * currPow;
      e >>= 1;
    }
    return result;
  }
}","3"
"public class Intpow {

  public static double intpow(double b, int e) {
    double result = 1.0;
    double currPow = b;
     while (e > 0) {
      if ((e & 1) != 0) { result *= currPow; }
      currPow = currPow * currPow;
      e >>= 1;
    }
    return result;
  }
}","3"
"public class Hypergeometric {

  public static double hypergeometric(int k, int n, int r, int m) {
    if (k < 0 || r > n || m > n || n <= 0 || m < 0 || r < 0) {
      throw new IllegalArgumentException(""Invalid hypergeometric"");
    }

    // exploit symmetry of problem
    if (m > n / 2) {
      m = n - m;
      k = r - k;
    }
    if (r > n / 2) {
      r = n - r;
      k = m - k;
    }
    if (m > r) {
      int temp = m;
      m = r;
      r = temp;
    }
    // now we have that k <= m <= r <= n/2

    if (k < (m + r) - n || k > m) {
      return 0.0;
    }

    // Do limit cases explicitly
    // It's unclear whether this is a good idea.  I put it in fearing
    // numerical errors when the numbers seemed off, but actually there
    // was a bug in the Fisher's exact routine.
    if (r == n) {
      if (k == m) {
        return 1.0;
      } else {
        return 0.0;
      }
    } else if (r == n - 1) {
      if (k == m) {
        return (n - m) / (double) n;
      } else if (k == m - 1) {
        return m / (double) n;
      } else {
        return 0.0;
      }
    } else if (m == 1) {
      if (k == 0) {
        return (n - r) / (double) n;
      } else if (k == 1) {
        return r / (double) n;
      } else {
        return 0.0;
      }
    } else if (m == 0) {
      if (k == 0) {
        return 1.0;
      } else {
        return 0.0;
      }
    } else if (k == 0) {
      double ans = 1.0;
      for (int m0 = 0; m0 < m; m0++) {
        ans *= ((n - r) - m0);
        ans /= (n - m0);
      }
      return ans;
    }

    double ans = 1.0;
    // do (n-r)x...x((n-r)-((m-k)-1))/n x...x (n-((m-k-1)))
    // leaving rest of denominator to get to multimply by (n-(m-1))
    // that's k things which goes into next loop
    for (int nr = n - r, n0 = n; nr > (n - r) - (m - k); nr--, n0--) {
      // System.out.println(""Multiplying by "" + nr);
      ans *= nr;
      // System.out.println(""Dividing by "" + n0);
      ans /= n0;
    }
    // System.out.println(""Done phase 1"");
    for (int k0 = 0; k0 < k; k0++) {
      ans *= (m - k0);
      // System.out.println(""Multiplying by "" + (m-k0));
      ans /= ((n - (m - k0)) + 1);
      // System.out.println(""Dividing by "" + ((n-(m+k0)+1)));
      ans *= (r - k0);
      // System.out.println(""Multiplying by "" + (r-k0));
      ans /= (k0 + 1);
      // System.out.println(""Dividing by "" + (k0+1));
    }
    return ans;
  }
}","26"
"public class Exactbinomial {

  public static double exactbinomial(int k, int n, double p) {
    double total = 0.0;
    for (int m = k; m <= n; m++) {
      double nChooseM = 1.0;
      for (int r = 1; r <= m; r++) {
        nChooseM *= (n - r) + 1;
        nChooseM /= r;
      }
      // System.out.println(n + "" choose "" + m + "" is "" + nChooseM);
      // System.out.println(""prob contribution is "" +
      //	       (nChooseM * Math.pow(p, m) * Math.pow(1.0-p, n - m)));
      total += nChooseM * Math.pow(p, m) * Math.pow(1.0 - p, n - m);
    }
    return total;
  }
}","3"
"public class Chisquare2by2 {

  public static double chisquare2by2(int k, int n, int r, int m) {
    int[][] cg = {{k, r - k}, {m - k, n - (k + (r - k) + (m - k))}};
    int[] cgr = {r, n - r};
    int[] cgc = {m, n - m};
    double total = 0.0;
    for (int i = 0; i < 2; i++) {
      for (int j = 0; j < 2; j++) {
        double exp = (double) cgr[i] * cgc[j] / n;
        total += (cg[i][j] - exp) * (cg[i][j] - exp) / exp;
      }
    }
    return total;
  }
}","3"
"public class Sigmoid {

  public static double sigmoid(double x) {
    if (x<0) {
      double num = Math.exp(x);
      return num / (1.0 + num);
    }
    else {
      double den = 1.0 + Math.exp(-x);
      return 1.0 / den;
    }
  }
}","2"
"public class Factorial {

  public static double factorial(int x) {
    double result = 1.0;
    for (int i=x; i>1; i--) {
      result *= i;
    }
    return result;
  }
}","2"
"public class Beforesave {

	protected boolean beforesave (boolean newRecord)
	{
		/*if (getAD_Org_ID() != 0)
			setAD_Org_ID(0);*/
		return true;
	}
}","1"
"public class Beforesave {

	protected boolean beforesave (boolean newRecord)
	{
		return true;
	}
}","1"
"public class Floatalphatointalpha {

	public static int floatalphatointalpha(float alpha) {
		if(alpha < 0f || alpha > 1f) {
			throw new IllegalArgumentException(""alpha must be between 0f and 1f. value: "" + alpha);
		}
		return (int) (255 * alpha);
	}
}","3"
"public class Compile {

    public boolean compile(char c) {
        if ((c == '\b') || (c == '\f') | (c == '\t') || (c == '\n') || (c == '\r') || (c == '""') || (c == '\\') || (c == '/')
            || (c == ']') || // ] - to avoid conflicts in CDATA
            (c == '<') || // - escape HTML markup characters
            (c == '>') || // - HTML
            (c == '&') || // - HTML
            (c == '-') || // - HTML comments
            (c < 0x20) || // See <http://www.w3.org/TR/REC-xml#charsets>
            ((c > 0xd7ff) && (c < 0xe000)) || (c > 0xfffd) || (c > 0xff)) {
            return false;
        }

        return true;
    }
}","18"
"public class Shouldadjustaxis {

        public int shouldadjustaxis(long value) {
            // time axis never adjusts
            return 0;
        }
}","1"
"public class Roundfloor {

    public long roundfloor(long instant) {
        return Long.MIN_VALUE;
    }
}","1"
"public class Roundceiling {

    public long roundceiling(long instant) {
        return Long.MAX_VALUE;
    }
}","1"
"public class Roundhalffloor {

    public long roundhalffloor(long instant) {
        return Long.MIN_VALUE;
    }
}","1"
"public class Roundhalfceiling {

    public long roundhalfceiling(long instant) {
        return Long.MIN_VALUE;
    }
}","1"
"public class Roundhalfeven {

    public long roundhalfeven(long instant) {
        return Long.MIN_VALUE;
    }
}","1"
"public class Isleap {

    public boolean isleap(long instant) {
        return false;
    }
}","1"
"public class Getleapamount {

    public int getleapamount(long instant) {
        return 0;
    }
}","1"
"public class Safenegate {

    public static int safenegate(int value) {
        if (value == Integer.MIN_VALUE) {
            throw new ArithmeticException(""Integer.MIN_VALUE cannot be negated"");
        }
        return -value;
    }
}","2"
"public class Safeadd {

    public static int safeadd(int val1, int val2) {
        int sum = val1 + val2;
        // If there is a sign change, but the two values have the same sign...
        if ((val1 ^ sum) < 0 && (val1 ^ val2) >= 0) {
            throw new ArithmeticException
                (""The calculation caused an overflow: "" + val1 + "" + "" + val2);
        }
        return sum;
    }
}","3"
"public class Safeadd {

    public static long safeadd(long val1, long val2) {
        long sum = val1 + val2;
        // If there is a sign change, but the two values have the same sign...
        if ((val1 ^ sum) < 0 && (val1 ^ val2) >= 0) {
            throw new ArithmeticException
                (""The calculation caused an overflow: "" + val1 + "" + "" + val2);
        }
        return sum;
    }
}","3"
"public class Safesubtract {

    public static long safesubtract(long val1, long val2) {
        long diff = val1 - val2;
        // If there is a sign change, but the two values have different signs...
        if ((val1 ^ diff) < 0 && (val1 ^ val2) < 0) {
            throw new ArithmeticException
                (""The calculation caused an overflow: "" + val1 + "" - "" + val2);
        }
        return diff;
    }
}","3"
"public class Safemultiply {

    public static int safemultiply(int val1, int val2) {
        long total = (long) val1 * (long) val2;
        if (total < Integer.MIN_VALUE || total > Integer.MAX_VALUE) {
            throw new ArithmeticException
                (""The calculation caused an overflow: "" + val1 + "" * "" + val2);
        }
        return (int) total;
    }
}","3"
"public class Safemultiply {

    public static long safemultiply(long val1, int scalar) {
        switch (scalar) {
        case -1:
            return -val1;
        case 0:
            return 0L;
        case 1:
            return val1;
        }
        long total = val1 * scalar;
        if (total / scalar != val1) {
            throw new ArithmeticException
                (""The calculation caused an overflow: "" + val1 + "" * "" + scalar);
        }
        return total;
    }
}","3"
"public class Safemultiply {

    public static long safemultiply(long val1, long val2) {
        if (val2 == 1) {
            return val1;
        }
        if (val2 == 0) {
            return 0;
        }
        long total = val1 * val2;
        if (total / val2 != val1) {
            throw new ArithmeticException
                (""The calculation caused an overflow: "" + val1 + "" * "" + val2);
        }
        return total;
    }
}","4"
"public class Safetoint {

    public static int safetoint(long value) {
        if (Integer.MIN_VALUE <= value && value <= Integer.MAX_VALUE) {
            return (int) value;
        }
        throw new ArithmeticException(""Value cannot fit in an int: "" + value);
    }
}","3"
"public class Getwrappedvalue {

    public static int getwrappedvalue(int value, int minValue, int maxValue) {
        if (minValue >= maxValue) {
            throw new IllegalArgumentException(""MIN > MAX"");
        }

        int wrapRange = maxValue - minValue + 1;
        value -= minValue;

        if (value >= 0) {
            return (value % wrapRange) + minValue;
        }

        int remByRange = (-value) % wrapRange;

        if (remByRange == 0) {
            return 0 + minValue;
        }
        return (wrapRange - remByRange) + minValue;
    }
}","4"
"public class Getminimumvalue {

    public int getminimumvalue(long instant) {
        return 1;
    }
}","1"
"public class Div {

    static long div(long dividend, long divisor) {
        if (divisor < 0) {
            throw new IllegalArgumentException(""divisor must be positive: "" + divisor);
        }
        if (dividend >= 0) {
            return dividend / divisor;
        } else {
            return (dividend + 1) / divisor - 1;
        }
    }
}","3"
"public class Mod {

    static long mod(long dividend, long divisor) {
        if (divisor < 0) {
            throw new IllegalArgumentException(""divisor must be positive: "" + divisor);
        }
        if (dividend >= 0) {
            return dividend % divisor;
        } else {
            return (dividend + 1) % divisor - 1 + divisor;
        }
    }
}","3"
"public class Constrain {

    public static int constrain(int amount, int low, int high) {
        return amount < low ? low : (amount > high ? high : amount);
    }
}","1"
"public class Constrain {

    public static float constrain(float amount, float low, float high) {
        return amount < low ? low : (amount > high ? high : amount);
    }
}","1"
"public class Bytetolong {

        public long bytetolong(byte b) {
            long val = b & 0x7F;
            if ((b & 0x80) != 0) {
                val += 128;
            }
            return val;
        }
}","2"
"public class Canbannerdisplay {

    public boolean canbannerdisplay(int bannerId)
	{
    	return true;
	}
}","1"
"public class Candelete {

	public boolean candelete(int categoryId) {
		return false;
	}
}","1"
"public class Getlastrowidx {

	public int getlastrowidx(int startIdx, int length) {
		return startIdx + length;
	}
}","1"
"public class Getlastrowidx {

	public int getlastrowidx(int startIdx, int length) {
		return length;
	}
}","1"
"public class Ismin {

  public int ismin(int last_index, int x)
  {
    if (x == -1)
      return last_index;
    if (last_index <= x)
      return last_index;
    else
      return x;
  }
}","3"
"public class Zetastatic {

	static double zetastatic(long st, long n, double theta, double initialsum) {
		double sum = initialsum;
		for (long i = st; i < n; i++) {

			sum += 1 / (Math.pow(i + 1, theta));
		}

		// System.out.println(""countforzeta=""+countforzeta);

		return sum;
	}
}","2"
"public class Rehash {

    public static int rehash(int h) {
        // Spread bits to regularize both segment and index locations,
        // using variant of single-word Wang/Jenkins hash.
        h += (h << 15) ^ 0xffffcd7d;
        h ^= (h >>> 10);
        h += (h << 3);
        h ^= (h >>> 6);
        h += (h << 2) + (h << 14);
        return h ^ (h >>> 16);
    }
}","1"
"public class Getitemid {

    public long getitemid(int pos) {
        return pos;
    }
}","1"
"public class Sprawdz {

        public static boolean sprawdz(double v0, double h0, double kat, double waga, 
                double opor, double krok, int ileKrokow)
        {
            if (waga <= 0) return false;
            if (krok <= Math.pow(10, -8) && ileKrokow <= 0) return false;
            if (opor < 0) return false;
            if (v0 < 0) return false;
            if (h0 < 0) return false;
            if (kat < 0 || kat > 90) return false;
                return true;
        }
}","9"
"public class Char {

    public static char char(int i) {
        return Character.forDigit(i, 10);
    }
}","1"
"public class Fix {

    public static long fix(double d) {
        return Math.round(d);
    }
}","1"
"public class Abs {

    public static double abs(double a) {
        return Math.abs(a);
    }
}","1"
"public class Acos {

    public static double acos(double a) {
        return Math.acos(a);
    }
}","1"
"public class Asin {

    public static double asin(double a) {
        return Math.asin(a);
    }
}","1"
"public class Atan {

    public static double atan(double a) {
        return Math.atan(a);
    }
}","1"
"public class Bitand {

    public static int bitand(int a, int b) {
        return a & b;
    }
}","1"
"public class Bitnot {

    public static int bitnot(int a) {
        return ~a;
    }
}","1"
"public class Bitor {

    public static int bitor(int a, int b) {
        return a | b;
    }
}","1"
"public class Bitxor {

    public static int bitxor(int a, int b) {
        return a ^ b;
    }
}","1"
"public class Cos {

    public static double cos(double a) {
        return Math.cos(a);
    }
}","1"
"public class Cosh {

    public static double cosh(double a) {
        return Math.cosh(a);
    }
}","1"
"public class Div {

    public static int div(double a, double b) {
        return (int) (a / b);
    }
}","1"
"public class Exp {

    public static double exp(double a) {
        return Math.exp(a);
    }
}","1"
"public class Ln {

    public static double ln(double a) {
        return Math.log(a) / Math.E;
    }
}","1"
"public class Mod {

    public static double mod(double a, double b) {
        return a % b;
    }
}","1"
"public class Neg {

    public static double neg(double a) {
        return -1 * a;
    }
}","1"
"public class Rnd {

    public static double rnd(double a) {
        return Math.random() * a;
    }
}","1"
"public class Sdiv {

    public static int sdiv(int a, int b) {
        return (int) (a / b);
    }
}","1"
"public class Sin {

    public static double sin(double a) {
        return Math.sin(a);
    }
}","1"
"public class Sinh {

    public static double sinh(double a) {
        return Math.sinh(a);
    }
}","1"
"public class Sqrt {

    public static double sqrt(double a) {
        return Math.sqrt(a);
    }
}","1"
"public class Tan {

    public static double tan(double a) {
        return Math.tan(a);
    }
}","1"
"public class Tanh {

    public static double tanh(double a) {
        return Math.tanh(a);
    }
}","1"
"public class Not {

    public static boolean not(boolean expression) {
        return !expression;
    }
}","1"
"public class Min {

    public int min(int a, int b) {
        if (a < b)
            return a;
        return b;
    }
}","2"
"public class Boolean2boolean {

    public static boolean boolean2boolean(boolean o) {
        return o;
    }
}","1"
"public class Byte2byte {

    public static byte byte2byte(byte o) {
        return o;
    }
}","1"
"public class Byte2char {

    public static char byte2char(byte o) {
        return (char) o;
    }
}","1"
"public class Byte2double {

    public static double byte2double(byte o) {
        return (double) o;
    }
}","1"
"public class Byte2float {

    public static float byte2float(byte o) {
        return (float) o;
    }
}","1"
"public class Byte2int {

    public static int byte2int(byte o) {
        return (int) o;
    }
}","1"
"public class Byte2long {

    public static long byte2long(byte o) {
        return (long) o;
    }
}","1"
"public class Byte2short {

    public static short byte2short(byte o) {
        return (short) o;
    }
}","1"
"public class Char2byte {

    public static byte char2byte(char o) {
        return (byte) o;
    }
}","1"
"public class Char2char {

    public static char char2char(char o) {
        return o;
    }
}","1"
"public class Char2double {

    public static double char2double(char o) {
        return (double) o;
    }
}","1"
"public class Char2float {

    public static float char2float(char o) {
        return (float) o;
    }
}","1"
"public class Char2int {

    public static int char2int(char o) {
        return (int) o;
    }
}","1"
"public class Char2long {

    public static long char2long(char o) {
        return (long) o;
    }
}","1"
"public class Char2short {

    public static short char2short(char o) {
        return (short) o;
    }
}","1"
"public class Double2byte {

    public static byte double2byte(double o) {
        return (byte) o;
    }
}","1"
"public class Double2char {

    public static char double2char(double o) {
        return (char) o;
    }
}","1"
"public class Double2double {

    public static double double2double(double o) {
        return o;
    }
}","1"
"public class Double2float {

    public static float double2float(double o) {
        return (float) o;
    }
}","1"
"public class Double2int {

    public static int double2int(double o) {
        return (int) o;
    }
}","1"
"public class Double2long {

    public static long double2long(double o) {
        return (long) o;
    }
}","1"
"public class Double2short {

    public static short double2short(double o) {
        return (short) o;
    }
}","1"
"public class Float2byte {

    public static byte float2byte(float o) {
        return (byte) o;
    }
}","1"
"public class Float2char {

    public static char float2char(float o) {
        return (char) o;
    }
}","1"
"public class Float2double {

    public static double float2double(float o) {
        return (double) o;
    }
}","1"
"public class Float2float {

    public static float float2float(float o) {
        return o;
    }
}","1"
"public class Float2int {

    public static int float2int(float o) {
        return (int) o;
    }
}","1"
"public class Float2long {

    public static long float2long(float o) {
        return (long) o;
    }
}","1"
"public class Float2short {

    public static short float2short(float o) {
        return (short) o;
    }
}","1"
"public class Int2byte {

    public static byte int2byte(int o) {
        return (byte) o;
    }
}","1"
"public class Int2char {

    public static char int2char(int o) {
        return (char) o;
    }
}","1"
"public class Int2double {

    public static double int2double(int o) {
        return (double) o;
    }
}","1"
"public class Int2float {

    public static float int2float(int o) {
        return (float) o;
    }
}","1"
"public class Int2int {

    public static int int2int(int o) {
        return o;
    }
}","1"
"public class Int2long {

    public static long int2long(int o) {
        return (long) o;
    }
}","1"
"public class Int2short {

    public static short int2short(int o) {
        return (short) o;
    }
}","1"
"public class Long2byte {

    public static byte long2byte(long o) {
        return (byte) o;
    }
}","1"
"public class Long2char {

    public static char long2char(long o) {
        return (char) o;
    }
}","1"
"public class Long2double {

    public static double long2double(long o) {
        return (double) o;
    }
}","1"
"public class Long2float {

    public static float long2float(long o) {
        return (float) o;
    }
}","1"
"public class Long2int {

    public static int long2int(long o) {
        return (int) o;
    }
}","1"
"public class Long2long {

    public static long long2long(long o) {
        return o;
    }
}","1"
"public class Long2short {

    public static short long2short(long o) {
        return (short) o;
    }
}","1"
"public class Short2byte {

    public static byte short2byte(short o) {
        return (byte) o;
    }
}","1"
"public class Short2char {

    public static char short2char(short o) {
        return (char) o;
    }
}","1"
"public class Short2double {

    public static double short2double(short o) {
        return (double) o;
    }
}","1"
"public class Short2float {

    public static float short2float(short o) {
        return (float) o;
    }
}","1"
"public class Short2int {

    public static int short2int(short o) {
        return (int) o;
    }
}","1"
"public class Short2long {

    public static long short2long(short o) {
        return (long) o;
    }
}","1"
"public class Short2short {

    public static short short2short(short o) {
        return o;
    }
}","1"
"public class Hash {

	public static int hash( int aSeed , float aFloat ) {
		return hash( aSeed, Float.floatToIntBits(aFloat) );
	}
}","1"
"public class Hash {

	public static int hash( int aSeed , double aDouble ) {
		return hash( aSeed, Double.doubleToLongBits(aDouble) );
	}
}","1"
"public class Isvalidbyte {

	public boolean isvalidbyte(long num)
	{
		if (num>255||num<-127)
			return false;

		return true;

	}
}","3"
"public class Hasexpiredmillis {

    public static boolean hasexpiredmillis(long now, long eventTime, long timeBuffer) {
        return (eventTime + timeBuffer) < now;
    }
}","1"
"public class Getmove {
    	public int getmove(int Place1,int Place2) { 
		if ((Place1 - Place2) == 0) {
            return 0;
		} else if ((Place1 - Place2) < 0) {
			return 1;
		} else if ((Place1 - Place2) > 0) {
			return -1;
		}
        	return 0;
   	 }
}","4"
"public class Tosrgb {

	public double tosrgb(double v)
		{
		double a=0.055;
		if(v<0.0031308)
			return 12.92*v;
		else
			return (1+a)*Math.pow(v,1/2.4)-a;
		}
}","2"
"public class Toxyz {

	public double toxyz(double v)
		{
		double a=0.055;
		if(v<0.04045)
			return v/12.92;
		else
			return Math.pow((v+a)/a,2.4);
		}
}","2"
"public class Calcmidcoordinate {

	public static double calcmidcoordinate(int w)
		{
		return (w-1)/2.0;
		}
}","1"
"public class W2sz {

	public double w2sz(double z)
		{
		return z;
		}
}","1"
"public class S2wz {

	public double s2wz(double sz) 
		{
		return sz;
		}
}","1"
"public class Povxaxis {

	public double povxaxis(double in)
		{
		if(in==0.125 || in==0.875 || in==1) return -1;
		else if(in==0.375 || in==0.25 || in==0.625) return 1;
		return 0;
		}
}","7"
"public class Povyaxis {

	public double povyaxis(double in)
		{
		if(in==0.125 || in==0.25 || in==0.375) return -1;
		else if(in==0.625 || in==0.75 || in==0.825) return 1;
		return 0;
		}
}","7"
"public class Scalescreendistx {

		public double scalescreendistx(double x)
			{
			return x;
			}
}","1"
"public class Suitablepower2 {

	public static int suitablepower2(int s)
		{
//		return 128;
		if(s>380) return 512;
		else if(s>192) return 256;
		else if(s>96) return 128;
		else if(s>48) return 64;
		else if(s>24) return 32;
		else if(s>12) return 16;
		else if(s>6) return 8;
		else return 4;
		}
}","8"
"public class Suitablepower2 {

	public static int suitablepower2(int s)
		{
		//An option to restrict max texture size would be good
//		if(true)return 256;
		
		if(s>380) return 512;
		else if(s>192) return 256;
		else if(s>96) return 128;
		else if(s>48) return 64;
		else if(s>24) return 32;
		else if(s>12) return 16;
		else if(s>6) return 8;
		else return 4;
		}
}","8"
"public class Ceilpower2 {

	public static int ceilpower2(int s)
		{
		if(s>1024)
			{
			double log2=Math.log(2);
			double x=Math.ceil(Math.log(s)/log2);
			int v=(int)Math.exp(Math.log(2)*x);
			System.out.println(""ceilpow2 ""+s+"" => ""+v);
			return v;
			}
		else if(s>512) return 1024;
		else if(s>256) return 512;
		else if(s>128) return 256;
		else if(s>64) return 128;
		else if(s>32) return 64;
		else if(s>16) return 32;
		else if(s>8) return 16;
		else if(s>4) return 8;
		else return 4;
		}
}","10"
"public class Isinsidetriangle {

	public static boolean isinsidetriangle(double Ax, double Ay,
      double Bx, double By,
      double Cx, double Cy,
      double Px, double Py)

		{
		double ax, ay, bx, by, cx, cy, apx, apy, bpx, bpy, cpx, cpy;
		double cCROSSap, bCROSScp, aCROSSbp;
		
		ax = Cx - Bx;  ay = Cy - By;
		bx = Ax - Cx;  by = Ay - Cy;
		cx = Bx - Ax;  cy = By - Ay;
		apx= Px - Ax;  apy= Py - Ay;
		bpx= Px - Bx;  bpy= Py - By;
		cpx= Px - Cx;  cpy= Py - Cy;
		
		aCROSSbp = ax*bpy - ay*bpx;
		cCROSSap = cx*apy - cy*apx;
		bCROSScp = bx*cpy - by*cpx;
		
		return ((aCROSSbp >= 0.0f) && (bCROSScp >= 0.0f) && (cCROSSap >= 0.0f));
		}
}","3"
"public class Triangleareausingsides {

	public static double triangleareausingsides(double a, double b, double c)
		{
		double s=(a+b+c)/2;
		return Math.sqrt(s*(s-a)*(s-b)*(s-c));
		}
}","1"
"public class Interpolatelinear {

	public static double interpolatelinear(double x1, double y1, double x2, double y2, double x)
		{
		double s=(x-x1)/(x2-x1);
		return s*y2+(1.0-s)*y1;
		}
}","1"
"public class Unbiasedvariance {

	public static double unbiasedvariance(double sum, double sum2, int n)
		{
		int n1=n-1;
		return sum2/n1 - sum*sum/(n1*n);
		}
}","1"
