Parameter,Function,Test Case,ExtractedInput
"(int a, int b)","public class SubtractSafe {
public static int subtractSafe(int a, int b)
    {
        int r = a - b;
        if (((a ^ b) & (a ^ r)) < 0)
        {
            return a < 0 ? Integer.MIN_VALUE : Integer.MAX_VALUE;
        }
        return r;
    }
}","@Test
    public void testSubtractSafeLongLong()
    {
        Assert.assertEquals(Long.MIN_VALUE, MathUtil.subtractSafe(Long.MIN_VALUE, Long.MAX_VALUE));
        Assert.assertEquals(Long.MIN_VALUE, MathUtil.subtractSafe(Long.MIN_VALUE, 1));
        Assert.assertEquals(Long.MAX_VALUE, MathUtil.subtractSafe(1, Long.MIN_VALUE));
        Assert.assertEquals(Long.MIN_VALUE, MathUtil.subtractSafe(Long.MIN_VALUE, 0));
        Assert.assertEquals(Long.MAX_VALUE, MathUtil.subtractSafe(0, Long.MIN_VALUE));
        Assert.assertEquals(Long.MIN_VALUE + 1, MathUtil.subtractSafe(Long.MIN_VALUE, -1));
        Assert.assertEquals(Long.MAX_VALUE, MathUtil.subtractSafe(-1, Long.MIN_VALUE));

        Assert.assertEquals(Long.MAX_VALUE, MathUtil.subtractSafe(Long.MAX_VALUE, Long.MIN_VALUE));
        Assert.assertEquals(Long.MAX_VALUE, MathUtil.subtractSafe(Long.MAX_VALUE, -1));
        Assert.assertEquals(Long.MIN_VALUE, MathUtil.subtractSafe(-1, Long.MAX_VALUE));
        Assert.assertEquals(Long.MAX_VALUE, MathUtil.subtractSafe(Long.MAX_VALUE, 0));
        Assert.assertEquals(Long.MIN_VALUE + 1, MathUtil.subtractSafe(0, Long.MAX_VALUE));
        Assert.assertEquals(Long.MAX_VALUE - 1, MathUtil.subtractSafe(Long.MAX_VALUE, 1));
        Assert.assertEquals(Long.MIN_VALUE + 2, MathUtil.subtractSafe(1, Long.MAX_VALUE));

        Assert.assertEquals(0, MathUtil.subtractSafe(Long.MIN_VALUE, Long.MIN_VALUE));
        Assert.assertEquals(0, MathUtil.subtractSafe(Long.MAX_VALUE, Long.MAX_VALUE));
    }",
"(double a, double b)","public class Average {
public static double average(double a, double b)
    {
        return (a + b) * 0.5;
    }
}","@Test
    public void testAverage()
    {
        Assert.assertEquals(5., MathUtil.average(2, 4, 4, 4, 5, 5, 7, 9), 0.);
        Assert.assertEquals(2., MathUtil.average(2), 0.);
        Assert.assertTrue(Double.isNaN(MathUtil.average()));
    }","Function: 91
Average
Spf Results Inputs: a_1_SYMREAL,b_2_SYMREAL
No path conditions for demo.Average.average(0.0,0.0)"
"(int value, double min, double max)","public class Map {
public static double map(int value, double min, double max)
    {
        return (max - min) * .5 * (1 + value / (double)Integer.MAX_VALUE) + min;
    }
}","@Test
    public void testMapInt()
    {
        Assert.assertEquals(-1., MathUtil.map(-2147483647, -1., 1000.), 0.);
        Assert.assertEquals(1000., MathUtil.map(2147483647, -1., 1000.), 0.);
        Assert.assertEquals(499.5, MathUtil.map(0, -1., 1000.), 0.);

        Assert.assertEquals(1000., MathUtil.map(-2147483647, 1000, 2000.), 0.);
        Assert.assertEquals(1500., MathUtil.map(0, 1000, 2000.), 0.);
        Assert.assertEquals(2000., MathUtil.map(2147483647, 1000, 2000.), 0.);

        Assert.assertEquals(-1000., MathUtil.map(-2147483647, -1000, -2000.), 0.);
        Assert.assertEquals(-1500., MathUtil.map(0, -1000, -2000.), 0.);
        Assert.assertEquals(-2000., MathUtil.map(2147483647, -1000, -2000.), 0.);
    }",
"(int value, double min, double max)","public class Map {
public static double map(int value, double min, double max)
    {
        return (max - min) * .5 * (1 + value / (double)Integer.MAX_VALUE) + min;
    }
}","@Test
    public void testMapLong()
    {
        Assert.assertEquals(-1., MathUtil.map(-9223372036854775807L, -1., 1000.), 0.);
        Assert.assertEquals(1000., MathUtil.map(9223372036854775807L, -1., 1000.), 0.);
        Assert.assertEquals(499.5, MathUtil.map(0L, -1., 1000.), 0.);

        Assert.assertEquals(1000., MathUtil.map(-9223372036854775807L, 1000, 2000.), 0.);
        Assert.assertEquals(1500., MathUtil.map(0L, 1000, 2000.), 0.);
        Assert.assertEquals(2000., MathUtil.map(9223372036854775807L, 1000, 2000.), 0.);

        Assert.assertEquals(-1000., MathUtil.map(-9223372036854775807L, -1000, -2000.), 0.);
        Assert.assertEquals(-1500., MathUtil.map(0L, -1000, -2000.), 0.);
        Assert.assertEquals(-2000., MathUtil.map(9223372036854775807L, -1000, -2000.), 0.);
    }",
"(int i, int j)","public class Gcd {
public static int gcd(int i, int j)
    {
        int a = i;
        int b = j;
        while (b != 0)
        {
            a ^= b;
            b ^= a;
            a ^= b;
            b %= a;
        }
        return a >= 0 ? a : -a;
    }
}","@Test
    public void testGcd()
    {
        Assert.assertEquals(0, MathUtil.gcd(0, 0));
        Assert.assertEquals(1, MathUtil.gcd(1, 0));
        Assert.assertEquals(1, MathUtil.gcd(0, 1));
        Assert.assertEquals(1, MathUtil.gcd(1, 2));
        Assert.assertEquals(1, MathUtil.gcd(2, 1));
        Assert.assertEquals(1, MathUtil.gcd(2, 3));
        Assert.assertEquals(1, MathUtil.gcd(3, 2));
        Assert.assertEquals(2, MathUtil.gcd(2, 4));
        Assert.assertEquals(2, MathUtil.gcd(4, 2));
        Assert.assertEquals(1, MathUtil.gcd(2, 5));
        Assert.assertEquals(1, MathUtil.gcd(5, 2));
        Assert.assertEquals(2, MathUtil.gcd(2, 6));
        Assert.assertEquals(2, MathUtil.gcd(6, 2));
        Assert.assertEquals(2, MathUtil.gcd(6, 10));
        Assert.assertEquals(2, MathUtil.gcd(10, 6));
        Assert.assertEquals(3, MathUtil.gcd(6, 15));
        Assert.assertEquals(3, MathUtil.gcd(15, 6));
        Assert.assertEquals(3, MathUtil.gcd(6, -15));
        Assert.assertEquals(3, MathUtil.gcd(-15, 6));
        Assert.assertEquals(3, MathUtil.gcd(-6, -15));
        Assert.assertEquals(3, MathUtil.gcd(-15, -6));
        Assert.assertEquals(5, MathUtil.gcd((int)Math.pow(2, 28) * 5, (int)Math.pow(3, 18) * 5));

        Assert.assertEquals(14, MathUtil.gcd(14, 28));
        Assert.assertEquals(7, MathUtil.gcd(14, 28, 21));
        Assert.assertEquals(7, MathUtil.gcd(21, 28, 14));
        Assert.assertEquals(7, MathUtil.gcd(14, 28, 21));
        Assert.assertEquals(7, MathUtil.gcd(new int[] { 14, 28, 21 }));
        Assert.assertEquals(7, MathUtil.gcd(new int[] { 21, 28, 14 }));
    }","Function: 94
Gcd
Spf Results Inputs: i_1_SYMINT,j_2_SYMINT
demo.Gcd.gcd(-9223372036854775808(don't care),-1)  --> ""java.lang.ArithmeticException: div by 0...""
demo.Gcd.gcd(0,0)  --> Return Value: 0
demo.Gcd.gcd(-1,0)  --> Return Value: 1"
"(long value, long min, long max)","public class GetModulatedFloat {
public static float getModulatedFloat(long value, long min, long max)
    {
        // Don't use max floats because when the active span is big compared to
        // the loop span the shader calculations would max out on the float
        // type. This caused incorrect alpha calculations and all features would
        // disappear.
        float modulatedValue = Float.MAX_VALUE / 2;
        if (value > min && value < max)
        {
            double range = max - min;
            double floatRange = modulatedValue - 0;

            double floatPerUnit = floatRange / range;
            long deltaFromMin = value - min;
            float floats = (float)(deltaFromMin * floatPerUnit);
            modulatedValue = floats;
        }
        else if (value <= min)
        {
            modulatedValue = 0;
        }

        return modulatedValue;
    }
}","@Test
    public void testGetModulatedFloat()
    {
//        Assert.assertEquals(-Float.MAX_VALUE, MathUtil.getModulatedFloat(Long.MIN_VALUE, Long.MIN_VALUE, Long.MAX_VALUE), 0f);
//        Assert.assertEquals(0f, MathUtil.getModulatedFloat(0L, Long.MIN_VALUE, Long.MAX_VALUE), 0f);
//        Assert.assertEquals(Float.MAX_VALUE, MathUtil.getModulatedFloat(Long.MAX_VALUE, Long.MIN_VALUE, Long.MAX_VALUE), 0f);

        Assert.assertEquals(0, MathUtil.getModulatedFloat(0, 0, 1000), 0f);
        Assert.assertEquals(Float.MAX_VALUE / 4, MathUtil.getModulatedFloat(500, 0, 1000), 0f);
        Assert.assertEquals(Float.MAX_VALUE / 2, MathUtil.getModulatedFloat(1000, 0, 1000), 0f);

        long min = 1370476800000L;
        long max = min + Constants.MILLIS_PER_DAY;
        long step = 1000L;
        for (long test = min; test < max; test += step)
        {
            Assert.assertTrue(MathUtil.getModulatedFloat(test + step, min, max) != MathUtil.getModulatedFloat(test, min, max));
        }
    }","Function: 95
GetModulatedFloat
Spf Results Inputs: value_1_SYMINT,min_2_SYMINT,max_3_SYMINT
demo.GetModulatedFloat.getModulatedFloat(-1l,0l,-9223372036854775808(don't care))  --> Return Value: 0.0
demo.GetModulatedFloat.getModulatedFloat(0l,0l,-9223372036854775808(don't care))  --> Return Value: 0.0
demo.GetModulatedFloat.getModulatedFloat(1l,0l,-9223372036854775808(don't care))  --> Return Value: 0.0"
"(long inputVal, int shift)","public class BitShift {
public static long bitShift(long inputVal, int shift)
    {
        return shift > 0 ? inputVal << shift : shift < 0 ? inputVal >> shift * -1 : inputVal;
    }
}","@Test
    public void testBitShift()
    {
        Assert.assertEquals(4, MathUtil.bitShift(1, 2));
        Assert.assertEquals(2, MathUtil.bitShift(1, 1));
        Assert.assertEquals(1, MathUtil.bitShift(1, 0));
        Assert.assertEquals(0, MathUtil.bitShift(1, -1));
        Assert.assertEquals(0, MathUtil.bitShift(1, -2));

        Assert.assertEquals(8, MathUtil.bitShift(2, 2));
        Assert.assertEquals(4, MathUtil.bitShift(2, 1));
        Assert.assertEquals(2, MathUtil.bitShift(2, 0));
        Assert.assertEquals(1, MathUtil.bitShift(2, -1));
        Assert.assertEquals(0, MathUtil.bitShift(2, -2));
    }","Function: 96
BitShift
Spf Results Inputs: inputVal_1_SYMINT,shift_2_SYMINT
demo.BitShift.bitShift(-9223372036854775808(don't care),1)  --> Return Value: 0
demo.BitShift.bitShift(-9223372036854775808(don't care),-1)  --> Return Value: -4611686018427387904
demo.BitShift.bitShift(-9223372036854775808(don't care),0)  --> Return Value: -9223372036854775808"
"(int value, int modulus)","public class RoundDownTo {
public static int roundDownTo(int value, int modulus)
    {
        return value >= 0 ? value - value % modulus : value + (value % modulus == 0 ? 0 : -modulus - value % modulus);
    }
}","@Test
    public void testRoundDownToLongLong()
    {
        for (long i = 0L; i < 8L; ++i)
        {
            Assert.assertEquals(0L, MathUtil.roundDownTo(i, 8L));
        }
        for (long i = 8L; i < 16L; ++i)
        {
            Assert.assertEquals(8L, MathUtil.roundDownTo(i, 8L));
        }
        Assert.assertEquals(16L, MathUtil.roundDownTo(16L, 8L));
    }","Function: 97
RoundDownTo
Spf Results Inputs: value_1_SYMINT,modulus_2_SYMINT
demo.RoundDownTo.roundDownTo(0,-9223372036854775808(don't care))  --> ""java.lang.ArithmeticException: div by 0...""
demo.RoundDownTo.roundDownTo(-1,-9223372036854775808(don't care))  --> ""java.lang.ArithmeticException: div by 0..."""
"(int value, int modulus)","public class RoundUpTo {
public static int roundUpTo(int value, int modulus)
    {
        return value > 0 ? value % modulus == 0 ? value : value + modulus - value % modulus : value - value % modulus;
    }
}","@Test
    public void testRoundUpToIntInt()
    {
        Assert.assertEquals(-8, MathUtil.roundUpTo(-8, 8));
        for (int i = -7; i <= 0; ++i)
        {
            Assert.assertEquals(0, MathUtil.roundUpTo(i, 8));
        }
        for (int i = 1; i <= 8; ++i)
        {
            Assert.assertEquals(8, MathUtil.roundUpTo(i, 8));
        }
        for (int i = 9; i <= 16; ++i)
        {
            Assert.assertEquals(16, MathUtil.roundUpTo(i, 8));
        }
    }","Function: 98
RoundUpTo
Spf Results Inputs: value_1_SYMINT,modulus_2_SYMINT
demo.RoundUpTo.roundUpTo(1,-9223372036854775808(don't care))  --> ""java.lang.ArithmeticException: div by 0...""
demo.RoundUpTo.roundUpTo(0,-9223372036854775808(don't care))  --> ""java.lang.ArithmeticException: div by 0..."""
"(int value, double min, double max)","public class Map {
public static double map(int value, double min, double max)
    {
        return (max - min) * .5 * (1 + value / (double)Integer.MAX_VALUE) + min;
    }
}","@Test
    @SuppressWarnings(""PMD.AvoidUsingShortType"")
    public void testMapShort()
    {
        Assert.assertEquals(-1., MathUtil.map((short)-32767, -1., 1000.), 0.);
        Assert.assertEquals(1000., MathUtil.map((short)32767, -1., 1000.), 0.);
        Assert.assertEquals(499.5, MathUtil.map((short)0, -1., 1000.), 0.);

        Assert.assertEquals(1000., MathUtil.map((short)-32767, 1000, 2000.), 0.);
        Assert.assertEquals(1500., MathUtil.map((short)0, 1000, 2000.), 0.);
        Assert.assertEquals(2000., MathUtil.map((short)32767, 1000, 2000.), 0.);

        Assert.assertEquals(-1000., MathUtil.map((short)-32767, -1000, -2000.), 0.);
        Assert.assertEquals(-1500., MathUtil.map((short)0, -1000, -2000.), 0.);
        Assert.assertEquals(-2000., MathUtil.map((short)32767, -1000, -2000.), 0.);
    }",
"(double value, double min, double max)","public class Normalize {
public static double normalize(double value, double min, double max)
    {
        double range = max - min;
        double normalized = (value - min) % range + min;
        if (normalized < min)
        {
            normalized += range;
        }
        return normalized;
    }
}","@Test
    public void testNormalize()
    {
        Assert.assertEquals(17., MathUtil.normalize(-43., -10., 20.), 0.);
        Assert.assertEquals(17., MathUtil.normalize(-13., -10., 20.), 0.);
        Assert.assertEquals(3., MathUtil.normalize(3., -10., 20.), 0.);
        Assert.assertEquals(3., MathUtil.normalize(33., -10., 20.), 0.);
        Assert.assertEquals(3., MathUtil.normalize(63., -10., 20.), 0.);

        Assert.assertEquals(38., MathUtil.normalize(8., 10., 40.), 0.);
        Assert.assertEquals(12., MathUtil.normalize(12., 10., 40.), 0.);
        Assert.assertEquals(12., MathUtil.normalize(42., 10., 40.), 0.);

        Assert.assertEquals(320., MathUtil.normalize(-400., 0., 360.), 0.);
        Assert.assertEquals(320., MathUtil.normalize(-40., 0., 360.), 0.);
        Assert.assertEquals(0., MathUtil.normalize(0., 0., 360.), 0.);
        Assert.assertEquals(40., MathUtil.normalize(40., 0., 360.), 0.);
        Assert.assertEquals(0., MathUtil.normalize(360., 0., 360.), 0.);
        Assert.assertEquals(40., MathUtil.normalize(400., 0., 360.), 0.);
        Assert.assertEquals(40., MathUtil.normalize(760., 0., 360.), 0.);
    }",
"(int value, int modulus)","public class RoundDownTo {
public static int roundDownTo(int value, int modulus)
    {
        return value >= 0 ? value - value % modulus : value + (value % modulus == 0 ? 0 : -modulus - value % modulus);
    }
}","@Test
    public void testRoundDownToIntInt()
    {
        for (int i = -8; i < 0; ++i)
        {
            Assert.assertEquals(-8, MathUtil.roundDownTo(i, 8));
        }
        for (int i = 0; i < 8; ++i)
        {
            Assert.assertEquals(0, MathUtil.roundDownTo(i, 8));
        }
        for (int i = 8; i < 16; ++i)
        {
            Assert.assertEquals(8, MathUtil.roundDownTo(i, 8));
        }
        Assert.assertEquals(16, MathUtil.roundDownTo(16, 8));
    }",
"(int value, int modulus)","public class RoundUpTo {
public static int roundUpTo(int value, int modulus)
    {
        return value > 0 ? value % modulus == 0 ? value : value + modulus - value % modulus : value - value % modulus;
    }
}","@Test
    public void testRoundUpToLongLong()
    {
        Assert.assertEquals(-8L, MathUtil.roundUpTo(-8L, 8L));
        for (long i = -7L; i <= 0L; ++i)
        {
            Assert.assertEquals(0L, MathUtil.roundUpTo(i, 8L));
        }
        for (long i = 1L; i <= 8L; ++i)
        {
            Assert.assertEquals(8L, MathUtil.roundUpTo(i, 8L));
        }
        for (long i = 9L; i <= 16L; ++i)
        {
            Assert.assertEquals(16L, MathUtil.roundUpTo(i, 8L));
        }
    }",
"(double val1, double val2)","public class EqualsOrBothNaN {
public static boolean equalsOrBothNaN(double val1, double val2)
    {
        return val1 == val2 || Double.isNaN(val1) && Double.isNaN(val2);
    }
}","@Test
    public void testEqualsOrBothNaN()
    {
        Assert.assertTrue(Utilities.equalsOrBothNaN(Double.NaN, Double.NaN));
        Assert.assertFalse(Utilities.equalsOrBothNaN(Double.NaN, 0.));
        Assert.assertFalse(Utilities.equalsOrBothNaN(0., Double.NaN));
        Assert.assertTrue(Utilities.equalsOrBothNaN(0., 0.));

        Assert.assertTrue(Utilities.equalsOrBothNaN(Double.POSITIVE_INFINITY, Double.POSITIVE_INFINITY));
        Assert.assertFalse(Utilities.equalsOrBothNaN(Double.POSITIVE_INFINITY, Double.NEGATIVE_INFINITY));
        Assert.assertFalse(Utilities.equalsOrBothNaN(Double.NEGATIVE_INFINITY, Double.POSITIVE_INFINITY));
        Assert.assertTrue(Utilities.equalsOrBothNaN(Double.NEGATIVE_INFINITY, Double.NEGATIVE_INFINITY));

        Assert.assertTrue(Utilities.equalsOrBothNaN(Float.NaN, Float.NaN));
        Assert.assertFalse(Utilities.equalsOrBothNaN(Float.NaN, 0.));
        Assert.assertFalse(Utilities.equalsOrBothNaN(0f, Float.NaN));
        Assert.assertTrue(Utilities.equalsOrBothNaN(0f, 0f));

        Assert.assertTrue(Utilities.equalsOrBothNaN(Float.POSITIVE_INFINITY, Float.POSITIVE_INFINITY));
        Assert.assertFalse(Utilities.equalsOrBothNaN(Float.POSITIVE_INFINITY, Float.NEGATIVE_INFINITY));
        Assert.assertFalse(Utilities.equalsOrBothNaN(Float.NEGATIVE_INFINITY, Float.POSITIVE_INFINITY));
        Assert.assertTrue(Utilities.equalsOrBothNaN(Float.NEGATIVE_INFINITY, Float.NEGATIVE_INFINITY));
    }","Function: 103
EqualsOrBothNaN
Spf Results Inputs: val1_1_SYMREAL,val2_2_SYMREAL
demo.EqualsOrBothNaN.equalsOrBothNaN(0.0,1.0)  --> Return Value: 0
demo.EqualsOrBothNaN.equalsOrBothNaN(0.0,0.0)  --> Return Value: 1
demo.EqualsOrBothNaN.equalsOrBothNaN(0.5,0.0)  --> Return Value: 0"
"(long a, long b)","public class SumOverflow {
public static boolean sumOverflow(long a, long b)
    {
        return b > Long.MAX_VALUE - a;
    }
}","@Test
    public void testSumOverflow()
    {
        Assert.assertFalse(Utilities.sumOverflow(0L, 0L));
        Assert.assertFalse(Utilities.sumOverflow(Long.MAX_VALUE, 0L));
        Assert.assertTrue(Utilities.sumOverflow(Long.MAX_VALUE, 1L));
        Assert.assertFalse(Utilities.sumOverflow(Long.MAX_VALUE, -1L));
    }","Function: 104
SumOverflow
Spf Results Inputs: a_1_SYMINT,b_2_SYMINT
demo.SumOverflow.sumOverflow(0l,0l)  --> Return Value: 0
demo.SumOverflow.sumOverflow(9223372036854775807l,0l)  --> Return Value: 0
demo.SumOverflow.sumOverflow(9223372036854775807l,1l)  --> Return Value: 0"
"(double dividend, double divisor)","public class Divide {
public static double divide(double dividend, double divisor) {
		return divisor == 0.0 ? 0.0 : dividend / divisor;
	}
}","@Test
	public void testDivide() {
		assertThat(MathUtils.divide(8.0, 2.0)).isEqualTo(4.0);
		assertThat(MathUtils.divide(0.0, 2.0)).isEqualTo(0.0);
		assertThat(MathUtils.divide(8.0, 0.0)).isEqualTo(0.0);
	}",
(long l),"public class Increment {
public static long increment(long l) {
		return l + 1;
	}
}","@Test
	public void testIncrement() {
		assertThat(MathUtils.increment(8L)).isEqualTo(9L);
		assertThat(MathUtils.increment(0L)).isEqualTo(1L);
		assertThat(MathUtils.increment(-8L)).isEqualTo(-7L);
	}","Function: 106
Increment
Spf Results Inputs: l_1_SYMINT
No path conditions for demo.Increment.increment(0)"
"(long factor1, long factor2)","public class Multiply {
public static long multiply(long factor1, long factor2) {
		return factor1 * factor2;
	}
}","@Test
	public void testMultiply() {
		assertThat(MathUtils.multiply(8L, 2L)).isEqualTo(16L);
		assertThat(MathUtils.multiply(0L, 2L)).isEqualTo(0L);
		assertThat(MathUtils.multiply(8L, 0L)).isEqualTo(0L);
	}","Function: 107
Multiply
Spf Results Inputs: factor1_1_SYMINT,factor2_2_SYMINT
No path conditions for demo.Multiply.multiply(0,0)"
(long timestamp),"public class ToMillis {
static long toMillis(long timestamp) {
    if (timestamp < 10000000000L) {
      // in seconds
      return timestamp * 1000;
    } else if (timestamp < 10000000000000L) {
      // in millis
      return timestamp;
    }
    // in micros
    return timestamp / 1000;
  }
}","@Test
  public void testToMillis() {
    long millis = 1542750947417L;
    Assert.assertEquals(1542750947000L, toMillis(millis / 1000));
    Assert.assertEquals(1542750947417L, toMillis(millis));
    Assert.assertEquals(1542750947417L, toMillis(millis * 1000 + 918));
  }","Function: 108
ToMillis
Spf Results Inputs: timestamp_1_SYMINT
demo.ToMillis.toMillis(0l)  --> Return Value: 0
demo.ToMillis.toMillis(10000000000l)  --> Return Value: 10000000000000
demo.ToMillis.toMillis(1410065409l)  --> Return Value: 1410065409000"
"(int repeat, char padChar)","public class Padding {
public static String padding(int repeat, char padChar) throws IndexOutOfBoundsException {
        if (repeat < 0) {
            throw new IndexOutOfBoundsException(""Cannot pad a negative amount: "" + repeat);
        }
        final char[] buf = new char[repeat];
        for (int i = 0; i < buf.length; i++) {
            buf[i] = padChar;
        }
        return new String(buf);
    }
}","@Test
    public void padding() {
        Assert.assertEquals("""", padding(0, 'e'));
        Assert.assertEquals(""eee"", padding(3, 'e'));

        try {
            padding(-2, 'e');
            Assert.fail(""Expected IndexOutOfBoundsException"");
        } catch (IndexOutOfBoundsException e) {
            Assert.assertTrue(e.getMessage().contains(""Cannot pad a negative amount:""));
        }
    }",
"(long fetchedLength, long contentLength)","public class IsCorrectFull {
public static boolean isCorrectFull(long fetchedLength, long contentLength) {
        return fetchedLength == contentLength;
    }
}","@Test
    public void isCorrectFull() throws Exception {
        assertThat(Util.isCorrectFull(1, 2)).isFalse();
        assertThat(Util.isCorrectFull(2, 2)).isTrue();
    }","Function: 110
IsCorrectFull
Spf Results Inputs: fetchedLength_1_SYMINT,contentLength_2_SYMINT
demo.IsCorrectFull.isCorrectFull(-1l,0l)  --> Return Value: 1
demo.IsCorrectFull.isCorrectFull(0l,0l)  --> Return Value: 1
demo.IsCorrectFull.isCorrectFull(0l,-1l)  --> Return Value: 1"
"(double baseOrientation, double orientation)","public class AlignOrientation {
public double alignOrientation(double baseOrientation, double orientation) {
        double resultOrientation;
        if (baseOrientation >= 0) {
            if (orientation < -Math.PI + baseOrientation)
                resultOrientation = orientation + 2 * Math.PI;
            else
                resultOrientation = orientation;

        } else if (orientation > +Math.PI + baseOrientation)
            resultOrientation = orientation - 2 * Math.PI;
        else
            resultOrientation = orientation;
        return resultOrientation;
    }
}","@Test
    public void testAlignOrientation() {
        assertEquals(90.0, Math.toDegrees(AC.alignOrientation(Math.toRadians(90), Math.toRadians(90))), 0.001);
        assertEquals(225.0, Math.toDegrees(AC.alignOrientation(Math.toRadians(90), Math.toRadians(-135))), 0.001);
        assertEquals(-45.0, Math.toDegrees(AC.alignOrientation(Math.toRadians(-135), Math.toRadians(-45))), 0.001);
        assertEquals(-270.0, Math.toDegrees(AC.alignOrientation(Math.toRadians(-135), Math.toRadians(90))), 0.001);
    }","Function: 111
AlignOrientation
Spf Results Inputs: baseOrientation_1_SYMREAL,orientation_2_SYMREAL
demo.AlignOrientation.alignOrientation(4.1415926535,0.0)  --> Return Value: 6.283185307179586
demo.AlignOrientation.alignOrientation(3.1415926535,0.0)  --> Return Value: 0.0
demo.AlignOrientation.alignOrientation(0.0,0.0)  --> Return Value: 0.0"
(double azimuth),"public class Azimuth2compassPoint {
String azimuth2compassPoint(double azimuth) {

        String cp;
        double slice = 360.0 / 16;
        if (azimuth < slice) {
            cp = ""N"";
        } else if (azimuth < slice * 3) {
            cp = ""NE"";
        } else if (azimuth < slice * 5) {
            cp = ""E"";
        } else if (azimuth < slice * 7) {
            cp = ""SE"";
        } else if (azimuth < slice * 9) {
            cp = ""S"";
        } else if (azimuth < slice * 11) {
            cp = ""SW"";
        } else if (azimuth < slice * 13) {
            cp = ""W"";
        } else if (azimuth < slice * 15) {
            cp = ""NW"";
        } else {
            cp = ""N"";
        }
        return cp;
    }
}","@Test
    public void testAzimuthCompassPoint() {
        assertEquals(""S"", AC.azimuth2compassPoint(199));
    }",
(int maxTurnCosts),"public class CountBitValue {
public static int countBitValue(int maxTurnCosts) {
        if (maxTurnCosts < 0)
            throw new IllegalArgumentException(""maxTurnCosts cannot be negative "" + maxTurnCosts);

        int counter = 0;
        while (maxTurnCosts > 0) {
            maxTurnCosts >>= 1;
            counter++;
        }
        return counter++;
    }
}","@Test
    public void testCountBitValue() throws Exception {
        assertEquals(1, Helper.countBitValue(1));
        assertEquals(2, Helper.countBitValue(2));
        assertEquals(2, Helper.countBitValue(3));
        assertEquals(3, Helper.countBitValue(4));
        assertEquals(3, Helper.countBitValue(7));
        assertEquals(4, Helper.countBitValue(8));
        assertEquals(5, Helper.countBitValue(20));
    }",
"(double value, double min, double max)","public class KeepIn {
public static final double keepIn(double value, double min, double max) {
        return Math.max(min, Math.min(value, max));
    }
}","@Test
    public void testKeepIn() {
        assertEquals(2, Helper.keepIn(2, 1, 4), 1e-2);
        assertEquals(3, Helper.keepIn(2, 3, 4), 1e-2);
        assertEquals(3, Helper.keepIn(-2, 3, 4), 1e-2);
    }","Function: 114
KeepIn
Spf Results Inputs: value_1_SYMREAL,min_2_SYMREAL,max_3_SYMREAL

demo.KeepIn.keepIn(0.0,0.0,0.5)  --> Return Value: 0.5
demo.KeepIn.keepIn(0.0,1.0,1.0)  --> Return Value: 1.0
demo.KeepIn.keepIn(0.0,2.0,1.0)  --> Return Value: 2.0
demo.KeepIn.keepIn(0.5,0.0,0.5)  --> Return Value: 0.5
demo.KeepIn.keepIn(0.0,0.0,0.0)  --> Return Value: 0.0
demo.KeepIn.keepIn(0.0,1.0,0.0)  --> Return Value: 1.0
demo.KeepIn.keepIn(0.5,0.0,0.0)  --> Return Value: 0.5
demo.KeepIn.keepIn(0.5,0.5,0.0)  --> Return Value: 0.5
demo.KeepIn.keepIn(0.5,1.0,0.0)  --> Return Value: 1.0"
"(double value, int exponent)","public class Round {
public static double round(double value, int exponent) {
        double factor = Math.pow(10, exponent);
        return Math.round(value * factor) / factor;
    }
}","@Test
    public void testRound() {
        assertEquals(100.94, Helper.round(100.94, 2), 1e-7);
        assertEquals(100.9, Helper.round(100.94, 1), 1e-7);
        assertEquals(101.0, Helper.round(100.95, 1), 1e-7);
    }",
"(long rewardOfBlockEachBlock, double blockNumberEachDay,
      double srNumber, double srVote, double totalVote,
      long rewardOfVoteEachBlock, double ratio)","public class GetAnnualizedRateOfReturn {
public double getAnnualizedRateOfReturn(long rewardOfBlockEachBlock, double blockNumberEachDay,
      double srNumber, double srVote, double totalVote,
      long rewardOfVoteEachBlock, double ratio)
      throws Exception {
    if ((int) srVote == 0) {
      return 0;
    }
    if (totalVote < srVote || totalVote <= 0 || srVote <= 0 || ratio > 100 || ratio < 0) {
      throw new Exception(""bad parameters"");
    }
    double annualizedRateOfReturn = (rewardOfBlockEachBlock / srNumber / srVote
        + rewardOfVoteEachBlock / totalVote) * blockNumberEachDay * ratio * 365;
    return annualizedRateOfReturn;
  }
}","@Test
  public void getAnnualizedRateOfReturn() throws Exception {
    double v = wallet.getAnnualizedRateOfReturn(1, 1,
        1, 1, 1, 1, 1);
    assertEquals(730, v, 0);
    double v1 = wallet.getAnnualizedRateOfReturn(1, 1,
        1, 0, 1, 1, 1);
    assertEquals(0, v1, 0);
  }",
(long delay),"public class Pause {
public static void pause(long delay)
    {
        try
        {
            Thread.sleep(delay);
        }
        catch (@SuppressWarnings(""unused"") final InterruptedException exception)
        {
            Thread.currentThread().interrupt();
        }
    }
}","@Test
    void testPause()
    {
        final Timing timing = new Timing();

        assertTrue(timing.elapsed() == 0, String.valueOf(timing.elapsed()));

        timing.start();

        UtilSequence.pause(Constant.HUNDRED);

        assertTrue(timing.elapsed() > 0, String.valueOf(timing.elapsed()));
    }",
