Parameter,Function,Test Case,cyclomatic_complexity
(char ch),"public class IsNumeric {
public static boolean isNumeric(char ch) {
        return ch >= '0' && ch <= '9';
    }
}","@Test
    public void testIsNumeric() {
        Assert.assertTrue(EagleEyeCoreUtils.isNumeric('2'));

        Assert.assertFalse(EagleEyeCoreUtils.isNumeric('b'));
        Assert.assertFalse(EagleEyeCoreUtils.isNumeric('%'));
    }",2
"(int fromDimension, int toDimension)","public class DimensionRange {
public static int[] dimensionRange(int fromDimension, int toDimension) {
        if (fromDimension > toDimension) {
            throw new IllegalArgumentException(""from dimension must be less than to dimension"");
        }

        int dimensionCount = toDimension - fromDimension;
        int[] dims = new int[dimensionCount];
        for (int i = 0; i < dimensionCount; i++) {
            dims[i] = i + fromDimension;
        }
        return dims;
    }
}","@Test
    public void canGetDimensionRange() {
        int[] actual = TensorShape.dimensionRange(2, 5);
        int[] expected = new int[]{2, 3, 4};
        assertArrayEquals(actual, expected);
    }",3
"(double a, double b)","public class LogSumExp {
public static double logSumExp(double a, double b) {
        double max = Math.max(a, b);
        return max + Math.log(Math.exp(a - max) + Math.exp(b - max));
    }
}","@Test
    public void canLogSumExp() {

        double a = -0.25;
        double b = 0.5;
        double expected = Math.log(Math.exp(a) + Math.exp(b));
        double actual = Tree.logSumExp(a, b);

        assertEquals(expected, actual, 1e-6);
    }",1
"(int x, int y)","public class CeilDiv {
public static int ceilDiv(int x, int y) {
        int r = x / y;
        return (x ^ y) > 0 && (r * y != x) ? r + 1 : r;
    }
}","@Test
    void testCeilDiv() {
        assertEquals(1, ceilDiv(3, 3));
        assertEquals(1, ceilDiv(2, 3));
        assertEquals(2, ceilDiv(4, 3));
        assertEquals(-1, ceilDiv(-3, 3));
        assertEquals(-1, ceilDiv(-4, 3));
        assertEquals(0, ceilDiv(-2, 3));
    }",2
"(int value, int interval)","public class Ceil {
public static int ceil(int value, int interval) {
        if (value == 0)
            return 0;
        if (interval == 0)
            return 0;
        if (value < 0)
            interval *= -1;
        int mod = value % interval;
        return mod == 0 ? value : value + interval - mod;
    }
}","@Test
    public void testCeil() {
        assertEquals(0, ceil(0, 16));
        assertEquals(16, ceil(1, 16));
        assertEquals(16, ceil(15, 16));
        assertEquals(16, ceil(16, 16));
        assertEquals(32, ceil(17, 16));
        assertEquals(-16, ceil(-1, 16));
        assertEquals(-16, ceil(-15, 16));
        assertEquals(-16, ceil(-16, 16));
        assertEquals(-32, ceil(-17, 16));
    }",4
(int value),"public class CeilPowerOfTwo {
public static int ceilPowerOfTwo(int value) {
        if (value <= 0)
            throw new IllegalArgumentException();

        int result = 1;
        while (value > result) {
            result <<= 1;
        }
        return result;
    }
}","@Test
    public void testCeilPowerOfTwo() {
        assertThrows(IllegalArgumentException.class, () -> ceilPowerOfTwo(0));
        assertEquals(1, ceilPowerOfTwo(1));
        assertEquals(2, ceilPowerOfTwo(2));
        assertEquals(4, ceilPowerOfTwo(3));
    }",3
(int value),"public class GetUsingBits {
public static int getUsingBits(int value) {
        int bits = 0;
        while (value != 0) {
            value >>>= 1;
            bits++;
        }
        return bits;
    }
}","@Test
    public void testGetUsingBits() {
        assertEquals(0, getUsingBits(0));
        assertEquals(2, getUsingBits(1), 1);
        assertEquals(2, getUsingBits(2), 2);
        assertEquals(3, getUsingBits(4));
        assertEquals(32, getUsingBits(-1));
    }",2
(char ch),"public class Hex {
public static String hex(char ch) {
        return Integer.toHexString(ch).toUpperCase();
    }
}","@Test
    public void testHex() {
        Assert.assertEquals(""61"", Utils.hex('a'));
        Assert.assertEquals(""24"", Utils.hex('$'));
    }",1
(int value),"public class SwapMedium {
public static int swapMedium(int value) {
        return value << 16 & 0xff0000 | value & 0xff00 | value >>> 16 & 0xff;
    }
}","@Test
    public void testSwapMedium() {
        assertEquals(0x563412, swapMedium(0x123456));
        assertEquals(0x80, swapMedium(0x800000));
    }",1
(double x),"public class Digamma {
public static double digamma(double x) {
        if (x > 0 && x <= 1.0e-5) { // small value shortcut
            return -0.5772156649 - 1.0 / x;
        }

        double result = 0;
        double y = x;
        while (y < 8.5) { // iterate for medium or very negative values
            result -= 1.0 / y;
            y += 1.0;
        }

        // and compute the final approximation for large values
        double r = 1.0 / y;
        // REVIEW What if y is zero?
        result += Math.log(y) - 0.5 * r;
        r = r * r;
        result -= r * (8.3333333333e-2 - r * (8.3333333333e-3 - r * 3.968253968e-3));

        return result;
    }
}","@Test
    public void testDigammaShouldMatchCommonsMath() {
        for (double d: toIterable(doubles(), 10000)) {
            assertThat(""digamma of "" + d,
                       Scalars.digamma(d),
                       closeTo(Gamma.digamma(d), 1.0e-8));
        }

        for (double d: someDoubles(0, 2.0e-5)) {
            assertThat(""digamma of "" + d,
                       Scalars.digamma(d),
                       closeTo(Gamma.digamma(d), 1.0e-8));
        }

        for (double d: someDoubles(-10, 0)) {
            assertThat(""digamma of "" + d,
                       Scalars.digamma(d),
                       closeTo(Gamma.digamma(d), 1.0e-8));
        }

        for (double d: someDoubles(0, 10)) {
            assertThat(""digamma of "" + d,
                       Scalars.digamma(d),
                       closeTo(Gamma.digamma(d), 1.0e-8));
        }
    }",4
(long size),"public class GetPrintSize {
public static String getPrintSize(long size) {
        float printSize = (float)size / 1024/ 1024;
        return String.format(""%.1fMB"", printSize);
    }
}","@Test
    public void getPrintSize() throws Exception {
        int[] size = new int[] {10100000};
        for(int i=0;i<size.length;i++) {
            System.out.println(NumberUtil.getPrintSize(size[i]));
        }
    }",1
(int value),"public class Pluralize {
public static String pluralize(int value)
  {
    if (value != 1)
    {
      return ""s"";
    }
    else
    {
      return """";
    }
  }
}","@Test
  public void pluralize() {
    assertEquals(""s"", StringHelper.pluralize(2));
    assertEquals(""s"", StringHelper.pluralize(0));
    assertEquals("""", StringHelper.pluralize(1));
    
    assertEquals(""a"", StringHelper.pluralize(2, ""um"", ""a""));
    assertEquals(""a"", StringHelper.pluralize(0, ""um"", ""a""));
    assertEquals(""um"", StringHelper.pluralize(1, ""um"", ""a""));
  }",2
"(double value, int decimalPlaces)","public class Round {
public static double round(double value, int decimalPlaces)
  {
    if (decimalPlaces < 0)
    {
      throw new IllegalArgumentException(
          ""decimalPlaces can not be less than 0: "" + decimalPlaces);
    }

    return java.math.BigDecimal.valueOf(value).setScale(decimalPlaces, 
        java.math.RoundingMode.HALF_UP).doubleValue();
  }
}","@Test
  public void round() {
    assertEquals(1.0d, NumberHelper.round(1.01d, 1), 0.0d);
    assertEquals(1.0d, NumberHelper.round(0.99d, 1), 0.0d);
    assertNotEquals(1.0d, NumberHelper.round(1.51d, 1), 0.0d);
    assertNotEquals(1.0d, NumberHelper.round(0.49d, 1), 0.0d);
    assertEquals(1.0f, NumberHelper.round(1.2f, 0), 0.01f);
    assertEquals(1.2f, NumberHelper.round(1.22f, 1), 0.001f);
    assertEquals(-1.0f, NumberHelper.round(-1.2f, 0), 0.01f);
    assertEquals(-1.2f, NumberHelper.round(-1.22f, 1), 0.001f);
  }",2
"(int cpuLoad, int limit, int maxRequests)","public class CalculateRequests {
static int calculateRequests(int cpuLoad, int limit, int maxRequests) {

        // Validations
        if (cpuLoad < limit) {
            return maxRequests;
        }
        if (limit == 100) {
            // do not throttle in this case
            return maxRequests;
        }

        double fillLevel = (100.0 - cpuLoad) / (100.0 - limit);
        return (int) Math.round(fillLevel * maxRequests);

    }
}","@Test
    public void testCalculations() {
        assertEquals(5, CpuLoadEstimator.calculateRequests(5, 50, 5));
        assertEquals(5, CpuLoadEstimator.calculateRequests(100, 100, 5));

        assertEquals(5, CpuLoadEstimator.calculateRequests(85, 70, 10)); // (100-85) / (100-70) * 10
    }",3
(int x),"public class ILog {
public static int iLog(int x) {
    int val = 0;
    while (x > 0) {
      val++;
      x >>>= 1;
    }
    return val;
  }
}","@Test
  public void testILog() throws Exception {
    assertThat(iLog(0)).isEqualTo(0);
    assertThat(iLog(1)).isEqualTo(1);
    assertThat(iLog(2)).isEqualTo(2);
    assertThat(iLog(3)).isEqualTo(2);
    assertThat(iLog(4)).isEqualTo(3);
    assertThat(iLog(5)).isEqualTo(3);
    assertThat(iLog(8)).isEqualTo(4);
    assertThat(iLog(-1)).isEqualTo(0);
    assertThat(iLog(-122)).isEqualTo(0);
  }",2
"(long x, long y, long overflowResult)","public class SubtractWithOverflowDefault {
public static long subtractWithOverflowDefault(long x, long y, long overflowResult) {
    long result = x - y;
    // See Hacker's Delight 2-13 (H. Warren Jr).
    if (((x ^ y) & (x ^ result)) < 0) {
      return overflowResult;
    }
    return result;
  }
}","@Test
  public void testSubtrackWithOverflowDefault() {
    long res = Util.subtractWithOverflowDefault(5, 10, /* overflowResult= */ 0);
    assertThat(res).isEqualTo(-5);

    res = Util.subtractWithOverflowDefault(Long.MIN_VALUE + 1, 1, /* overflowResult= */ 12345);
    assertThat(res).isEqualTo(Long.MIN_VALUE);

    res = Util.subtractWithOverflowDefault(Long.MAX_VALUE - 1, -1, /* overflowResult= */ 12345);
    assertThat(res).isEqualTo(Long.MAX_VALUE);

    res = Util.subtractWithOverflowDefault(Long.MIN_VALUE, 1, /* overflowResult= */ 12345);
    assertThat(res).isEqualTo(12345);

    res = Util.subtractWithOverflowDefault(Long.MAX_VALUE, -1, /* overflowResult= */ 12345);
    assertThat(res).isEqualTo(12345);
  }",2
"(long x, long y, long overflowResult)","public class AddWithOverflowDefault {
public static long addWithOverflowDefault(long x, long y, long overflowResult) {
    long result = x + y;
    // See Hacker's Delight 2-13 (H. Warren Jr).
    if (((x ^ result) & (y ^ result)) < 0) {
      return overflowResult;
    }
    return result;
  }
}","@Test
  public void testAddWithOverflowDefault() {
    long res = Util.addWithOverflowDefault(5, 10, /* overflowResult= */ 0);
    assertThat(res).isEqualTo(15);

    res = Util.addWithOverflowDefault(Long.MAX_VALUE - 1, 1, /* overflowResult= */ 12345);
    assertThat(res).isEqualTo(Long.MAX_VALUE);

    res = Util.addWithOverflowDefault(Long.MIN_VALUE + 1, -1, /* overflowResult= */ 12345);
    assertThat(res).isEqualTo(Long.MIN_VALUE);

    res = Util.addWithOverflowDefault(Long.MAX_VALUE, 1, /* overflowResult= */ 12345);
    assertThat(res).isEqualTo(12345);

    res = Util.addWithOverflowDefault(Long.MIN_VALUE, -1, /* overflowResult= */ 12345);
    assertThat(res).isEqualTo(12345);
  }",2
(int value),"public class GetOrdinalFor {
public static String getOrdinalFor(int value) {

    String ordinal = String.valueOf(value);
    if (ordinal.endsWith(""11"") || ordinal.endsWith(""12"") || ordinal.endsWith(""13"")) {
      ordinal = ordinal + ""th"";
    } else if (ordinal.endsWith(""1"")) {
      ordinal = ordinal + ""st"";
    } else if (ordinal.endsWith(""2"")) {
      ordinal = ordinal + ""nd"";
    } else if (ordinal.endsWith(""3"")) {
      ordinal = ordinal + ""rd"";
    } else {
      ordinal = ordinal + ""th"";
    }
    return ordinal;
  }
}","@Test
  public void testGetOrdinalFor() throws Exception {

    // Test against all possible Trezor values just to be sure

    assertThat(Languages.getOrdinalFor(1)).isEqualTo(""1st"");
    assertThat(Languages.getOrdinalFor(2)).isEqualTo(""2nd"");
    assertThat(Languages.getOrdinalFor(3)).isEqualTo(""3rd"");
    assertThat(Languages.getOrdinalFor(4)).isEqualTo(""4th"");
    assertThat(Languages.getOrdinalFor(5)).isEqualTo(""5th"");
    assertThat(Languages.getOrdinalFor(6)).isEqualTo(""6th"");
    assertThat(Languages.getOrdinalFor(7)).isEqualTo(""7th"");
    assertThat(Languages.getOrdinalFor(8)).isEqualTo(""8th"");
    assertThat(Languages.getOrdinalFor(9)).isEqualTo(""9th"");
    assertThat(Languages.getOrdinalFor(10)).isEqualTo(""10th"");
    assertThat(Languages.getOrdinalFor(11)).isEqualTo(""11th"");
    assertThat(Languages.getOrdinalFor(12)).isEqualTo(""12th"");
    assertThat(Languages.getOrdinalFor(13)).isEqualTo(""13th"");
    assertThat(Languages.getOrdinalFor(14)).isEqualTo(""14th"");
    assertThat(Languages.getOrdinalFor(15)).isEqualTo(""15th"");
    assertThat(Languages.getOrdinalFor(16)).isEqualTo(""16th"");
    assertThat(Languages.getOrdinalFor(17)).isEqualTo(""17th"");
    assertThat(Languages.getOrdinalFor(18)).isEqualTo(""18th"");
    assertThat(Languages.getOrdinalFor(19)).isEqualTo(""19th"");
    assertThat(Languages.getOrdinalFor(20)).isEqualTo(""20th"");
    assertThat(Languages.getOrdinalFor(21)).isEqualTo(""21st"");
    assertThat(Languages.getOrdinalFor(22)).isEqualTo(""22nd"");
    assertThat(Languages.getOrdinalFor(23)).isEqualTo(""23rd"");
    assertThat(Languages.getOrdinalFor(24)).isEqualTo(""24th"");

  }",7
(byte type),"public class ByteToUnsignedInt {
public static int byteToUnsignedInt (byte type) {
        return type & 0xFF;
    }
}","@Test
    public void testByteToUnsignedInt () {
        assertEquals(0, ByteUtils.byteToUnsignedInt((byte) 0x00));
        assertEquals(1, ByteUtils.byteToUnsignedInt((byte) 0x01));
        assertEquals(2, ByteUtils.byteToUnsignedInt((byte) 0x02));
        assertEquals(3, ByteUtils.byteToUnsignedInt((byte) 0x03));
        assertEquals(4, ByteUtils.byteToUnsignedInt((byte) 0x04));
        assertEquals(5, ByteUtils.byteToUnsignedInt((byte) 0x05));
        assertEquals(6, ByteUtils.byteToUnsignedInt((byte) 0x06));
        assertEquals(7, ByteUtils.byteToUnsignedInt((byte) 0x07));
        assertEquals(8, ByteUtils.byteToUnsignedInt((byte) 0x08));
        assertEquals(9, ByteUtils.byteToUnsignedInt((byte) 0x09));
        assertEquals(10, ByteUtils.byteToUnsignedInt((byte) 0x0A));
        assertEquals(11, ByteUtils.byteToUnsignedInt((byte) 0x0B));
        assertEquals(12, ByteUtils.byteToUnsignedInt((byte) 0x0C));
        assertEquals(13, ByteUtils.byteToUnsignedInt((byte) 0x0D));
        assertEquals(14, ByteUtils.byteToUnsignedInt((byte) 0x0E));
        assertEquals(15, ByteUtils.byteToUnsignedInt((byte) 0x0F));

        assertEquals(16, ByteUtils.byteToUnsignedInt((byte) 0x10));

        assertEquals(239, ByteUtils.byteToUnsignedInt((byte) 0xEF));
        assertEquals(255, ByteUtils.byteToUnsignedInt((byte) 0xFF));
    }",1
"(int value, int exponent)","public class Pow {
static int pow(int value, int exponent) {
		if(exponent == 0) {
			return 1;
		}

		if(exponent == 1) {
			return value;
		}

		if (exponent % 2 == 0) {
			return pow(value * value, exponent / 2);
		} else {
			return value * pow(value * value, (exponent - 1) / 2);
		}
	}
}","@Test
	public void testShouldPow() throws Exception {
		for (int i = 0; i < 10; i++) {
			for (int j = 0; j < 10; j++) {
				assertEquals((int) Math.pow(i, j), Maths.pow(i, j));
			}
		}

	}",4
"(int hour, int minute)","public class TimeValid {
public static boolean timeValid(int hour, int minute) {
		return hour <= 23 && hour >= 0 && minute <= 59 && minute >= 0;
	}
}","@Test
	public void timeValidTest() {
		assertFalse(Alarm.timeValid(-1, 0));
		assertFalse(Alarm.timeValid(0, -1));
		assertFalse(Alarm.timeValid(-1, -1));

	}",4
(char ch),"public class IsAscii {
public static boolean isAscii(char ch) {
        return ((ch & 0xFFFFFF80) == 0);
    }
}","@Test
    public void test() throws Exception {
        assertTrue(CharUtil.isAscii('a'));
        assertFalse(CharUtil.isAscii('あ'));
    }",1
(int priority),"public class IsHighLevel {
public static boolean isHighLevel(int priority) {
        return priority == 0 || priority == 1 || priority == 2;
    }
}","@Test
    public void isHighLevel() {
        Stream.of(0, 1, 2).forEach(level -> assertTrue(PriorityHelper.isHighLevel(level)));
    }",3
(int priority),"public class IsLowLevel {
public static boolean isLowLevel(int priority) {
        return priority == 7 || priority == 8 || priority == 9 || priority == 10;
    }
}","@Test
    public void isLowLevel() {
        Stream.of(7, 8, 9, 10).forEach(level -> assertTrue(PriorityHelper.isLowLevel(level)));
    }",4
(int priority),"public class IsMediumLevel {
public static boolean isMediumLevel(int priority) {
        return priority == 3 || priority == 4 || priority == 5 || priority == 6;
    }
}","@Test
    public void isMediumLevel() {
        Stream.of(3, 4, 5, 6).forEach(level -> assertTrue(PriorityHelper.isMediumLevel(level)));
    }",4
(long ms),"public class ToSecondsPrecisionInMs {
public static long toSecondsPrecisionInMs(long ms) {
    return ms - (ms % 1000);
  }
}","@Test
  public void toSecondsPrecisionInMsTest() {
    assertEquals(0, RestUtils.toSecondsPrecisionInMs(999));
    assertEquals(1000, RestUtils.toSecondsPrecisionInMs(1000));
    assertEquals(1000, RestUtils.toSecondsPrecisionInMs(1001));
  }",1
"(int zoomLevelMinutes, int maxMinutesToFetch, int maxTilesToDisplay)","public class GetNumTiles {
static int getNumTiles(int zoomLevelMinutes, int maxMinutesToFetch, int maxTilesToDisplay) {
        return Math.min(maxMinutesToFetch / zoomLevelMinutes, maxTilesToDisplay);
    }
}","@Test
    public void testNumTiles() {
        // At zoom level of 1 day, display at most 7 tiles
        Assert.assertEquals(7, UIServlet.getNumTiles(60*24, 60*24*7, 48));
        // At zoom level of 1 hour, display at most 48 tiles
        Assert.assertEquals(48, UIServlet.getNumTiles(60, 60*24*7, 48));
        // At zoom level of 1 minute, display at most 48 tiles
        Assert.assertEquals(48, UIServlet.getNumTiles(1, 60*24*7, 48));
    }",1
(int value),"public class IntToPositiveLong {
static long intToPositiveLong(int value) {
		if (value >= 0) {
			return value;
		} else {
			return (long) Integer.MAX_VALUE - value;
		}
	}
}","@Test
	public void testIdShouldBePositive() throws Exception {
		assertEquals(0, intToPositiveLong(0));
		assertEquals(1, intToPositiveLong(1));
		assertEquals(10000, intToPositiveLong(10000));
		assertEquals(Integer.MAX_VALUE, intToPositiveLong(Integer.MAX_VALUE));
		assertEquals((long) Integer.MAX_VALUE + 1, intToPositiveLong(-1));
		assertEquals((long) Integer.MAX_VALUE + 100, intToPositiveLong(-100));
		assertEquals((long) Integer.MAX_VALUE - Integer.MIN_VALUE - 1, intToPositiveLong(Integer.MIN_VALUE + 1));
		assertEquals((long) Integer.MAX_VALUE - Integer.MIN_VALUE, intToPositiveLong(Integer.MIN_VALUE));
	}",2
(short key),"public class ExtractStatisticId {
int extractStatisticId(short key) {
        return 0;
    }
}","@Test
    public void extractStatisticsId() {
        assertEquals(0, statistics.extractStatisticId((short) 0));
        assertEquals(0, statistics.extractStatisticId((short) 9));
        assertEquals(0, statistics.extractStatisticId((short) 11));
        assertEquals(0, statistics.extractStatisticId((short) 55));
    }",1
"(int A, int B,
                           int C, int D,
                           int E, int F,
                           int G, int H)","public class ComputeArea {
public int computeArea(int A, int B,
                           int C, int D,
                           int E, int F,
                           int G, int H) {
        int areaSum = (C-A)*(D-B) + (G-E)*(H-F);

        if(E>=C || A>=G || B>=H || F>=D){
            return areaSum;
        }
        int bX = Math.max(A, E);
        int bY = Math.max(B, F);
        int tX = Math.min(C, G);
        int tY = Math.min(D, H);
        int areaIntersect = (tX-bX)*(tY-bY);

        return areaSum - areaIntersect;

    }
}","@Test
    public void overlapAreaTest(){
        rectangle=new OverlapRectangle();
        //rectangle.computeArea(-3,0,3,4,0,-1,9,2);
        int result=rectangle.computeArea(0,0,0,0,-1,-1,1,1);
        //int result= rectangle.computeArea(-2,-2,2,2,3,3,4,4);
        Assertions.assertEquals(4,result);


    }",5
(long bytes),"public class HumanReadableByteCount {
public static String humanReadableByteCount(long bytes) {
        return bytes < 1024L ? bytes + "" B""
                : bytes < 0xfffccccccccccccL >> 40 ? String.format(""%.1f KiB"", bytes / 0x1p10)
                : bytes < 0xfffccccccccccccL >> 30 ? String.format(""%.1f MiB"", bytes / 0x1p20)
                : bytes < 0xfffccccccccccccL >> 20 ? String.format(""%.1f GiB"", bytes / 0x1p30)
                : bytes < 0xfffccccccccccccL >> 10 ? String.format(""%.1f TiB"", bytes / 0x1p40)
                : bytes < 0xfffccccccccccccL ? String.format(""%.1f PiB"", (bytes >> 10) / 0x1p40)
                : String.format(""%.1f EiB"", (bytes >> 20) / 0x1p40);
    }
}","@Test
    public void testHumanReadableByteCount() {
        Assert.assertEquals(StringUtils.humanReadableByteCount(1023L), ""1023 B"");
        Assert.assertEquals(StringUtils.humanReadableByteCount(1024L), ""1.0 KiB"");
        Assert.assertEquals(StringUtils.humanReadableByteCount(1024L * 1024L), ""1.0 MiB"");
        Assert.assertEquals(StringUtils.humanReadableByteCount(1024L * 1024L - 100), ""1023.9 KiB"");
        Assert.assertEquals(StringUtils.humanReadableByteCount(1024L * 1024 * 1024L), ""1.0 GiB"");
        Assert.assertEquals(StringUtils.humanReadableByteCount(1024L * 1024 * 1024 * 1024L), ""1.0 TiB"");
        Assert.assertEquals(StringUtils.humanReadableByteCount(1024L * 1024 * 1024 * 1024 * 1024), ""1.0 PiB"");
    }",1
(int version),"public class GetMajorVersion {
public static int getMajorVersion(int version) {
        return 0x0000FFFF & version;
    }
}","@Test
    public void testGetMajorVersion() throws Exception {
        Assertions.assertThat(AsmUtils.getMajorVersion(Opcodes.V1_1)).isEqualTo(45);
        Assertions.assertThat(AsmUtils.getMajorVersion(Opcodes.V1_2)).isEqualTo(46);
        Assertions.assertThat(AsmUtils.getMajorVersion(Opcodes.V1_3)).isEqualTo(47);
        Assertions.assertThat(AsmUtils.getMajorVersion(Opcodes.V1_4)).isEqualTo(48);
        Assertions.assertThat(AsmUtils.getMajorVersion(Opcodes.V1_5)).isEqualTo(49);
        Assertions.assertThat(AsmUtils.getMajorVersion(Opcodes.V1_6)).isEqualTo(50);
        Assertions.assertThat(AsmUtils.getMajorVersion(Opcodes.V1_7)).isEqualTo(51);
        Assertions.assertThat(AsmUtils.getMajorVersion(Opcodes.V1_8)).isEqualTo(52);

        Assertions.assertThat(AsmUtils.getMajorVersion(Opcodes.V9)).isEqualTo(53);
        Assertions.assertThat(AsmUtils.getMajorVersion(Opcodes.V10)).isEqualTo(54);
        Assertions.assertThat(AsmUtils.getMajorVersion(Opcodes.V11)).isEqualTo(55);
        Assertions.assertThat(AsmUtils.getMajorVersion(Opcodes.V12)).isEqualTo(56);
        Assertions.assertThat(AsmUtils.getMajorVersion(Opcodes.V13)).isEqualTo(57);
        Assertions.assertThat(AsmUtils.getMajorVersion(Opcodes.V14)).isEqualTo(58);
        Assertions.assertThat(AsmUtils.getMajorVersion(Opcodes.V15)).isEqualTo(59);
        Assertions.assertThat(AsmUtils.getMajorVersion(Opcodes.V16)).isEqualTo(60);

        Assertions.assertThat(AsmUtils.getMajorVersion(Opcodes.V16 | Opcodes.V_PREVIEW)).isEqualTo(60);
    }",1
"(int version, int majorVersion)","public class SetMajorVersion {
public static int setMajorVersion(int version, int majorVersion) {
        return (version & 0xFFFF0000) | majorVersion;
    }
}","@Test
    public void testSetMajorVersion() throws Exception {
        int version = Opcodes.V16 | Opcodes.V_PREVIEW;
        int newVersion = AsmUtils.setMajorVersion(version, 58);

        AsmUtils.getMajorVersion(newVersion);

        Assertions.assertThat(AsmUtils.getMajorVersion(newVersion)).isEqualTo(58);
    }",1
( int SpacesCount ),"public class GetSpaces {
public static String getSpaces( int SpacesCount ) {
		//
		if ( SpacesCount < 0 ) return ""?"";
		//
		String Info = """";
		//
		for ( int K = 1; K <= SpacesCount; K ++ ) {
			Info += "" "";
		}
		//
		//
		return Info;
	}
}","@Test
	public void testgetSpaces() throws Exception {
		//
		assertEquals( ""?"", BTools.getSpaces( -3 ) );
		assertEquals( """", BTools.getSpaces( 0 ) );
		assertEquals( ""    "", BTools.getSpaces( 4 ) );
		//
	}",3
( int mtLv ),"public class GetMtLvESS {
public static String getMtLvESS( int mtLv ) {
		//  MtLvESS = Method Level External Shift String 
		//
		if ( mtLv < 0 ) return ""?"";
		//
		String Result = """";
		//
	//	String LvS = "". "";
		String LvS = ""."";
		//
		for ( int K = 1; K <= mtLv; K ++ ) {
			//
			Result = Result + LvS;
		}
		//
		return Result;
	}
}","@Test
	public void testgetMtLvESS() throws Exception {
		//
		assertEquals( ""?"", BTools.getMtLvESS( -5 ) );
		assertEquals( """", BTools.getMtLvESS( 0 ) );
		assertEquals( ""..."", BTools.getMtLvESS( 3 ) );
		//
	}",3
( int MaxIndex ),"public class GetIndexCharsCount {
public static int getIndexCharsCount( int MaxIndex ) {
		//
		int CharsCount = 1;
		//
		if ( MaxIndex <= 0 ) return 1;
		//
		CharsCount = (int)Math.log10( MaxIndex ) + 1;
		//
		return CharsCount;
	}
}","@Test
	public void testgetIndexCharsCount() throws Exception {
		//
		assertEquals( 1, BTools.getIndexCharsCount( -5 ) );
		assertEquals( 1, BTools.getIndexCharsCount( 5 ) );
		assertEquals( 3, BTools.getIndexCharsCount( 345 ) );
		//
	}",2
(int x),"public class StackOverflowMethod {
public static int stackOverflowMethod(int x) {
        x = (x & 0x55555555) << 1 | (x & 0xAAAAAAAA) >>> 1;
        x = (x & 0x33333333) << 2 | (x & 0xCCCCCCCC) >>> 2;
        x = (x & 0x0F0F0F0F) << 4 | (x & 0xF0F0F0F0) >>> 4;
        x = (x & 0x00FF00FF) << 8 | (x & 0xFF00FF00) >>> 8;
        x = (x & 0x0000FFFF) << 16 | (x & 0xFFFF0000) >>> 16;
        return x;
    }
}","@Test
    public void consistency() {
        for (int i = 0; i < 999999; i++) {
            int jdkReversed = Integer.reverse(i);
            int basisReversed = Bytes.reverseBits(i);
            int stackReversed = stackOverflowMethod(i);
            boolean consistent =
                    (jdkReversed == basisReversed) &&
                    (jdkReversed == stackReversed);
            if (!consistent) {
                log.error(""not consistent int {} jdk {} basis {} stack {}"", i,
                          jdkReversed,
                          basisReversed, stackReversed);
                throw new RuntimeException(""not consistent"");
            }
        }
    }",1
(long v),"public class AsciiSizeInBytes {
public static int asciiSizeInBytes(long v) {
		if (v == 0) {
			return 1;
		}
		if (v == Long.MIN_VALUE) {
			return 20;
		}
		boolean negative = false;
		if (v < 0) {
			v = -v;
			negative = true;
		}
		int width = v < 100000000L
				//
				? v < 10000L
						//
						? v < 100L ? v < 10L ? 1 : 2 : v < 1000L ? 3 : 4
						//
						: v < 1000000L ? v < 100000L ? 5 : 6 : v < 10000000L ? 7 : 8
				//
				: v < 1000000000000L
						//
						? v < 10000000000L ? v < 1000000000L ? 9 : 10 : v < 100000000000L ? 11 : 12
						//
						: v < 1000000000000000L
								//
								? v < 10000000000000L ? 13 : v < 10000000000000L ? 14 : 15
								//
								: v < 100000000000000000L
										//
										? v < 10000000000000000L ? 16 : 17
										//
										: v < 1000000000000000000L ? 18 : 19;
		//
		return negative ? width + 1 : width;
	}
}","@Test
	public void asciiSizeInBytes() throws Exception {
		long value = Long.MIN_VALUE;
		assertTrue(StringUtils.asciiSizeInBytes(value) == String.valueOf(value).length());
		benchmark.doSomething(""OKIO的方案:"", () -> StringUtils.asciiSizeInBytes(value));
		benchmark.doSomething(""成龙的方案:"", () -> String.valueOf(value).length());
	}",4
"(int x1, int y1, int x2, int y2)","public class Distance {
public static double distance(int x1, int y1, int x2, int y2) {
		final double x = Math.abs(x1 - x2);
		final double y = Math.abs(y1 - y2);
		return Math.sqrt(x * x + y * y);
	}
}","@Test
	public void testDistance() {
		assertTrue(MathUtils.distance(0, 0, 3, 4) == 5.0D);
		assertTrue(MathUtils.distance(0.0D, 0.0D, 3.0D, 4.0D) == 5.0D);
		assertTrue(MathUtils.distance(Point.valueOf(0, 0), Point.valueOf(3, 4)) == 5.0D);
	}",1
(byte num),"public class ToUnsigned {
public static int toUnsigned(byte num) {
		return num & 0xFF;
	}
}","@Test
	public void test() {
		short s = -9563;
		assertTrue(UnsignedUtils.toUnsigned(s) == 55973);
	}",1
