Functions,cyclomatic_complexity
"public class LENGTH {
/**
     * Computes the length of a vector
     *
     * @param x x coordinate of a vector
     * @param y y coordinate of a vector
     * @param z z coordinate of a vector
     * @return the length of a vector
     */
    public static float length(float x, float y, float z) {
        return (float) Math.sqrt(x * x + y * y + z * z);
    }
}",1
"public class SHOULDDEVICESTAYAWAKE {
/**
         * Determine whether the bit value corresponding to {@code pluggedType} is set in
         * the bit string {@code stayAwakeConditions}. Because a {@code pluggedType} value
         * of {@code 0} isn't really a plugged type, but rather an indication that the
         * device isn't plugged in at all, there is no bit value corresponding to a
         * {@code pluggedType} value of {@code 0}. That is why we shift by
         * {@code pluggedType&nbsp;&#8212;&nbsp;1} instead of by {@code pluggedType}.
         * @param stayAwakeConditions a bit string specifying which ""plugged types"" should
         * keep the device (and hence Wi-Fi) awake.
         * @param pluggedType the type of plug (USB, AC, or none) for which the check is
         * being made
         * @return {@code true} if {@code pluggedType} indicates that the device is
         * supposed to stay awake, {@code false} otherwise.
         */
        private boolean shouldDeviceStayAwake(int stayAwakeConditions, int pluggedType) {
            return (stayAwakeConditions & pluggedType) != 0;
        }
}",1
"public class ISISODIGIT {
/** True if c is ISO-LATIN characters 0-9 */
    public static boolean
    isisodigit (char c) {
        return c >= '0' && c <= '9';
    }
}",2
"public class TRYGETISODIGIT {
/**
     * Returns interger corresponding to the input if input ""ch"" is
     * ISO-LATIN characters 0-9.
     * Returns -1 otherwise
     */
    private static int tryGetISODigit(char ch) {
        if ('0' <= ch && ch <= '9') {
            return ch - '0';
        } else {
            return -1;
        }
    }
}",3
"public class GSMBCDBYTETOINT {
/**
     * Decodes a GSM-style BCD byte, returning an int ranging from 0-99.
     *
     * In GSM land, the least significant BCD digit is stored in the most
     * significant nibble.
     *
     * Out-of-range digits are treated as 0 for the sake of the time stamp,
     * because of this:
     *
     * TS 23.040 section 9.2.3.11
     * ""if the MS receives a non-integer value in the SCTS, it shall
     * assume the digit is set to 0 but shall store the entire field
     * exactly as received""
     */
    public static int
    gsmbcdbytetoint(byte b) {
        int ret = 0;

        // treat out-of-range BCD values as 0
        if ((b & 0xf0) <= 0x90) {
            ret = (b >> 4) & 0xf;
        }

        if ((b & 0x0f) <= 0x09) {
            ret +=  (b & 0xf) * 10;
        }

        return ret;
    }
}",3
"public class CDMABCDBYTETOINT {
/**
     * Decodes a CDMA style BCD byte like {@link gsmBcdByteToInt}, but
     * opposite nibble format. The least significant BCD digit
     * is in the least significant nibble and the most significant
     * is in the most significant nibble.
     */
    public static int
    cdmabcdbytetoint(byte b) {
        int ret = 0;

        // treat out-of-range BCD values as 0
        if ((b & 0xf0) <= 0x90) {
            ret = ((b >> 4) & 0xf) * 10;
        }

        if ((b & 0x0f) <= 0x09) {
            ret +=  (b & 0xf);
        }

        return ret;
    }
}",3
"public class REGCODEISROAMING {
/**
     * code is registration state 0-5 from TS 27.007 7.2
     * returns true if registered roam, false otherwise
     */
    private boolean
    regCodeIsRoaming (int code) {
        // 5 is  ""in service -- roam""
        return 5 == code;
    }
}",1
"public class CONVERTDTMFTOASCII {
/**
     * Converts a 4-Bit DTMF encoded symbol from the calling address number to ASCII character
     */
    private byte convertDtmfToAscii(byte dtmfDigit) {
        byte asciiDigit;

        switch (dtmfDigit) {
        case  0: asciiDigit = 68; break; // 'D'
        case  1: asciiDigit = 49; break; // '1'
        case  2: asciiDigit = 50; break; // '2'
        case  3: asciiDigit = 51; break; // '3'
        case  4: asciiDigit = 52; break; // '4'
        case  5: asciiDigit = 53; break; // '5'
        case  6: asciiDigit = 54; break; // '6'
        case  7: asciiDigit = 55; break; // '7'
        case  8: asciiDigit = 56; break; // '8'
        case  9: asciiDigit = 57; break; // '9'
        case 10: asciiDigit = 48; break; // '0'
        case 11: asciiDigit = 42; break; // '*'
        case 12: asciiDigit = 35; break; // '#'
        case 13: asciiDigit = 65; break; // 'A'
        case 14: asciiDigit = 66; break; // 'B'
        case 15: asciiDigit = 67; break; // 'C'
        default:
            asciiDigit = 32; // Invalid DTMF code
            break;
        }

        return asciiDigit;
    }
}",2
"public class REGCODEISROAMING {
/**
     * code is registration state 0-5 from TS 27.007 7.2
     * returns true if registered roam, false otherwise
     */
    private boolean regCodeIsRoaming (int code) {
        // 5 is  ""in service -- roam""
        return 5 == code;
    }
}",1
"public class GETMASK {
/**
     * Calculate bit mask for a given number of bits. The mask should enable to
     * make a bitwise and to the given number of bits.
     * @param numOfBits number of bits to calculate mask for.
     * @return bit mask
     */
    private static int getMask(int numOfBits) {
        int mask = 0x00;

        switch (numOfBits) {
        case 1:
            mask = 0x01;
            break;
        case 2:
            mask = 0x03;
            break;
        case 3:
            mask = 0x07;
            break;
        case 4:
            mask = 0x0F;
            break;
        case 5:
            mask = 0x1F;
            break;
        case 6:
            mask = 0x3F;
            break;
        case 7:
            mask = 0x7F;
            break;
        case 8:
            mask = 0xFF;
            break;
        }
        return mask;
    }
}",2
"public class COMPUTECHANNEL {
/**
         * Returns the channel value between 2 values based on the percent of the distance between
         * the 2 values..
         */
        private int computeChannel(int c1, int c2, float percent) {
            return c1 + (int)((percent * (c2-c1)) + .5);
        }
}",1
"public class NANOSTOMICROS {
/**
     * Converts nanoseconds to microseconds.
     *
     * @throws RuntimeException if overflow occurs
     */
    private static int nanosToMicros(long nanos) {
        long micros = nanos / 1000;
        int microsInt = (int) micros;
        if (microsInt != micros) {
            throw new RuntimeException(""Integer overflow: "" + nanos);
        }
        return microsInt;
    }
}",2
"public class COMPARESIGNALLEVEL {
/**
     * Compares two signal strengths.
     * 
     * @param rssiA The power of the first signal measured in RSSI.
     * @param rssiB The power of the second signal measured in RSSI.
     * @return Returns <0 if the first signal is weaker than the second signal,
     *         0 if the two signals have the same strength, and >0 if the first
     *         signal is stronger than the second signal.
     */
    public static int comparesignallevel(int rssiA, int rssiB) {
        return rssiA - rssiB;
    }
}",1
"public class MAXOUTPUTSIZE {
/**
         * @return an overestimate for the number of bytes {@code
         * len} bytes could decode to.
         */
        public int maxoutputsize(int len) {
            return len * 3/4 + 10;
        }
}",1
"public class MAXOUTPUTSIZE {
/**
         * @return an overestimate for the number of bytes {@code
         * len} bytes could encode to.
         */
        public int maxoutputsize(int len) {
            return len * 8/5 + 10;
        }
}",1
"public class PLACEITEM {
/** {@inheritDoc} */
    protected int placeItem(int offset) {
        return offset + 32;
    }
}",1
"public class PLACEITEM {
/** {@inheritDoc} */
    protected int placeItem(int offset) {
        return offset + 8;
    }
}",1
"public class PLACEITEM {
/** {@inheritDoc} */
    protected int placeItem(int offset) {
        return offset + 8;
    }
}",1
"public class PLACEITEM {
/** {@inheritDoc} */
    protected int placeItem(int offset) {
        return offset + 12;
    }
}",1
"public class PLACEITEM {
/** {@inheritDoc} */
    protected int placeItem(int offset) {
        return offset + 4;
    }
}",1
"public class PLACEITEM {
/** {@inheritDoc} */
    protected int placeItem(int offset) {
        return offset + 4;
    }
}",1
"public class PLACEVALUE {
/** {@inheritDoc} */
    public int placevalue(int offset) {
        return offset + 1;
    }
}",1
"public class PLACEVALUE {
/** {@inheritDoc} */
    public int placevalue(int offset) {
        return offset + 2;
    }
}",1
"public class PLACEVALUE {
/** {@inheritDoc} */
    public int placevalue(int offset) {
        return offset + 1;
    }
}",1
"public class UNSIGNEDLEB128SIZE {
/**
     * Gets the number of bytes in the unsigned LEB128 encoding of the
     * given value.
     *
     * @param value the value in question
     * @return its write size, in bytes
     */
    public static int unsignedleb128size(int value) {
        // TODO: This could be much cleverer.

        int remaining = value >>> 7;
        int count = 0;

        while (remaining != 0) {
            value = remaining;
            remaining >>>= 7;
            count++;
        }

        return count + 1;
    }
}",2
"public class SIGNEDLEB128SIZE {
/**
     * Gets the number of bytes in the signed LEB128 encoding of the
     * given value.
     *
     * @param value the value in question
     * @return its write size, in bytes
     */
    public static int signedleb128size(int value) {
        // TODO: This could be much cleverer.

        int remaining = value >> 7;
        int count = 0;
        boolean hasMore = true;
        int end = ((value & Integer.MIN_VALUE) == 0) ? 0 : -1;

        while (hasMore) {
            hasMore = (remaining != end)
                || ((remaining & 1) != ((value >> 6) & 1));

            value = remaining;
            remaining >>= 7;
            count++;
        }

        return count;
    }
}",3
"public class DECODEHIGHSIGNEDNIBBLE {
/**
     * Decodes the high signed 4-bit nibble from the given byte
     * @param b the byte to decode
     * @return the decoded signed nibble
     */
    public static byte decodehighsignednibble(byte b) {
        return (byte)(b >> 4);
    }
}",1
"public class DECODELOWSIGNEDNIBBLE {
/**
     * Decodes the low signed 4-bit nibble from the given byte
     * @param b the byte to decode
     * @return the decoded signed nibble
     */
    public static byte decodelowsignednibble(byte b) {
        return (byte)(((byte)(b << 4)) >> 4);
    }
}",1
"public class DECODEHIGHUNSIGNEDNIBBLE {
/**
     * Decodes the high unsigned 4-bit nibble from the given byte
     * @param b the byte to decode
     * @return the decoded unsigned nibble
     */
    public static byte decodehighunsignednibble(byte b) {
        return (byte)((b & 0xFF) >>> 4);
    }
}",1
"public class DECODELOWUNSIGNEDNIBBLE {
/**
     * Decodes the low unsigned 4-bit nibble from the given byte
     * @param b the byte to decode
     * @return the decoded unsigned nibble
     */
    public static byte decodelowunsignednibble(byte b) {
        return (byte)(b & 0x0F);
    }
}",1
"public class DECODEUNSIGNEDBYTE {
/**
     * Decodes an unsigned byte from a signed byte
     * @param b the signed byte to decode
     * @return the decoded unsigned byte as a short
     */
    public static short decodeunsignedbyte(byte b) {
        return (short)(b & 0xFF);
    }
}",1
"public class DECODESHORT {
/**
     * Decodes a signed short value from 2 individual bytes
     * The parameters are in order from least significant byte to most significant byte
     * @param lsb the least significant byte
     * @param msb the most significant byte
     * @return the decoded signed short value
     */
    public static short decodeshort(byte lsb, byte msb) {
        return (short)
               (    (lsb & 0xFF) |
                    (msb << 8)
               );
    }
}",1
"public class DECODEUNSIGNEDSHORT {
/**
     * Decodes an unsigned short value from 2 individual bytes
     * The parameters are in order from least significant byte to most significant byte
     * @param lsb the least significant byte
     * @param msb the most significant byte
     * @return the decoded unsigned short value as an int
     */
    public static int decodeunsignedshort(byte lsb, byte msb) {
        return  (   (lsb & 0xFF) |
                    ((msb & 0xFF) << 8)
                );
    }
}",1
"public class DECODEINT {
/**
     * Decodes a signed integer value from 4 individual bytes
     * The parameters are in order from least significant byte to most significant byte
     * @param lsb the least significant byte
     * @param mlsb the middle least significant byte
     * @param mmsb the middle most significant byte
     * @param msb the most significant byte
     * @return the decoded signed integer value
     */
    public static int decodeint(byte lsb, byte mlsb, byte mmsb, byte msb) {
        return (lsb & 0xFF) |
               ((mlsb & 0xFF) << 8) |
               ((mmsb & 0xFF) << 16) |
               (msb << 24);
    }
}",1
"public class DECODELONG {
/**
     * Decodes a signed long value from 8 individual bytes
     * The parameters are in order from least significant byte to most significant byte
     * @param llsb the lower least significant byte
     * @param lmlsb the lower middle least significant byte
     * @param lmmsb the lower middle most significant byte
     * @param lgsb the lower greater significant byte
     * @param glsb the greater least significant byte
     * @param gmlsb the greater middle least significant byte
     * @param gmmsb the greater middle most significant byte
     * @param gmsb the greater most significant byte
     * @return the decoded signed long value
     */
    public static long decodelong(byte llsb, byte lmlsb, byte lmmsb, byte lgsb, byte glsb, byte gmlsb, byte gmmsb,
                                  byte gmsb) {
        return  (llsb   & 0xFFL) |
                ((lmlsb & 0xFFL) << 8) |
                ((lmmsb & 0xFFL) << 16) |
                ((lgsb  & 0xFFL) << 24) |
                ((glsb  & 0xFFL) << 32) |
                ((gmlsb & 0xFFL) << 40) |
                ((gmmsb & 0xFFL) << 48) |
                (((long)gmsb) << 56);
    }
}",1
"public class COMPARE {
/**
   * Compares the given {@code byte} values.
   * 
   * @see Comparable
   * @see Comparator
   */
  public static int compare(byte b1, byte b2) {
    if (b1 < b2) {
      return -1;
    } else if (b2 < b1) {
      return 1;
    }
    return 0;
  }
}",3
"public class COMPAREUNSIGNED {
/**
   * Compares the given {@code byte}s as unsigned values.
   * 
   * @see Comparable
   * @see Comparator
   */
  public static int compareunsigned(int b1, int b2) {
    return (b1 & 0xFF) - (b2 & 0xFF);
  }
}",1
"public class COMPARE {
/**
   * Compares the given {@code long} values.
   * 
   * @see Comparable
   * @see Comparator
   */
  public static int compare(long l1, long l2) {
    if (l1 < l2) {
      return -1;
    } else if (l2 < l1) {
      return 1;
    }
    return 0;
  }
}",3
"public class NEXTPOWOFTWO {
/**
   * Returns the closest power of two value that's greater or 
   * equal to the given argument.
   */
  public static int nextpowoftwo(int expected) {
    int value = 1;
    while (value < expected) {
      value <<= 1;
    }
    return value;
  }
}",2
"public class ISUNDEFINED {
/**
   * Returns true if the given value is undefined in the sense that
   * {@link Double#isNaN(double)} or {@link Double#isInfinite(double)}
   * would return true.
   */
  public static boolean isundefined(double value) {
    return Double.isNaN(value) || Double.isInfinite(value);
  }
}",2
"public class ISUNDEFINED {
/**
   * Returns true if the given value is undefined in the sense that
   * {@link Float#isNaN(double)} or {@link Float#isInfinite(double)}
   * would return true.
   */
  public static boolean isundefined(float value) {
    return Float.isNaN(value) || Float.isInfinite(value);
  }
}",2
"public class GETHEXCHAR {
/**
     * This function returns hex character representing the value of the input
     * 
     * @param value Input value in byte
     *
     * @return Hex value of the Input byte value
     */
    private static char getHexChar(
        byte    value)
    {
        switch (value)
        {
        case 0:
            return '0';
        case 1:
            return '1';
        case 2:
            return '2';
        case 3:
            return '3';
        case 4:
            return '4';
        case 5:
            return '5';
        case 6:
            return '6';
        case 7:
            return '7';
        case 8:
            return '8';
        case 9:
            return '9';
        case 10:
            return 'a';
        case 11:
            return 'b';
        case 12:
            return 'c';
        case 13:
            return 'd';
        case 14:
            return 'e';
        case 15:
            return 'f';
        default:
            return 'Z';
        }
    }
}",2
"public class ISVALIDTOKENCHAR {
/**
     * This function returns TRUE if the character is a valid token character.
     *
     *     token          = 1*<any CHAR except CTLs or separators>
     *
     *      separators     = ""("" | "")"" | ""<"" | "">"" | ""@""
     *                     | "","" | "";"" | "":"" | ""\"" | <"">
     *                     | ""/"" | ""["" | ""]"" | ""?"" | ""=""
     *                     | ""{"" | ""}"" | SP | HT
     *
     *      CTL            = <any US-ASCII control character
     *                       (octets 0 - 31) and DEL (127)>
     *
     *      CHAR           = <any US-ASCII character (octets 0 - 127)>
     *
     * @param c  character to be tested
     *
     * @return Returns TRUE if the character is a valid token character.
     */
    boolean isValidTokenChar(
        char c)
    {
        if ( ( (c >= '\u0000') && (c <='\u0020') ) ||
             ( (c >= '\u003a') && (c <= '\u0040') ) ||
             ( (c >= '\u005b') && (c <= '\u005d') ) ||
             ('\u002c' == c) ||
             ('\u0025' == c) ||
             ('\u0028' == c) ||
             ('\u0029' == c) ||
             ('\u007b' == c) ||
             ('\u007d' == c) ||
             ('\u007f' == c) )
            return false;

        return true;
    }
}",14
"public class ISWHITESPACE {
/**
     * This function returns TRUE if the character is linear white space (LWS).
     *         LWS = [CRLF] 1*( SP | HT )
     * @param c  Input charcter to be tested
     *
     * @return Returns TRUE if the character is linear white space (LWS)
     */
    boolean isWhiteSpace(
        char c)
    {
        if ( ('\t' == c) ||  // HORIZONTAL TABULATION.
             ('\n' == c) ||  // LINE FEED.
             ('\r' == c) ||  // CARRIAGE RETURN.
             ('\u0020' == c) )
            return true;

        return false;
    }
}",5
"public class ISVALIDTOKENCHAR {
/**
     * This function returns TRUE if the character is a valid token character.
     *
     *     token          = 1*<any CHAR except CTLs or separators>
     *
     *      separators     = ""("" | "")"" | ""<"" | "">"" | ""@""
     *                     | "","" | "";"" | "":"" | ""\"" | <"">
     *                     | ""/"" | ""["" | ""]"" | ""?"" | ""=""
     *                     | ""{"" | ""}"" | SP | HT
     *
     *      CTL            = <any US-ASCII control character
     *                       (octets 0 - 31) and DEL (127)>
     *
     *      CHAR           = <any US-ASCII character (octets 0 - 127)>
     *
     * @param c  character to be validated
     *
     * @return True if character is valid Token character else it returns 
     * false
     */
    boolean isValidTokenChar(
        char c)
    {
        if ( ( (c >= '\u0000') && (c <='\u0020') ) ||
             ( (c >= '\u003a') && (c <= '\u0040') ) ||
             ( (c >= '\u005b') && (c <= '\u005d') ) ||
             ('\u002c' == c) ||
             ('\u0025' == c) ||
             ('\u0028' == c) ||
             ('\u0029' == c) ||
             ('\u007b' == c) ||
             ('\u007d' == c) ||
             ('\u007f' == c) )
            return false;

        return true;
    }
}",14
"public class ISWHITESPACE {
/**
     * This function returns TRUE if the character is linear white space (LWS).
     *         LWS = [CRLF] 1*( SP | HT )
     *
     * @param c  character to be validated
     *
     * @return True if character is liner whitespace else it returns false
     */
    boolean isWhiteSpace(
        char c)
    {
        if ( ('\t' == c) || // HORIZONTAL TABULATION.
             ('\n' == c) || // LINE FEED.
             ('\r' == c) || // CARRIAGE RETURN.
             ('\u0020' == c) )
            return true;

        return false;
    }
}",5
"public class UNSHIFTCHAR {
/*****************************
	 * 
	 *	Shifts a character left by 'shift' amount
	 * 
	 *  Useful for decryption.
	 * 
	 *****************************/
	public char unshiftchar(char c, int shift)
	{
		return (char)(((int)c + 26 -  97 - shift) % 26 + 97);
	}
}",1
"public class SHIFTCHAR {
/*****************************
	 * 
	 *	Shifts a character right by 'shift' amount
	 *
	 *	Useful for encryption.
	 * 
	 *****************************/
	public char shiftchar(char c, int shift)
	{
		return (char)(((int)c + shift - 97) % 26 + 97); 
	}
}",1
"public class CONVERTDIGIT {
/**
     * [Private] Convert the specified value (0 .. 15) to the corresponding hexadecimal digit.
     *
     * @param value Value to be converted
     */
    private static char convertDigit(int value) {

        value &= 0x0f;
        if (value >= 10)
            return ((char)(value - 10 + 'a'));
        else
            return ((char)(value + '0'));

    }
}",2
"public class ISVALID {
/**
     * validate the value against the xsd value space definition
     *
     * @param sValue number to check against range
     */
    public static boolean isvalid(long sValue) {
        return !((sValue < 0L) || (sValue > 255L));
    }
}",2
"public class ISVALID {
/** validate the value against the xsd definition */
    public static boolean isvalid(long iValue) {
        return !((iValue < 0L) || (iValue > 4294967295L));
    }
}",2
"public class COMPARE {
/**
     * @return the value 0 if thatLong is a long numerically equal to thisLong; a value less than 0
     *         if thatLong is a long numerically greater than thisLong; and a value greater than 0
     *         if thatLong is a long numerically less than thisLong (unsigned comparison).
     */
    private static int compare(long thisLong, long thatLong) {
        // To avoid infinite recursion, do not instantiate UnsignedLong in this method, which may be called during UnsignedLong instantiation.

        if (thisLong == thatLong) {
            return 0;
        } else {
            boolean isLessThan; // This is less than that.

            // Prepare the most significant half of the data for comparison.
            // The shift distance can be any number from 1 to 32 inclusive (1 is probably fastest).
            // A shift distance of one is sufficient to move the significant data off of the sign bit, allowing for a signed comparison of positive numbers (i.e. an unsigned comparison).
            long thisHalfLong = (thisLong & 0xffffffff00000000L) >>> 1;
            long thatHalfLong = (thatLong & 0xffffffff00000000L) >>> 1;

            if (thisHalfLong == thatHalfLong) {
                // We must also look at the least significant half of the data.

                // Prepare the least significant half of the data for comparison.
                thisHalfLong = (thisLong & 0x00000000ffffffffL);
                thatHalfLong = (thatLong & 0x00000000ffffffffL);

                // We already know that the data is not equal.
                isLessThan = thisHalfLong < thatHalfLong;
            } else {
                // The answer is in the most significant half of the data.
                isLessThan = thisHalfLong < thatHalfLong;
            }

            if (isLessThan) {
                return -1; // Returns a negative integer as this object is less than than the specified object.
            } else {
                return 1; // Returns a positive integer as this object is greater than than the specified object.
            }
        }
    }
}",4
"public class ISVALID {
/** validate the value against the xsd definition */
    public static boolean isvalid(long sValue) {
        return !((sValue < 0L) || (sValue > 65535L));
    }
}",2
"public class ISDIGIT {
/**
     * Determine whether a char is a digit.
     *
     * @return true if the char is betweeen '0' and '9', false otherwise
     */
    private static boolean isDigit(char p_char) {
        return p_char >= '0' && p_char <= '9';
    }
}",2
"public class ISALPHA {
/**
     * Determine whether a char is an alphabetic character: a-z or A-Z
     *
     * @return true if the char is alphabetic, false otherwise
     */
    private static boolean isAlpha(char p_char) {
        return ((p_char >= 'a' && p_char <= 'z') || (p_char >= 'A' && p_char <= 'Z'));
    }
}",4
"public class ISPUNCTUATION {
/**
     * Is this an XML punctuation character?
     */
    private static boolean isPunctuation(char c) {
        return '-' == c
                || '.' == c
                || ':' == c
                || '\u00B7' == c
                || '\u0387' == c
                || '-' == c
                || '\u06DD' == c
                || '\u06DE' == c;
    }
}",8
"public class ISSUPPLEMENTAL {
/**
     * Returns true if the specified character is a supplemental character.
     *
     * @param c The character to check.
     */
    public static boolean issupplemental(int c) {
        return (c >= 0x10000 && c <= 0x10FFFF);
    }
}",2
"public class SUPPLEMENTAL {
/**
     * Returns true the supplemental character corresponding to the given
     * surrogates.
     *
     * @param h The high surrogate.
     * @param l The low surrogate.
     */
    public static int supplemental(char h, char l) {
        return (h - 0xD800) * 0x400 + (l - 0xDC00) + 0x10000;
    }
}",1
"public class HIGHSURROGATE {
/**
     * Returns the high surrogate of a supplemental character
     *
     * @param c The supplemental character to ""split"".
     */
    public static char highsurrogate(int c) {
        return (char) (((c - 0x00010000) >> 10) + 0xD800);
    }
}",1
"public class LOWSURROGATE {
/**
     * Returns the low surrogate of a supplemental character
     *
     * @param c The supplemental character to ""split"".
     */
    public static char lowsurrogate(int c) {
        return (char) (((c - 0x00010000) & 0x3FF) + 0xDC00);
    }
}",1
"public class ISHIGHSURROGATE {
/**
     * Returns whether the given character is a high surrogate
     *
     * @param c The character to check.
     */
    public static boolean ishighsurrogate(int c) {
        return (0xD800 <= c && c <= 0xDBFF);
    }
}",2
"public class ISLOWSURROGATE {
/**
     * Returns whether the given character is a low surrogate
     *
     * @param c The character to check.
     */
    public static boolean islowsurrogate(int c) {
        return (0xDC00 <= c && c <= 0xDFFF);
    }
}",2
"public class ISMARKUP {
/**
     * Returns true if the specified character can be considered markup.
     * Markup characters include '&lt;', '&amp;', and '%'.
     *
     * @param c The character to check.
     */
    public static boolean ismarkup(int c) {
        return c == '<' || c == '&' || c == '%';
    }
}",3
"public class VALIDATE {
/**
     * This validate method gives us flexibility to bypass a validation from set of
     * validation that we need to perform.
     * For example we may skip RespectBinding Validation if this flag is set to
     * false.
     * performVaidation = false - Means validation can be bypassed.
     * performVaidation = true - Means validation cannot be bypassed.
     * @param performVaidation - When performVaidation is false we will bypass validation 
     * @return
     */
    protected boolean validate(boolean performVaidation){
        //override the implementation where necessary.
        //return validation successful here. 
        return true;
    }
}",1
"public class ADD {
/**
     * Returns the sum of its parameters.
     */
    public int add(int p1, int p2) {
        return p1 + p2;
    }
}",1
"public class ISGENERATETOOLTIPS {
/**
     * This method determines whether to generate the tool tips.
     * 
     * @param ratio The ratio
     * @return Whether to generate tool tips
     */
    protected boolean isGenerateToolTips(double ratio) {
        return (ratio >= 1.0);
    }
}",1
"public class ISGENERATETEXT {
/**
     * This method determines whether to generate the text.
     * 
     * @param ratio The ratio
     * @return Whether to generate text
     */
    protected boolean isGenerateText(double ratio) {
        return (ratio >= 1.0);
    }
}",1
"public class DEHEXCHAR {
/**
     * Get the hex value of a character (base16).
     * @param c A character between '0' and '9' or between 'A' and 'F' or
     * between 'a' and 'f'.
     * @return  An int between 0 and 15, or -1 if c was not a hex digit.
     */
    public static int dehexchar(char c) {
        if (c >= '0' && c <= '9') {
            return c - '0';
        }
        if (c >= 'A' && c <= 'F') {
            return c - ('A' - 10);
        }
        if (c >= 'a' && c <= 'f') {
            return c - ('a' - 10);
        }
        return -1;
    }
}",7
"public class CHARTOUPPER {
/**
	 * To transfer the char from lower case to upper case.
	 * 
	 * @param c
	 *            the char to be transferred.
	 * @return the upper case of the char.
	 */
	public static char chartoupper(char c)
	{
		if ((int) c >= (int) 'a' && (int) c <= (int) 'z')
		{
			c -= (int) 'a' - (int) 'A';
		}
		return c;
	}
}",3
"public class LIMITNUMBER {
/**
	 * To limit a double number within a given range. If the number exceeds the
	 * range, then the boundary value would be taken.
	 * 
	 * @param number
	 *            The number to be limited.
	 * @param lower
	 *            The lower boundary.
	 * @param higher
	 *            The higher boundary.
	 * @return The limited number.
	 */
	public static double limitnumber(double number, double lower, double higher)
	{
		if (lower > higher)
		{
			double temp = lower;
			lower = higher;
			higher = temp;
		}

		return Math.max(lower, Math.min(higher, number));
	}
}",2
"public class LIMITNUMBER {
/**
	 * To limit a float number within a given range. If the number exceeds the
	 * range, then the boundary value would be taken.
	 * 
	 * @param number
	 *            The number to be limited.
	 * @param lower
	 *            The lower boundary.
	 * @param higher
	 *            The higher boundary.
	 * @return The limited number.
	 */
	public static float limitnumber(float number, float lower, float higher)
	{
		if (lower > higher)
		{
			float temp = lower;
			lower = higher;
			higher = temp;
		}

		return Math.max(lower, Math.min(higher, number));
	}
}",2
"public class LIMITNUMBER {
/**
	 * To limit a int number within a given range. If the number exceeds the
	 * range, then the boundary value would be taken.
	 * 
	 * @param number
	 *            The number to be limited.
	 * @param lower
	 *            The lower boundary.
	 * @param higher
	 *            The higher boundary.
	 * @return The limited number.
	 */
	public static int limitnumber(int number, int lower, int higher)
	{
		if (lower > higher)
		{
			int temp = lower;
			lower = higher;
			higher = temp;
		}

		return Math.max(lower, Math.min(higher, number));
	}
}",2
"public class ISNUMBER {
/**
	 * Determine whether a Char is a number letter.
	 * 
	 * @param c
	 *            the number char.
	 * @return <code>TRUE</code> if the char is number otherwise
	 *         <code>FALSE</code>.
	 */
	public static boolean isnumber(char c)
	{
		return '0' <= c && c <= '9';
	}
}",2
"public class ISGREATERTHANEPSILON {
/**
   * Returns true if the given double is greater than epsilon (defined here as
   * 0.000001), i.e. positive and not a very, very small number.
   * Returns false if the given double is negative or less than epsilon.
   * See also: http://en.wikipedia.org/wiki/(%CE%B5,_%CE%B4)-definition_of_limit
   */
  private boolean isGreaterThanEpsilon(double v) {
    return v - 0.000001 > 0;
  }
}",1
"public class XTOTILEX {
/**
     * Converts a pixel's X coordinate into a horizontal tile index
     * relative to a given tile grid layout specified by its X offset
     * and tile width.
     */
    public static int xtotilex(int x, int tileGridXOffset, int tileWidth) {
        x -= tileGridXOffset;
        if (x < 0) {
            x += 1 - tileWidth; // Force round to -infinity
        }
        return x/tileWidth;
    }
}",2
"public class YTOTILEY {
/**
     * Converts a pixel's Y coordinate into a vertical tile index
     * relative to a given tile grid layout specified by its Y offset
     * and tile height.
     */
    public static int ytotiley(int y, int tileGridYOffset, int tileHeight) {
        y -= tileGridYOffset;
        if (y < 0) {
            y += 1 - tileHeight; // Force round to -infinity
        }
        return y/tileHeight;
    }
}",2
"public class TILEXTOX {
/**
     * Converts a horizontal tile index into the X coordinate of its
     * upper left pixel relative to a given tile grid layout specified
     * by its X offset and tile width.
     */
    public static int tilextox(int tx, int tileGridXOffset, int tileWidth) {
        return tx*tileWidth + tileGridXOffset;
    }
}",1
"public class TILEYTOY {
/**
     * Converts a vertical tile index into the Y coordinate of
     * its upper left pixel relative to a given tile grid layout
     * specified by its Y offset and tile height.
     */
    public static int tileytoy(int ty, int tileGridYOffset, int tileHeight) {
        return ty*tileHeight + tileGridYOffset;
    }
}",1
"public class GETGIFPALETTESIZE {
/**
     * According do GIF specification size of clor table (palette here) 
     * must be in range from 2 to 256 and must be power of 2.
     */
    private static int getGifPaletteSize(int x) {
        if (x <= 2) {
            return 2;
        }
        x = x - 1;
        x = x | (x >> 1);
        x = x | (x >> 2);
        x = x | (x >> 4);
        x = x | (x >> 8);
        x = x | (x >> 16);
        return x + 1;
    }
}",2
"public class GETCOMPSUBSX {
/**
     * Returns the component subsampling factor in the horizontal direction,
     * for the specified component. This is, approximately, the ratio of
     * dimensions between the reference grid and the component itself, see the
     * 'ImgData' interface desription for details.
     *
     * @param c The index of the component (between 0 and C-1)
     *
     * @return The horizontal subsampling factor of component 'c'
     *
     * @see ImgData
     * */
    public int getcompsubsx(int c) {
        return 1;
    }
}",1
