Parameter,Function,Test Case
(int viewType),"class getViewHolderListForType {
List<ViewHolder> getViewHolderListForType(int viewType) {
        List<ViewHolder> list = pool.get(viewType);
        if (list == null) {
            list = new ArrayList<>();
            pool.put(viewType, list);
        }
        return list;
    }
}","@Test
    public void testGetViewHolderListForType() throws Exception {
    }"
(int viewType),"class getItemResourceFromType {
@VisibleForTesting
    int getItemResourceFromType(int viewType) {
        switch (viewType) {
            case TYPE_HEADER_IMAGE:         return R.layout.article_item_header;
            case TYPE_TITLE:                return R.layout.article_item_title;
            case TYPE_PARAGRAPH:            return R.layout.article_item_paragraph;
            case TYPE_INLINE_IMAGE:         return R.layout.article_item_image;
            case TYPE_HEADER_1:             return R.layout.article_item_header_1;
            case TYPE_HEADER_2:             return R.layout.article_item_header_2;
            case TYPE_HEADER_3:             return R.layout.article_item_header_3;
            case TYPE_HEADER_4:             return R.layout.article_item_header_4;
            case TYPE_HEADER_5:             return R.layout.article_item_header_5;
            case TYPE_HEADER_6:             return R.layout.article_item_header_6;
            case TYPE_BLOCKQUOTE:           return R.layout.article_item_blockquote;
            case TYPE_PRE:                  return R.layout.article_item_pre;
            case TYPE_UNORDERED_LIST_ITEM:  return R.layout.article_item_unordered_list_item;
            case TYPE_ORDERED_LIST_ITEM:    return R.layout.article_item_ordered_list_item;
            default:                        return R.layout.article_item_other;
        }
    }
}","@Test
    public void getItemResourceFromType_header4() {
        assertEquals(
                R.layout.article_item_header_4,
                adapter.getItemResourceFromType(ArticleAdapter.TYPE_HEADER_4));
    }"
(int duration),"class duration {
public SnackbarBuilder duration(int duration) {
    this.duration = duration;
    return this;
  }
}","@Test
  public void whenDuration_thenDurationSet() {
    SnackbarBuilder builder = createBuilder();

    builder.duration(Snackbar.LENGTH_INDEFINITE);

    assertThat(builder.duration).isEqualTo(Snackbar.LENGTH_INDEFINITE);
  }"
(int num),"class valueOf {
public static DataWord valueOf(int num) {
        byte[] data = new byte[BYTES];
        ByteBuffer.wrap(data).putInt(data.length - Integer.BYTES, num);
        return valueOf(data);
    }
}","@Test
    public void testPow() {
        BigInteger x = BigInteger.valueOf(Integer.MAX_VALUE);
        BigInteger y = BigInteger.valueOf(1000);

        BigInteger result1 = x.modPow(x, y);
        BigInteger result2 = pow(x, y);
    }"
(int num),"class setNextTargetMsgSeqNum {
public void setNextTargetMsgSeqNum(int num) throws IOException {
        state.getMessageStore().setNextTargetMsgSeqNum(num);
    }
}","@Test
    public void testGapFillSatisfiesResendRequest() throws Exception {

        final UnitTestApplication application = new UnitTestApplication();
        try (Session session = setUpSession(application, false,
                new UnitTestResponder())) {
            final SessionState state = getSessionState(session);
            
            session.setNextTargetMsgSeqNum(684);
            logonTo(session, 687);
            
            assertTrue(state.isResendRequested());
            assertEquals(684, state.getNextTargetMsgSeqNum());
            processMessage(session, createResendRequest(688, 1));
            
            processMessage(session, createSequenceReset(684, 688, true));
            
            processMessage(session, createHeartbeatMessage(689));
            
            assertFalse(state.isResendRequested());
        }
    }"
(int num),"class result {
public static ArrayList<String> result(int num) {

        ArrayList<String> results = new ArrayList<>();
        for (int i = 1; i <= num; i++) {
            String print = """";
            if (i % 3 == 0) {
                print = print.concat(""Fizz"");
            }
            if (i % 5 == 0) {
                print = print.concat(""Buzz"");
            }
            if (i % 7 == 0) {
                print = print.concat(""Bazz"");
            }
            if ("""".equals(print)) {
                print = String.valueOf(i);
            }
            results.add(print);
        }
        return results;
    }
}","@Test
    public void result(int cap) {
        ArrayList<String> test = Rost.result(cap);
        try {
            for (String line : test) {
                int num = test.indexOf(line) + 1;
                if (num % 3 == 0 && num % 5 == 0 && num % 7 == 0) {
                    assertEquals(""FizzBuzzBazz"", line);
                } else if (num % 3 == 0 && num % 5 == 0) {
                    assertEquals(""FizzBuzz"", line);
                } else if (num % 3 == 0 && num % 7 == 0) {
                    assertEquals(""FizzBazz"", line);
                } else if (num % 5 == 0 && num % 7 == 0) {
                    assertEquals(""BuzzBazz"", line);
                } else if (num % 3 == 0) {
                    assertEquals(""Fizz"", line);
                } else if (num % 5 == 0) {
                    assertEquals(""Buzz"", line);
                } else if (num % 7 == 0) {
                    assertEquals(""Bazz"", line);
                } else {
                    assertEquals(String.valueOf(num), line);
                }
            }
        } catch (ComparisonFailure e) {
            System.out.printf(""Test failed: %s\n"", e);
            return;
        }
        System.out.println(""Test passed"");
    }"
(int num),"class fibonacci {
public static long fibonacci(int num) {
        if (num < 0) {
            return -1L;
        }

        if (num == 1 || num == 2) {
            return 1L;
        }

        long prev1 = 1, prev2 = 1;

        for (int i = 2; i < num; i++) {
            long sum = prev1 + prev2;
            prev1 = prev2;
            prev2 = sum;
        }

        return prev2;
    }
}","@Test(dataProvider = ""fibonacciMap"")
    public void testFibonacci(int pos, long fibonacciValue) {
        assertEquals(Fibonacci.fibonacci(pos), fibonacciValue);
    }"
(int num),"class addDigitsWisdom {
static int addDigitsWisdom(int num) {
        return 1 + (num - 1) % 9;
    }
}","@Test
    public void addDigitsWisdomTest() {

        assertEquals(-1, AddDigitsSolution.addDigitsWisdom(-1));
        assertEquals(0, AddDigitsSolution.addDigitsWisdom(0));
        assertEquals(1, AddDigitsSolution.addDigitsWisdom(100));
        assertEquals(2, AddDigitsSolution.addDigitsWisdom(38));
        assertEquals(3, AddDigitsSolution.addDigitsWisdom(579));
    }"
(int len),"class engineGenerateSeed {
@Override
	protected byte[] engineGenerateSeed(int len) {
		byte[] seed = new byte[len];
		engineNextBytes(seed);
		return seed;
	}
}","@Test
	public void testEngineGenerateSeedReadsFromRandomDevice() throws Exception {
		if (!(OsUtils.isLinux())) {
			System.err.println(""WARNING: Skipping test, can't run on this OS"");
			return;
		}
		// Generate some entropy
		byte[] entropy = TestUtils.getRandomBytes(SEED_BYTES);
		// Write the entropy to a file
		File urandom = new File(testDir, ""urandom"");
		urandom.delete();
		FileOutputStream out = new FileOutputStream(urandom);
		out.write(entropy);
		out.flush();
		out.close();
		assertTrue(urandom.exists());
		assertEquals(SEED_BYTES, urandom.length());
		// Check that the engine reads from the file
		LinuxSecureRandomSpi engine = new LinuxSecureRandomSpi(urandom,
				RANDOM_DEVICE);
		byte[] b = engine.engineGenerateSeed(SEED_BYTES);
		assertArrayEquals(entropy, b);
	}"
(int len),"class setLength {
public void setLength(int len) {
        if (len < 0 || len > this.buffer.length) {
            throw new IndexOutOfBoundsException();
        }
        this.len = len;
    }
}","@Test
    public void testSetInvalidLength() throws Exception {
        ByteArrayBuffer buffer = new ByteArrayBuffer(4);
        try {
            buffer.setLength(-2);
            Assert.fail(""IndexOutOfBoundsException should have been thrown"");
        } catch (IndexOutOfBoundsException ex) {
            // expected
        }
        try {
            buffer.setLength(200);
            Assert.fail(""IndexOutOfBoundsException should have been thrown"");
        } catch (IndexOutOfBoundsException ex) {
            // expected
        }
    }"
(int len),"class maximumLength {
public DeepExperimentBuilder maximumLength(int len)
    {
        this.maximumLength = len;
        return this;
    }
}","@Test
    public void maximumLength() {
        builder.maximumLength(15);
        assertEquals(builder.maximumLength, 15);
    }"
(int len),"class encodeLength {
static byte[] encodeLength(int len) {
        if (len < 0) {
            throw new IllegalArgumentException(""length is negative"");
        } else if (len >= 16777216) {
            throw new IllegalArgumentException(""length is too big: "" + len);
        }
        byte[] res;
        if (len < 128) {
            res = new byte[1];
            res[0] = (byte) len;
        } else if (len < 256) {
            res = new byte[2];
            res[0] = -127;
            res[1] = (byte) len;
        } else if (len < 65536) {
            res = new byte[3];
            res[0] = -126;
            res[1] = (byte) (len / 256);
            res[2] = (byte) (len % 256);
        } else {
            res = new byte[4];

            res[0] = -125;
            res[1] = (byte) (len / 65536);
            res[2] = (byte) (len / 256);
            res[3] = (byte) (len % 256);
        }
        return res;
    }
}","@Test(expected = IllegalArgumentException.class)
    public void testEncodeLengthTooBig() throws Exception {
        SecurityTokenUtils.encodeLength(256 * 256 * 256);
    }"
(int len),"class sendMessageLength {
protected void sendMessageLength(int len) throws IOException {
        serverOut.write (len >> 8);
        serverOut.write (len);
        serverOut.write (0);
        serverOut.write (0);
    }
}","@Test
    public void testSendMessageLengthThrowsNullPointerException() throws Throwable {
        CSChannel cSChannel = new CSChannel();
        try {
            cSChannel.sendMessageLength(100);
            fail(""Expected NullPointerException to be thrown"");
        } catch (NullPointerException ex) {
            if (isJavaVersionAtMost(JAVA_14)) {
                assertNull(ex.getMessage(), ""ex.getMessage()"");
            } else {
                assertEquals(""Cannot invoke \""java.io.DataOutputStream.write(int)\"" because \""this.serverOut\"" is null"", ex.getMessage(), ""ex.getMessage()"");
            }
        }
    }"
(int len),"class sendMessageLength {
protected void sendMessageLength(int len) throws IOException {
        try {
            serverOut.write (
                ISOUtil.str2bcd (
                    ISOUtil.zeropad (Integer.toString (len % 10000), 4), true
                )
            );
        } 
        catch (ISOException e) {
            Logger.log (new LogEvent (this, ""send-message-length"", e));
        }
    }
}","@Test
    public void testSendMessageLengthThrowsNullPointerException() throws Throwable {
        byte[] TPDU = new byte[0];
        NCCChannel nCCChannel = new NCCChannel(new ISO87APackager(), TPDU);
        try {
            nCCChannel.sendMessageLength(100);
            fail(""Expected NullPointerException to be thrown"");
        } catch (NullPointerException ex) {
            if (isJavaVersionAtMost(JAVA_14)) {
                assertNull(ex.getMessage(), ""ex.getMessage()"");
            } else {
                assertEquals(""Cannot invoke \""java.io.DataOutputStream.write(byte[])\"" because \""this.serverOut\"" is null"", ex.getMessage(), ""ex.getMessage()"");
            }
        }
    }"
(int len),"class sendMessageLength {
protected void sendMessageLength(int len) throws IOException {
        len++;  // one byte trailler
        serverOut.write (len >> 8);
        serverOut.write (len);
    }
}","@Test
    public void testSendMessageLengthThrowsNullPointerException() throws Throwable {
        BASE24TCPChannel bASE24TCPChannel = new BASE24TCPChannel(new ISO87APackager());
        try {
            bASE24TCPChannel.sendMessageLength(100);
            fail(""Expected NullPointerException to be thrown"");
        } catch (NullPointerException ex) {
            if (isJavaVersionAtMost(JAVA_14)) {
                assertNull(ex.getMessage(), ""ex.getMessage()"");
            } else {
                assertEquals(""Cannot invoke \""java.io.DataOutputStream.write(int)\"" because \""this.serverOut\"" is null"", ex.getMessage(), ""ex.getMessage()"");
            }
        }
    }"
(long requestId),"class isWaitingForReply {
boolean isWaitingForReply(long requestId) {
        return requestForId.containsKey(requestId);
    }
}","@Test
    public void testNotWaitingForReplyWithUnknownId() {
        assertFalse(service.isWaitingForReply(123));
    }"
"(int start, int count)","class createWithCount {
public static Range createWithCount(int start, int count) {
        return create(start, start + count);
    }
}","@Test
    public void testRangeWithCount2() {
        assertEquals(Arrays.asList(2, 3, 4, 5), toList(Range.createWithCount(2, 4)));
    }"
"(int i, int j)","class compare {
@Override
	public int compare(int i, int j) {
		final int bufferNumI = i / this.indexEntriesPerSegment;
		final int segmentOffsetI = (i % this.indexEntriesPerSegment) * this.indexEntrySize;
		
		final int bufferNumJ = j / this.indexEntriesPerSegment;
		final int segmentOffsetJ = (j % this.indexEntriesPerSegment) * this.indexEntrySize;
		
		final MemorySegment segI = this.sortIndex.get(bufferNumI);
		final MemorySegment segJ = this.sortIndex.get(bufferNumJ);
		
		int val = segI.compare(segJ, segmentOffsetI + OFFSET_LEN, segmentOffsetJ + OFFSET_LEN, this.numKeyBytes);
		
		if (val != 0 || this.normalizedKeyFullyDetermines) {
			return this.useNormKeyUninverted ? val : -val;
		}
		
		final long pointerI = segI.getLong(segmentOffsetI) & POINTER_MASK;
		final long pointerJ = segJ.getLong(segmentOffsetJ)  & POINTER_MASK;
		
		return compareRecords(pointerI, pointerJ);
	}
}","@Test
	public void testCompare() throws Exception {
		final int numSegments = MEMORY_SIZE / MEMORY_PAGE_SIZE;
		final List<MemorySegment> memory = this.memoryManager.allocatePages(new DummyInvokable(), numSegments);
		
		NormalizedKeySorter<Tuple2<Integer, String>> sorter = newSortBuffer(memory);
		TestData.TupleGenerator generator = new TestData.TupleGenerator(SEED, KEY_MAX, VALUE_LENGTH, KeyMode.SORTED,
			ValueMode.RANDOM_LENGTH);
		
		// write the records
		Tuple2<Integer, String> record = new Tuple2<>();
		int num = -1;
		do {
			generator.next(record);
			num++;
		}
		while (sorter.write(record));
		
		// compare random elements
		Random rnd = new Random(SEED << 1);
		for (int i = 0; i < 2 * num; i++) {
			int pos1 = rnd.nextInt(num);
			int pos2 = rnd.nextInt(num);
			
			int cmp = sorter.compare(pos1, pos2);
			
			if (pos1 < pos2) {
				Assert.assertTrue(cmp <= 0);
			}
			else {
				Assert.assertTrue(cmp >= 0);
			}
		}
		
		// release the memory occupied by the buffers
		sorter.dispose();
		this.memoryManager.release(memory);
	}"
"(int i, int j)","class has {
@Override
    public boolean has(int i, int j) {
        int mapped = map(i, j);
        return mapped < A.length && mapped >= 0;
    }
}","@Test
    public void testHas() {
        Matrix m = new SymmetricMatrix(2, 2);
        //check whether number could be stored in matrix on given indexes
        assertEquals(true, m.has(0, 0));
        assertEquals(false, m.has(-1, 0));
        assertEquals(false, m.has(2, 0));
        assertEquals(false, m.has(0, 2));
        assertEquals(false, m.has(1, 6));
    }"
"(int i, int j)","class swap {
@Override
	public void swap(int i, int j) {
		final int bufferNumI = i / this.indexEntriesPerSegment;
		final int segmentOffsetI = (i % this.indexEntriesPerSegment) * this.indexEntrySize;
		
		final int bufferNumJ = j / this.indexEntriesPerSegment;
		final int segmentOffsetJ = (j % this.indexEntriesPerSegment) * this.indexEntrySize;
		
		final MemorySegment segI = this.sortIndex.get(bufferNumI);
		final MemorySegment segJ = this.sortIndex.get(bufferNumJ);
		
		segI.swapBytes(this.swapBuffer, segJ, segmentOffsetI, segmentOffsetJ, this.indexEntrySize);
	}
}","@Test
	public void testSwap() throws Exception {
		final int numSegments = MEMORY_SIZE / MEMORY_PAGE_SIZE;
		final List<MemorySegment> memory = this.memoryManager.allocatePages(new DummyInvokable(), numSegments);
		
		NormalizedKeySorter<Tuple2<Integer, String>> sorter = newSortBuffer(memory);
		TestData.TupleGenerator generator = new TestData.TupleGenerator(SEED, KEY_MAX, VALUE_LENGTH, KeyMode.RANDOM,
			ValueMode.RANDOM_LENGTH);
		
		// write the records
		Tuple2<Integer, String> record = new Tuple2<>();
		int num = -1;
		do {
			generator.next(record);
			num++;
		}
		while (sorter.write(record));
		
		// swap the records
		int start = 0, end = num - 1;
		while (start < end) {
			sorter.swap(start++, end--);
		}
		
		// re-read the records
		generator.reset();
		Tuple2<Integer, String> readTarget = new Tuple2<>();
		
		int i = num - 1;
		while (i >= 0) {
			generator.next(record);
			readTarget = sorter.getRecord(readTarget, i--);
			
			int rk = readTarget.f0;
			int gk = record.f0;
			
			String rv = readTarget.f1;
			String gv = record.f1;
			
			Assert.assertEquals(""The re-read key is wrong"", gk, rk);
			Assert.assertEquals(""The re-read value is wrong"", gv, rv);
		}
		
		// release the memory occupied by the buffers
		sorter.dispose();
		this.memoryManager.release(memory);
	}"
"(int i, int j)","class get {
@Override
    public Object get(int i, int j) {
        return df.get(index[i], j);
    }
}","@Test
    public void testGet() {
        System.out.println(""get"");
        System.out.println(df);
        System.out.println(df.get(0));
        System.out.println(df.get(1));
        assertEquals(48, df.getInt(0, 0));
        assertEquals(""Jane"", df.getString(0, 3));
        assertEquals(230000., df.get(0, 4));
        assertEquals(23, df.getInt(1, 0));
        assertEquals(""Bob"", df.getString(1, 3));
        assertEquals(null, df.get(1, 4));
        assertEquals(13, df.getInt(2, 0));
        assertEquals(""Amy"", df.getString(2, 3));
        assertEquals(null, df.get(2, 4));
        assertEquals(48, df.getInt(3, 0));
        assertEquals(""Jane"", df.getString(3, 3));
        assertEquals(230000., df.get(3, 4));
    }"
"(int i, int j)","class get {
@Override
    public double get(int i, int j) {
        return A.get(index(i, j));
    }
}","@Test
    public void testGet() {
        System.out.println(""get"");
        assertEquals(0.9, matrix.get(0, 0), 1E-7f);
        assertEquals(0.8, matrix.get(2, 2), 1E-7f);
        assertEquals(0.5, matrix.get(1, 1), 1E-7f);
        assertEquals(0.0, matrix.get(2, 0), 1E-7f);
        assertEquals(0.0, matrix.get(0, 2), 1E-7f);
        assertEquals(0.4, matrix.get(0, 1), 1E-7f);
    }"
(float value),"class remove {
@Override
    public boolean remove(float value)
    {
        return myList.remove(value);
    }
}","@Test(expected = UnsupportedOperationException.class)
    public void testRemoveAfterPetrify1()
    {
        PETRIFIED_LIST.remove(TEST_FLOAT);
    }"
(float value),"class floorPositive {
static public int floorPositive(float value) {
		return (int) value;
	}
}","@Test
    public void testFloorPositive() {
        Assert.assertEquals(0, MathUtil.floorPositive(0f));
        Assert.assertEquals(1, MathUtil.floorPositive(1.5f));
    }"
(float value),"class isZero {
static public boolean isZero(float value) {
		return Math.abs(value) <= FLOAT_ROUNDING_ERROR;
	}
}","@Test
    public void testIsZero() {
        Assert.assertFalse(MathUtil.isZero(0x1p-19f));

        Assert.assertTrue(MathUtil.isZero(0.0f));
        Assert.assertTrue(MathUtil.isZero(-0.0f));

        Assert.assertFalse(MathUtil.isZero(25f, 10));

        Assert.assertTrue(MathUtil.isZero(0.0f, 0.0f));
        Assert.assertTrue(MathUtil.isZero(-0.0f, 0.0f));
        Assert.assertTrue(MathUtil.isZero(-5f, 10));
    }"
(float value),"class set {
public final void set(float value) {
    _ai.set(i(value));
  }
}","@Test
  public void testSet() {
    float expected = RANDOM.nextFloat();
    af.set(expected);
    assertEquals(expected, af.get(),epsilon);
  }"
(float value),"class roundPositive {
static public int roundPositive(float value) {
		return (int) (value + 0.5f);
	}
}","@Test
    public void testRoundPositive() {
        Assert.assertEquals(0, MathUtil.roundPositive(0));
        Assert.assertEquals(1, MathUtil.roundPositive(1.3f));
        Assert.assertEquals(2, MathUtil.roundPositive(1.7f));
    }"
(int snapshot),"class getFileReplication {
public final short getFileReplication(int snapshot) {
    if (snapshot != CURRENT_STATE_ID) {
      return getSnapshotINode(snapshot).getFileReplication();
    }
    return HeaderFormat.getReplication(header);
  }
}","@Test
  public void testReplication () {
    replication = 3;
    preferredBlockSize = 128*1024*1024;
    INodeFile inf = createINodeFile(replication, preferredBlockSize);
    assertEquals(""True has to be returned in this case"", replication,
                 inf.getFileReplication());
  }"
(int profileId),"class getFeaturesForProfile {
@Override
    public List<ProfileFeature> getFeaturesForProfile(int profileId) throws FeatureManagementException {
        try {
            PolicyManagementDAOFactory.openConnection();
            Profile profile = profileDAO.getProfile(profileId);
            if (profile == null) {
                throw new FeatureManagementException(
                        ""Could not find a profile with the profile id: "" + profileId);
            }
            return featureDAO.getFeaturesForProfile(profileId);
        } catch (ProfileManagerDAOException | FeatureManagerDAOException e) {
            throw new FeatureManagementException(""Error occurred while getting the features"", e);
        } catch (SQLException e) {
            throw new FeatureManagementException(""Error occurred while opening a connection to the data source"", e);
        } finally {
            PolicyManagementDAOFactory.closeConnection();
        }
    }
}","@Test(description = ""This test case tests retrieving features to a non existent profile"",
          dependsOnMethods = ""testGetFeaturesForProfile"",
          expectedExceptions = {FeatureManagementException.class})
    public void testGetFeaturesForProfileThrowingFeatureManagementException() throws Exception {
        int nonExistentProfileId = 9999;
        featureManager.getFeaturesForProfile(nonExistentProfileId);
    }"
( boolean isPreview ),"class getTargetSchema {
@VisibleForTesting
  String getTargetSchema( boolean isPreview ) {

    if ( this.meta.getSchemaName() == null || this.meta.getSchemaName().isEmpty() ) {
      return isPreview ? this.meta.getDbName() : parent.environmentSubstitute( this.meta.getDbName() );
    }
    return isPreview ? this.meta.getSchemaName() : parent.environmentSubstitute( this.meta.getSchemaName() );
  }
}","@Test
  public void getTargetSchemaNullTest() {
    when( teraDataBulkLoaderMetaMock.getSchemaName() ).thenReturn( null );
    when( teraDataBulkLoaderMetaMock.getDbName() ).thenReturn( ""dbName"" );
    assertEquals( ""dbName"", teraDataBulkLoaderRoutines.getTargetSchema( true ) );
  }"
(int reqCapacity),"class normalizeCapacity {
int normalizeCapacity(int reqCapacity) {
        checkPositiveOrZero(reqCapacity, ""reqCapacity"");

        if (reqCapacity >= chunkSize) {
            return directMemoryCacheAlignment == 0 ? reqCapacity : alignCapacity(reqCapacity);
        }

        if (!isTiny(reqCapacity)) { // >= 512
            // Doubled

            int normalizedCapacity = reqCapacity;
            normalizedCapacity --;
            normalizedCapacity |= normalizedCapacity >>>  1;
            normalizedCapacity |= normalizedCapacity >>>  2;
            normalizedCapacity |= normalizedCapacity >>>  4;
            normalizedCapacity |= normalizedCapacity >>>  8;
            normalizedCapacity |= normalizedCapacity >>> 16;
            normalizedCapacity ++;

            if (normalizedCapacity < 0) {
                normalizedCapacity >>>= 1;
            }
            assert directMemoryCacheAlignment == 0 || (normalizedCapacity & directMemoryCacheAlignmentMask) == 0;

            return normalizedCapacity;
        }

        if (directMemoryCacheAlignment > 0) {
            return alignCapacity(reqCapacity);
        }

        // Quantum-spaced
        if ((reqCapacity & 15) == 0) {
            return reqCapacity;
        }

        return (reqCapacity & ~15) + 16;
    }
}","@Test
    public void testNormalizeAlignedCapacity() throws Exception {
        PoolArena<ByteBuffer> arena = new PoolArena.DirectArena(null, 0, 0, 9, 999999, 64);
        int[] reqCapacities = {0, 15, 510, 1024, 1023, 1025};
        int[] expectedResult = {0, 64, 512, 1024, 1024, 2048};
        for (int i = 0; i < reqCapacities.length; i ++) {
            Assert.assertEquals(expectedResult[i], arena.normalizeCapacity(reqCapacities[i]));
        }
    }"
(int k),"class selectTopK {
@Override
    public AdsOptimization selectTopK(int k) {
        if (k <= 0) {
            throw new IllegalArgumentException(""The parameter should be a positive integer."");
        }
        if (_candidateAds.size() == 0) {
            return this;
        }
        Collections.sort(_candidateAds, new Comparator<AdsStatsInfo>() {
            @Override
            public int compare(AdsStatsInfo ads1, AdsStatsInfo ads2) {
                float diff = ads2.getRankScore() - ads1.getRankScore();
                return diff == 0 ? 0 : (diff > 0 ? 1 : -1);
            }
        });
        if (_candidateAds.size() > k + 1) {
            _candidateAds.subList(k + 1, _candidateAds.size()).clear();
        }
        return this;
    }
}","@Test(expected = IllegalArgumentException.class)
    public void selectTopKShouldThrowIllegalArgumentException_For_KEqualToZero() {
        System.out.println(""selectTopKShouldThrowIllegalArgumentException_For_KEqualToZero"");
        ads.selectTopK(0);
    }"
(int k),"class getLevel {
public String getLevel(int k) {
        return (k >= 0 && k < levels.length) ? levels[k] : null;
    }
}","@Test
    public void testGetLevel() {
        // inicjalizacja
        PreparedEntry entry = new PreparedEntry(parameterEntry().withLevels(""A"", ""B"").build());

        // testy
        assertEquals(""A"", entry.getLevel(0));
        assertEquals(""B"", entry.getLevel(1));
        assertEquals(null, entry.getLevel(2));
    }"
(int k),"class remove {
public void remove(int k) {
        if (k < 0 || head == null)
            return;

        if (k == 0) {
            head = head.next;
        } else {

            ListNode kth = head;

            while (kth != null && k > 0) {
                kth = kth.next;
                k--;
            }

            if (kth != null) {
                ListNode prev = null;
                ListNode curr = head;

                while (kth != null) {
                    prev = curr;
                    curr = curr.next;
                    kth = kth.next;
                }

                prev.next = curr.next;
            }
        }
    }
}","@Test(dataProvider = ""circleLL"")
    public void testCircle(ListNode head, int k, List<Integer> array) {
        RemoveK solution = new RemoveK(head);
        solution.remove(k);
        assertLinkedListValues(solution.head, array);
    }"
(int k),"class p {
@Override
    public double p(int k) {
        if (k == 0) {
            return q;
        } else if (k == 1) {
            return p;
        } else {
            return 0.0;
        }
    }
}","@Test
    public void testP() {
        System.out.println(""p"");
        BernoulliDistribution instance = new BernoulliDistribution(0.3);
        instance.rand();
        assertEquals(0.7, instance.p(0), 1E-7);
        assertEquals(0.3, instance.p(1), 1E-7);
        assertEquals(0.0, instance.p(2), 1E-7);
    }"
(int m),"class phi {
public static int phi(int m) {
        return P33.primeFactorsMult(m)
                .stream()
                .map(entry -> (entry.getKey() - 1) * Math.pow(entry.getKey(), entry.getValue() - 1))
                .mapToInt(Double::intValue)
                .reduce(1, (i1, i2) -> i1 * i2);
    }
}","@Test
    public void phiOf10Is4() throws Exception {
        int p = P40.phi(10);
        assertThat(p, equalTo(4));
    }"
(long val),"class requireNonNegative {
public static long requireNonNegative(long val) {
        if (val < 0) {
            throw new IllegalArgumentException(val + IS_NEGATIVE);
        }
        return val;
    }
}","@Test
    void testRequireNonNegative2() {
        assertThrows(RuntimeException.class, () -> LongRangeUtil.requireNonNegative(-1, RuntimeException::new));
    }"
(long val),"class createInt8 {
public static Int8Datum createInt8(long val) {
    return new Int8Datum(val);
  }
}","@Test
	public final void testCreateInt8() {
		Datum d = DatumFactory.createInt8((long) 5);
		assertEquals(Type.Int8, d.type());
	}"
(long val),"class multiply {
public Money multiply(long val) {
        return newMoneyWithSameCurrency(this.cent * val);
    }
}","@Test
    public void multiply() {
        Money newMoney = money.multiply(0.5);
        assertEquals(505, newMoney.getCent());
        newMoney = money.multiply(2);
        assertEquals(2020, newMoney.getCent());
    }"
(long val),"class requireNonNegative {
public static long requireNonNegative(long val) {
        if (val < 0) {
            throw new IllegalArgumentException(val + IS_NEGATIVE);
        }
        return val;
    }
}","@Test
    void RequireNonNegative() {
        testHelper(IS_NEGATIVE.negate(), LongRangeUtil::requireNonNegative);
    }"
(long val),"class requirePositive {
public static long requirePositive(long val) {
        if (val < 1) {
            throw new IllegalArgumentException(val + IS_NOT_POSITIVE);
        }
        return val;
    }
}","@Test
    void testRequirePositive() {
        assertEquals(1, LongRangeUtil.requirePositive(1, RuntimeException::new));
    }"
(int rowIndex),"class getRow {
@Override
    public RegularVector getRow(int rowIndex) {
        double[] rowElements = new double[getRowDimension()];
        System.arraycopy(getElements()[rowIndex], 0, rowElements, 0, rowIndex + 1);
        for (int j = rowIndex + 1; j < getRowDimension(); j++) {
            rowElements[j] = getElements()[j][rowIndex];
        }
        return new RegularVector(rowElements);
    }
}","@Test
    void shouldGetRow() {
        assertEquals(trueSymmetricMatrix.getRow(0), new RegularVector(1.0, 2.0, 3.0));
        assertEquals(trueSymmetricMatrix.getRow(1), new RegularVector(2.0, 4.0, 5.0));
        assertEquals(trueSymmetricMatrix.getRow(2), new RegularVector(3.0, 5.0, 8.0));
    }"
(int rowIndex),"class setRowIndex {
@Override
	public void setRowIndex(int rowIndex) {
		this.delegate.setRowIndex(rowIndex);
	}
}","@Test
	public void shouldDelegateSetRowIndex() throws Exception {
		int index = 1;
		this.dataModel.setRowIndex(index);
		verify(this.delegate).setRowIndex(index);
	}"
(int rowIndex),"class removeRow {
public void removeRow(int rowIndex) {
        this.rowKeys.remove(rowIndex);
        this.rows.remove(rowIndex);
    }
}","@Test
    public void testRemoveRow() {
        DefaultKeyedValues2D d = new DefaultKeyedValues2D();
        try {
            d.removeRow(0);
            fail(""IndexOutOfBoundsException should have been thrown on querying emty dataset"");
        }
        catch (IndexOutOfBoundsException e) {
            assertEquals(""Index: 0, Size: 0"", e.getMessage());
        }
    }"
(boolean enabled),"class setImageSmoothingEnabled {
public void setImageSmoothingEnabled(boolean enabled) {
        context.setImageSmoothingEnabled(enabled);
    }
}","@Test
    public void setImageSmoothingEnabled() {
        delegateNativeContext2D.setImageSmoothingEnabled(true);
        verify(context, times(1)).setImageSmoothingEnabled(true);
    }"
(boolean enabled),"class setEnabled {
public static void setEnabled(boolean enabled) {
		Bouquet.enabled = enabled;
	}
}","@Test
	public void setEnabled() {
		Bouquet.setEnabled(true);
		assertTrue(Bouquet.isEnabled());

		Bouquet.setEnabled(false);
		assertFalse(Bouquet.isEnabled());
	}"
(boolean enabled),"class setCompassButtonEnabled {
public void setCompassButtonEnabled(boolean enabled) {
    compassButtonEnabled = enabled;
    handleCompassButtonEnabledChanged();
  }
}","@Test public void onClickCompass_shouldResetMapRotation() throws Exception {
    overlayManager.setCompassButtonEnabled(true);
    compassButton.performClick();
    assertThat(mapStateManager.getRotation()).isEqualTo(0);
    assertThat(mapController.getRotation()).isEqualTo(0);
  }"
