Parameter,Function,Test Case,cyclomatic_complexity,SPF_Results
"(int i, int distance)","public class RotateLeft {
public static int rotateLeft(int i, int distance) {
        if (distance == 0) {
            return i;
        }
        /*
         * According to JLS3, 15.19, the right operand of a shift is always
         * implicitly masked with 0x1F, which the negation of 'distance' is
         * taking advantage of.
         */
        return ((i << distance) | (i >>> (-distance)));
    }
}","@Test public void test_rotateLeftII() {
        assertEquals(0xF, Integers.rotateLeft(0xF, 0));
        assertEquals(0xF0, Integers.rotateLeft(0xF, 4));
        assertEquals(0xF00, Integers.rotateLeft(0xF, 8));
        assertEquals(0xF000, Integers.rotateLeft(0xF, 12));
        assertEquals(0xF0000, Integers.rotateLeft(0xF, 16));
        assertEquals(0xF00000, Integers.rotateLeft(0xF, 20));
        assertEquals(0xF000000, Integers.rotateLeft(0xF, 24));
        assertEquals(0xF0000000, Integers.rotateLeft(0xF, 28));
        assertEquals(0xF0000000, Integers.rotateLeft(0xF0000000, 32));
    }",2,"Inputs: i_1_SYMINT,distance_2_SYMINT

demo.RotateLeft.rotateLeft(-9223372036854775808(don't care),0)  --> Return Value: -9223372036854775808
demo.RotateLeft.rotateLeft(-9223372036854775808(don't care),-1)  --> Return Value: 4611686018427387904
"
"(int i, int distance)","public class RotateRight {
public static int rotateRight(int i, int distance) {
        if (distance == 0) {
            return i;
        }
        /*
         * According to JLS3, 15.19, the right operand of a shift is always
         * implicitly masked with 0x1F, which the negation of 'distance' is
         * taking advantage of.
         */
        return ((i >>> distance) | (i << (-distance)));
    }
}","@Test public void test_rotateRightII() {
        assertEquals(0xF, Integers.rotateRight(0xF0, 4));
        assertEquals(0xF, Integers.rotateRight(0xF00, 8));
        assertEquals(0xF, Integers.rotateRight(0xF000, 12));
        assertEquals(0xF, Integers.rotateRight(0xF0000, 16));
        assertEquals(0xF, Integers.rotateRight(0xF00000, 20));
        assertEquals(0xF, Integers.rotateRight(0xF000000, 24));
        assertEquals(0xF, Integers.rotateRight(0xF0000000, 28));
        assertEquals(0xF0000000, Integers.rotateRight(0xF0000000, 32));
        assertEquals(0xF0000000, Integers.rotateRight(0xF0000000, 0));
    }",2,"Inputs: i_1_SYMINT,distance_2_SYMINT

demo.RotateRight.rotateRight(-9223372036854775808(don't care),0)  --> Return Value: -9223372036854775808
demo.RotateRight.rotateRight(-9223372036854775808(don't care),-1)  --> Return Value: 1
"
(long lng),"public class BitCount {
public static int bitCount(long lng) {
        lng = (lng & 0x5555555555555555L) + ((lng >> 1) & 0x5555555555555555L);
        lng = (lng & 0x3333333333333333L) + ((lng >> 2) & 0x3333333333333333L);
        // adjust for 64-bit integer
        int i = (int) ((lng >>> 32) + lng);
        i = (i & 0x0F0F0F0F) + ((i >> 4) & 0x0F0F0F0F);
        i = (i & 0x00FF00FF) + ((i >> 8) & 0x00FF00FF);
        i = (i & 0x0000FFFF) + ((i >> 16) & 0x0000FFFF);
        return i;
    }
}","@Test public void test_bitCountJ() {
        assertEquals(0, Longs.bitCount(0x0));
        assertEquals(1, Longs.bitCount(0x1));
        assertEquals(1, Longs.bitCount(0x2));
        assertEquals(2, Longs.bitCount(0x3));
        assertEquals(1, Longs.bitCount(0x4));
        assertEquals(2, Longs.bitCount(0x5));
        assertEquals(2, Longs.bitCount(0x6));
        assertEquals(3, Longs.bitCount(0x7));
        assertEquals(1, Longs.bitCount(0x8));
        assertEquals(2, Longs.bitCount(0x9));
        assertEquals(2, Longs.bitCount(0xA));
        assertEquals(3, Longs.bitCount(0xB));
        assertEquals(2, Longs.bitCount(0xC));
        assertEquals(3, Longs.bitCount(0xD));
        assertEquals(3, Longs.bitCount(0xE));
        assertEquals(4, Longs.bitCount(0xF));

        assertEquals(8, Longs.bitCount(0xFF));
        assertEquals(12, Longs.bitCount(0xFFF));
        assertEquals(16, Longs.bitCount(0xFFFF));
        assertEquals(20, Longs.bitCount(0xFFFFF));
        assertEquals(24, Longs.bitCount(0xFFFFFF));
        assertEquals(28, Longs.bitCount(0xFFFFFFF));
        assertEquals(64, Longs.bitCount(0xFFFFFFFFFFFFFFFFL));
    }",1,"Inputs: lng_1_SYMINT
No path conditions for demo.BitCount.bitCount(0)
"
"(long lng, int distance)","public class RotateRight {
public static long rotateRight(long lng, int distance) {
        if (distance == 0) {
            return lng;
        }
        /*
         * According to JLS3, 15.19, the right operand of a shift is always
         * implicitly masked with 0x3F, which the negation of 'distance' is
         * taking advantage of.
         */
        return ((lng >>> distance) | (lng << (-distance)));
    }
}","@Test public void test_rotateRightJI() {
        assertEquals(0xF, Longs.rotateRight(0xF0, 4));
        assertEquals(0xF, Longs.rotateRight(0xF00, 8));
        assertEquals(0xF, Longs.rotateRight(0xF000, 12));
        assertEquals(0xF, Longs.rotateRight(0xF0000, 16));
        assertEquals(0xF, Longs.rotateRight(0xF00000, 20));
        assertEquals(0xF, Longs.rotateRight(0xF000000, 24));
        assertEquals(0xF, Longs.rotateRight(0xF0000000L, 28));
        assertEquals(0xF000000000000000L, Longs.rotateRight(0xF000000000000000L, 64));
        assertEquals(0xF000000000000000L, Longs.rotateRight(0xF000000000000000L, 0));

    }",2,"Inputs: lng_1_SYMINT,distance_2_SYMINT

demo.RotateRight.rotateRight(-9223372036854775808(don't care),0)  --> Return Value: -9223372036854775808
demo.RotateRight.rotateRight(-9223372036854775808(don't care),-1)  --> Return Value: 1
"
"(long lng, int distance)","public class RotateLeft {
public static long rotateLeft(long lng, int distance) {
        if (distance == 0) {
            return lng;
        }
        /*
         * According to JLS3, 15.19, the right operand of a shift is always
         * implicitly masked with 0x3F, which the negation of 'distance' is
         * taking advantage of.
         */
        return ((lng << distance) | (lng >>> (-distance)));
    }
}","@Test public void test_rotateLeftJI() {
        assertEquals(0xF, Longs.rotateLeft(0xF, 0));
        assertEquals(0xF0, Longs.rotateLeft(0xF, 4));
        assertEquals(0xF00, Longs.rotateLeft(0xF, 8));
        assertEquals(0xF000, Longs.rotateLeft(0xF, 12));
        assertEquals(0xF0000, Longs.rotateLeft(0xF, 16));
        assertEquals(0xF00000, Longs.rotateLeft(0xF, 20));
        assertEquals(0xF000000, Longs.rotateLeft(0xF, 24));
        assertEquals(0xF0000000L, Longs.rotateLeft(0xF, 28));
        assertEquals(0xF000000000000000L, Longs.rotateLeft(0xF000000000000000L, 64));
    }",2,"Inputs: lng_1_SYMINT,distance_2_SYMINT

demo.RotateLeft.rotateLeft(-9223372036854775808(don't care),0)  --> Return Value: -9223372036854775808
demo.RotateLeft.rotateLeft(-9223372036854775808(don't care),-1)  --> Return Value: 4611686018427387904
"
(int permissions),"public class PermissionsToUmask {
public static int permissionsToUmask(int permissions) {
    // the umask contains exactly the bits that the permissions don't have
    return permissions ^ 0777; // note this is octal
  }
}","@Test
  public void testPermissionsToUmask() {
    Assert.assertEquals(0000, FileUtils.permissionsToUmask(0777));
    Assert.assertEquals(0022, FileUtils.permissionsToUmask(0755));
    Assert.assertEquals(0002, FileUtils.permissionsToUmask(0775));
    Assert.assertEquals(0137, FileUtils.permissionsToUmask(0640));
    Assert.assertEquals(0077, FileUtils.permissionsToUmask(0700));
    Assert.assertEquals(0777, FileUtils.permissionsToUmask(0000));

    Assert.assertEquals(""000"", FileUtils.permissionsToUmask(""777""));
    Assert.assertEquals(""022"", FileUtils.permissionsToUmask(""755""));
    Assert.assertEquals(""002"", FileUtils.permissionsToUmask(""775""));
    Assert.assertEquals(""137"", FileUtils.permissionsToUmask(""640""));
    Assert.assertEquals(""077"", FileUtils.permissionsToUmask(""700""));
    Assert.assertEquals(""777"", FileUtils.permissionsToUmask(""000""));

    Assert.assertEquals(""000"", FileUtils.permissionsToUmask(""rwxrwxrwx""));
    Assert.assertEquals(""022"", FileUtils.permissionsToUmask(""rwxr-xr-x""));
    Assert.assertEquals(""002"", FileUtils.permissionsToUmask(""rwxrwxr-x""));
    Assert.assertEquals(""137"", FileUtils.permissionsToUmask(""rw-r-----""));
    Assert.assertEquals(""077"", FileUtils.permissionsToUmask(""rwx------""));
    Assert.assertEquals(""777"", FileUtils.permissionsToUmask(""---------""));
  }",1,"Inputs: permissions_1_SYMINT
No path conditions for demo.PermissionsToUmask.permissionsToUmask(0)
"
(long timestamp),"public class ComputeTimeDifference {
protected long computeTimeDifference(long timestamp) {
		return (System.currentTimeMillis() - timestamp) / 1000; // output in seconds
	}
}","@Test
	public void testComputeTimeDifference() throws Exception {
		assertEquals(task.computeTimeDifference(timestamp), 0);
		assertTrue(task.computeTimeDifference(timestamp-50000) < 300);
		assertFalse(task.computeTimeDifference(timestamp-350000) < 300);
	}",1,
"(double aX, double aY, double bX, double bY, double cX, double cY)","public class IsClockwise {
public boolean isClockwise(double aX, double aY, double bX, double bY, double cX, double cY) {
        // simply compare angles between a,b and b,c
        final double angleDiff = (cX - aX) * (bY - aY) - (cY - aY) * (bX - aX);
        return angleDiff < 0;
    }
}","@Test
    public void testIsClockwise() {
        Coordinate a = new Coordinate(0.1, 1);
        Coordinate b = new Coordinate(0.2, 0.8);
        Coordinate c = new Coordinate(0.6, 0.3);
        assertTrue(isClockwise(a, b, c));
        assertTrue(isClockwise(b, c, a));
        assertTrue(isClockwise(c, a, b));
        assertFalse(isClockwise(c, b, a));
        assertFalse(isClockwise(a, c, b));
        assertFalse(isClockwise(b, a, c));
    }",1,"Inputs: aX_1_SYMREAL,aY_2_SYMREAL,bX_3_SYMREAL,bY_4_SYMREAL,cX_5_SYMREAL,cY_6_SYMREAL

demo.IsClockwise.isClockwise(1.0,2.0,1.0,1.0,2.0,1.0)  --> Return Value: 1
demo.IsClockwise.isClockwise(1.0,1.0,1.0,2.0,1.0,1.0)  --> Return Value: 0
demo.IsClockwise.isClockwise(2.0,1.0,1.0,0.5,1.0,1.0)  --> Return Value: 0
"
"(int q, int n)","public class ConvertQNToDouble {
protected double convertQNToDouble(int q, int n) {

        // convert it to a double
        double qDouble = (double) q;

        // get the sign bit
        int signBit = (q >> 15) & 0x1;
        int sign = 0;
        if (signBit == 0) {
            sign = 1;
        }
        else {
            sign = -1;
        }

        // multiply it by 2^(-n)
        return sign * qDouble * Math.pow(2, -1 * n);

    }
}","@Test
    public void testConvertQn() {
        int q1 = 53;
        int n1 = 2;
        double expected1 = 13.37;
        assertEquals(expected1, testNode.convertQNToDouble(q1, n1), 0.25);

        int q2 = 12868;
        int n2 = 12;
        double expected2 = 3.1417;
        assertEquals(expected2, testNode.convertQNToDouble(q2, n2), 0.0002);

        int q3 = 87;
        int n3 = 5;
        double expected3 = 2.7181;
        assertEquals(expected3, testNode.convertQNToDouble(q3, n3), 0.0312);

        int q4 = 69388;
        int n4 = 14;
        double expected4 = 4.2351;
        assertEquals(expected4, testNode.convertQNToDouble(q4, n4), 0.00006);

        int q5 = 3900;
        int n5 = 8;
        double expected5 = 15.2352;
        assertEquals(expected5, testNode.convertQNToDouble(q5, n5), 0.0039);

        int q6 = 0;
        int n6 = 10;
        double expected6 = 0.0;
        assertEquals(expected6, testNode.convertQNToDouble(q6, n6), 0.0);

        // int max for q14
        int q7 = 0x7FFF;
        int n7 = 1;
        double expected7 = 16383.5;
        assertEquals(expected7, testNode.convertQNToDouble(q7, n7), 0.0);

        // int min for q14
        int q8 = 0x8000;
        int n8 = 1;
        double expected8 = -16384.0;
        assertEquals(expected8, testNode.convertQNToDouble(q8, n8), 0.0);


    }",2,
"(byte b, int mask)","public class Mask {
int mask(byte b, int mask) {
        switch (mask) {
        case 0:
            return (b & ~3); // 00
        case 1:
            return (b & ~3) | 1; // 10
        case 2:
            return (b & ~3) | 2; // 01
        default:
            return (b & ~3) | 3; // 11
        }
    }
}","@Test
    public void testMask() {
        MD5IdFactory idFactory = new MD5IdFactory();
        for (int i = -128; i < 128; i++) {
            int val1 = idFactory.mask((byte) i, 0);
            int val2 = idFactory.mask((byte) i, 1);
            int val3 = idFactory.mask((byte) i, 2);
            int val4 = idFactory.mask((byte) i, 3);
            System.out.println(i + "" :  "" + val1 + "" "" + val2 + "" "" + val3 + "" "" + val4);
        }
    }",2,
"(char fillChar, int count)","public class FillString {
public static String fillString(char fillChar, int count) {

    // creates a string of 'x' repeating characters
    char[] chars = new char[count];
    java.util.Arrays.fill(chars, fillChar);
    return new String(chars);
  }
}","@Test
  public void testFillString() {

    String actual = ""test"";
    String resultRight = ""test    "";
    String resultLeft = ""    test"";

    Assert.assertEquals(StringTool.fillStringRight(actual, ' ', 8), resultRight);
    Assert.assertEquals(StringTool.fillStringRight(actual, ' ', 2), ""te"");

    Assert.assertEquals(StringTool.fillStringLeft(actual, ' ', 8), resultLeft);
    Assert.assertEquals(StringTool.fillStringLeft(actual, ' ', 2), ""st"");

    Assert.assertEquals(StringTool.fillStringLeft(resultRight, ' ', 4), ""    "");
  }",1,
(int i),"public class NextArraySize {
public static int nextArraySize(int i) {
    if (i < 0)
      throw new IllegalArgumentException();

    if (i > (1 << 30)) {
      // this is the next power of 2 minus 8... a special case taken from ArrayList limits
      // because some JVMs can't allocate an array that large
      return Integer.MAX_VALUE - 8;
    }

    if (i == 0) {
      return 1;
    }

    // round up to next power of two
    int ret = i;
    ret--;
    ret |= ret >> 1;
    ret |= ret >> 2;
    ret |= ret >> 4;
    ret |= ret >> 8;
    ret |= ret >> 16;
    ret++;

    return ret;
  }
}","@Test
  public void testNextArraySize() {
    // 0 <= size <= 2^0
    assertEquals(1, UnsynchronizedBuffer.nextArraySize(0));
    assertEquals(1, UnsynchronizedBuffer.nextArraySize(1));

    // 2^0 < size <= 2^1
    assertEquals(2, UnsynchronizedBuffer.nextArraySize(2));

    // 2^1 < size <= 2^30
    for (int exp = 1; exp < 30; ++exp) {
      // 2^exp < size <= 2^(exp+1) (for all exp: [1,29])
      int nextExp = exp + 1;
      assertEquals(1 << nextExp, UnsynchronizedBuffer.nextArraySize((1 << exp) + 1));
      assertEquals(1 << nextExp, UnsynchronizedBuffer.nextArraySize(1 << nextExp));
    }
    // 2^30 < size < Integer.MAX_VALUE
    assertEquals(Integer.MAX_VALUE - 8, UnsynchronizedBuffer.nextArraySize((1 << 30) + 1));
    assertEquals(Integer.MAX_VALUE - 8, UnsynchronizedBuffer.nextArraySize(Integer.MAX_VALUE - 9));
    assertEquals(Integer.MAX_VALUE - 8, UnsynchronizedBuffer.nextArraySize(Integer.MAX_VALUE - 8));
    assertEquals(Integer.MAX_VALUE - 8, UnsynchronizedBuffer.nextArraySize(Integer.MAX_VALUE));
  }",4,"Inputs: i_1_SYMINT

demo.NextArraySize.nextArraySize(-1)  --> ""java.lang.IllegalArgumentException...""
demo.NextArraySize.nextArraySize(1073741825)  --> Return Value: 2147483639
demo.NextArraySize.nextArraySize(0)  --> Return Value: 1
demo.NextArraySize.nextArraySize(1)  --> Return Value: 1
"
(double z),"public class GaussCdf {
public static double gaussCdf(double z) {
        // input = z-value (-inf to +inf)
        // output = p under Normal curve from -inf to z
        // e.g., if z = 0.0, function returns 0.5000
        // ACM Algorithm #209
        double y; // 209 scratch variable
        double p; // result. called ‘z’ in 209
        double w; // 209 scratch variable

        if (z == 0.0) {
            p = 0.0;
        }
        else {
            y = Math.abs(z) / 2.0;
            if (y >= 3.0) {
                p = 1.0;
            }
            else if (y < 1.0) {
                w = y * y;
                p = ((((((((0.000124818987 * w
                  - 0.001075204047) * w + 0.005198775019) * w
                  - 0.019198292004) * w + 0.059054035642) * w
                  - 0.151968751364) * w + 0.319152932694) * w
                  - 0.531923007300) * w + 0.797884560593) * y * 2.0;
            }
            else {
                y = y - 2.0;
                p = (((((((((((((-0.000045255659 * y
                  + 0.000152529290) * y - 0.000019538132) * y
                  - 0.000676904986) * y + 0.001390604284) * y
                  - 0.000794620820) * y - 0.002034254874) * y
                  + 0.006549791214) * y - 0.010557625006) * y
                  + 0.011630447319) * y - 0.009279453341) * y
                  + 0.005353579108) * y - 0.002141268741) * y
                  + 0.000535310849) * y + 0.999936657524;
            }
        }

        if (z > 0.0) {
            return (p + 1.0) / 2.0;
        }
        
        return (1.0 - p) / 2.0;
    }
}","@Test
    public void testGaussCdf() {
        logger.info(""GaussCdf"");
        double z = 3.0;
        double expResult = 0.9986501025724;
        double result = ContinuousDistributions.gaussCdf(z);
        assertEquals(expResult, result, Constants.DOUBLE_ACCURACY_HIGH);
    }",5,"Inputs: z_1_SYMREAL

demo.GaussCdf.gaussCdf(6.0)  --> Return Value: 1.0
demo.GaussCdf.gaussCdf(7.0)  --> Return Value: 1.0
demo.GaussCdf.gaussCdf(0.0)  --> Return Value: 0.5
demo.GaussCdf.gaussCdf(2.0)  --> Return Value: 0.9772498670405
demo.GaussCdf.gaussCdf(3.0)  --> Return Value: 0.9986501025724004
"
(double z),"public class Kolmogorov {
public static double kolmogorov(double z) {
        //Kolmogorov distribution. Error<.0000001
        if (z<0.27) {
            return 0.0;
        } 
        else if (z>3.2) {
            return 1.1;
        } 

        double ks=0;
        double y=-2*z*z;
        for(int i=27;i>=1;i=i-2) {
            ks=Math.exp(i*y)*(1-ks);
        }
        return 1.0-2.0*ks;
    }
}","@Test
    public void testKolmogorov() {
        logger.info(""Kolmogorov"");
        double z = 2.0;
        double expResult = 0.99932907474422;
        double result = ContinuousDistributions.kolmogorov(z);
        assertEquals(expResult, result, Constants.DOUBLE_ACCURACY_HIGH);
    }",4,"Inputs: z_1_SYMREAL

demo.Kolmogorov.kolmogorov(0.0)  --> Return Value: 0.0
demo.Kolmogorov.kolmogorov(0.27)  --> Return Value: 4.150287226112326E-7
demo.Kolmogorov.kolmogorov(1.27)  --> Return Value: 0.9205570007993525
demo.Kolmogorov.kolmogorov(3.2)  --> Return Value: 0.9999999974491848
demo.Kolmogorov.kolmogorov(4.2)  --> Return Value: 1.1
"
"(int k, double p)","public class BernoulliCdf {
public static double bernoulliCdf(int k, double p) {
        if(p<0) {
            throw new IllegalArgumentException(""The probability p can't be negative."");
        }
        
        double probabilitySum=0.0;
        if(k<0) {
            
        }
        else if(k<1) { //aka k==0
            probabilitySum=(1-p);
        }
        else { //k>=1 aka k==1
            probabilitySum=1.0;
        }
        
        return probabilitySum;
    }
}","@Test
    public void testBernoulliCdf() {
        logger.info(""BernoulliCdf"");
        int k = 1;
        double p = 0.5;
        double expResult = 1.0;
        double result = DiscreteDistributions.bernoulliCdf(k, p);
        assertEquals(expResult, result, Constants.DOUBLE_ACCURACY_HIGH);
    }",4,"Inputs: k_1_SYMINT,p_2_SYMREAL

demo.BernoulliCdf.bernoulliCdf(-1,-9223372036854775808(don't care))  --> Return Value: 0.0
demo.BernoulliCdf.bernoulliCdf(0,-9223372036854775808(don't care))  --> Return Value: 1.0
demo.BernoulliCdf.bernoulliCdf(1,-9223372036854775808(don't care))  --> Return Value: 1.0
"
"(int tagNumber, int contentLength)","public class SizeOf {
public static int sizeOf(int tagNumber, int contentLength) {
        if (tagNumber < 0 || contentLength < 0) {
            throw new IllegalArgumentException(""Invalid tagNumber/contentLength: "" + tagNumber + "", "" + contentLength);
        }

        int len = 0;

        // ID octets
        if (tagNumber <= 30) {
            len++; // single octet
        } else {
            len = len + 1 + (int) Math.ceil((1 + Integer.numberOfTrailingZeros(Integer.highestOneBit(tagNumber))) / 7.0d);
        }

        // Length octets (TODO: indefinite form)
        if (contentLength <= 0x7f) {
            len++; // definite form, single octet
        } else {
            len = len + 1 + (int) Math.ceil((1 + Integer.numberOfTrailingZeros(Integer.highestOneBit(contentLength))) / 8.0d);
        }

        // Content octets
        len += contentLength;

        return len;
    }
}","@Test
    public void testSizeOf() {
        assertEquals(2, DerUtils.sizeOf(29, 0));
        assertEquals(2, DerUtils.sizeOf(30, 0));
        assertEquals(3, DerUtils.sizeOf(31, 0));
        assertEquals(4, DerUtils.sizeOf(512, 0));
        assertEquals(5, DerUtils.sizeOf(65535, 0));
        assertEquals(129, DerUtils.sizeOf(29, 127));
        assertEquals(131, DerUtils.sizeOf(29, 128));
        assertEquals(260, DerUtils.sizeOf(29, 256));
        assertEquals(65539, DerUtils.sizeOf(29, 65535));
        assertEquals(65541, DerUtils.sizeOf(29, 65536));
    }",5,
"(int x, int y)","public class SafeAdd {
public static int safeAdd(int x, int y){
        int r = x + y;
        // HD 2-12 Overflow iff both arguments have the opposite sign of the result
        if (((x ^ r) & (y ^ r)) < 0) {
            long rr = (long)x + y;
            return rr > 0 ? Integer.MAX_VALUE:Integer.MIN_VALUE;
        }
        return r;
    }
}","@Test(groups=""1s"", timeOut=60000)
    public void testSafeAdd() {
        Assert.assertEquals(MathUtils.safeAdd(1, 1), 2);
        Assert.assertEquals(MathUtils.safeAdd(Integer.MAX_VALUE, 1), Integer.MAX_VALUE);
        Assert.assertEquals(MathUtils.safeAdd(Integer.MIN_VALUE, -1), Integer.MIN_VALUE);
    }",2,
"(int x, int y)","public class DivCeil {
public static int divCeil(int x, int y) {
        if (y == 0) {
            return Integer.MIN_VALUE;
        } else {
            int r = x / y;
//            // if the signs are the same and modulo not zero, round up
            if ((x ^ y) > 0 && (r * y != x)) {
                r++;
            }
            return r;
        }
    }
}","@Test(groups=""1s"", timeOut=60000)
    public void testDivCeil() throws Exception {
        Assert.assertEquals(1, MathUtils.divCeil(3,5));
        Assert.assertEquals(0, MathUtils.divCeil(-3,5));
        Assert.assertEquals(0, MathUtils.divCeil(3,-5));
        Assert.assertEquals(1, MathUtils.divCeil(-3,-5));
        Assert.assertEquals(-1, MathUtils.divCeil(-3,3));
        Assert.assertEquals(0, MathUtils.divCeil(-1,3));
        Assert.assertEquals(1, MathUtils.divCeil(3,3));
        Assert.assertEquals(Integer.MIN_VALUE, MathUtils.divCeil(10,0));
    }",4,
"(int x, int y)","public class SafeSubstract {
public static int safeSubstract(int x, int y){
        int r = x - y;
        // HD 2-12 Overflow iff both arguments have the opposite sign of the result
        if (((x ^ y) & (x ^ r)) < 0) {
            long rr = (long)x - y;
            return rr > 0 ? Integer.MAX_VALUE:Integer.MIN_VALUE;
        }
        return r;
    }
}","@Test(groups=""1s"", timeOut=60000)
    public void testSafeSubstract() {
        Assert.assertEquals(MathUtils.safeSubstract(1, 1), 0);
        Assert.assertEquals(MathUtils.safeSubstract(Integer.MIN_VALUE, 1), Integer.MIN_VALUE);
        Assert.assertEquals(MathUtils.safeSubstract(Integer.MAX_VALUE, -1), Integer.MAX_VALUE);
    }",2,
"(int x, int y)","public class SafeMultiply {
public static int safeMultiply(int x, int y){
        long r = (long)x * (long)y;
        // HD 2-12 Overflow iff both arguments have the opposite sign of the result
        if ((int)r != r) {
            return r > 0 ? Integer.MAX_VALUE:Integer.MIN_VALUE;
        }
        return (int)r;
    }
}","@Test(groups=""1s"", timeOut=60000)
    public void testSafeMultiply() {
        Assert.assertEquals(MathUtils.safeMultiply(1, 1), 1);
        Assert.assertEquals(MathUtils.safeMultiply(Integer.MAX_VALUE, 10), Integer.MAX_VALUE);
        Assert.assertEquals(MathUtils.safeSubstract(Integer.MIN_VALUE, 10), Integer.MIN_VALUE);
    }",2,"Inputs: x_1_SYMINT,y_2_SYMINT

demo.SafeMultiply.safeMultiply(0,0)  --> Return Value: 0
"
"(int rowNum, int colNum)","public class CellToA1 {
public static String cellToA1(int rowNum, int colNum) {
    // To store result (Excel column name)
    StringBuilder colLabel = new StringBuilder();

    while (colNum > 0) {
      // Find remainder
      int rem = colNum % 26;

      // If remainder is 0, then a
      // 'Z' must be there in output
      if (rem == 0) {
        colLabel.append(""Z"");
        colNum = (colNum / 26) - 1;
      } else {
        colLabel.append((char) ((rem - 1) + 'A'));
        colNum = colNum / 26;
      }
    }

    // Reverse the string and print result
    return colLabel.reverse().toString() + rowNum;
  }
}","@Test
  public void testA1Notation() {
    String a1 = IOHelper.cellToA1(1, 1);
    assertEquals(""A1"", a1);

    a1 = IOHelper.cellToA1(100, 200);
    assertEquals(""GR100"", a1);

    a1 = IOHelper.cellToA1(39, 8459);
    assertEquals(""LMI39"", a1);
  }",3,"Inputs: rowNum_1_SYMINT,colNum_2_SYMINT

demo.CellToA1.cellToA1(-9223372036854775808(don't care),0)  --> Return Value: java.lang.String@1d6
demo.CellToA1.cellToA1(-9223372036854775808(don't care),26)  --> Return Value: java.lang.String@1d6
demo.CellToA1.cellToA1(-9223372036854775808(don't care),1)  --> Return Value: java.lang.String@1d6
demo.CellToA1.cellToA1(-9223372036854775808(don't care),702)  --> Return Value: java.lang.String@1d6
demo.CellToA1.cellToA1(-9223372036854775808(don't care),52)  --> Return Value: java.lang.String@1d6
demo.CellToA1.cellToA1(-9223372036854775808(don't care),677)  --> Return Value: java.lang.String@1d6
demo.CellToA1.cellToA1(-9223372036854775808(don't care),27)  --> Return Value: java.lang.String@1d6
demo.CellToA1.cellToA1(-9223372036854775808(don't care),18278)  --> Return Value: java.lang.String@1d6
demo.CellToA1.cellToA1(-9223372036854775808(don't care),1378)  --> Return Value: java.lang.String@1d6
demo.CellToA1.cellToA1(-9223372036854775808(don't care),17628)  --> Return Value: java.lang.String@1d6
demo.CellToA1.cellToA1(-9223372036854775808(don't care),728)  --> Return Value: java.lang.String@1d6
demo.CellToA1.cellToA1(-9223372036854775808(don't care),18253)  --> Return Value: java.lang.String@1d6
demo.CellToA1.cellToA1(-9223372036854775808(don't care),1353)  --> Return Value: java.lang.String@1d6
demo.CellToA1.cellToA1(-9223372036854775808(don't care),17603)  --> Return Value: java.lang.String@1d6
demo.CellToA1.cellToA1(-9223372036854775808(don't care),703)  --> Return Value: java.lang.String@1d6
demo.CellToA1.cellToA1(-9223372036854775808(don't care),475254)  --> Return Value: java.lang.String@1d6
demo.CellToA1.cellToA1(-9223372036854775808(don't care),35854)  --> Return Value: java.lang.String@1d6
demo.CellToA1.cellToA1(-9223372036854775808(don't care),458354)  --> Return Value: java.lang.String@1d6
demo.CellToA1.cellToA1(-9223372036854775808(don't care),18954)  --> Return Value: java.lang.String@1d6
demo.CellToA1.cellToA1(-9223372036854775808(don't care),474604)  --> Return Value: java.lang.String@1d6
demo.CellToA1.cellToA1(-9223372036854775808(don't care),35204)  --> Return Value: java.lang.String@1d6
demo.CellToA1.cellToA1(-9223372036854775808(don't care),457704)  --> Return Value: java.lang.String@1d6
demo.CellToA1.cellToA1(-9223372036854775808(don't care),18304)  --> Return Value: java.lang.String@1d6
demo.CellToA1.cellToA1(-9223372036854775808(don't care),475229)  --> Return Value: java.lang.String@1d6
demo.CellToA1.cellToA1(-9223372036854775808(don't care),35829)  --> Return Value: java.lang.String@1d6
demo.CellToA1.cellToA1(-9223372036854775808(don't care),458329)  --> Return Value: java.lang.String@1d6
demo.CellToA1.cellToA1(-9223372036854775808(don't care),18929)  --> Return Value: java.lang.String@1d6
demo.CellToA1.cellToA1(-9223372036854775808(don't care),474579)  --> Return Value: java.lang.String@1d6
demo.CellToA1.cellToA1(-9223372036854775808(don't care),35179)  --> Return Value: java.lang.String@1d6
demo.CellToA1.cellToA1(-9223372036854775808(don't care),457679)  --> Return Value: java.lang.String@1d6
demo.CellToA1.cellToA1(-9223372036854775808(don't care),18279)  --> Return Value: java.lang.String@1d6
"
